timestamp,fx,fy,fz
0.0,0.0,0.0,0.0
0.000292004,-0.06570870551876541,-0.020714597347832247,0.9976238126046136
0.00064022,-0.0649859990461118,-0.018521408816359945,0.9977142764055428
0.006825908,-0.058360061820863444,-0.009410203005016783,0.9982512465625422
0.017666729,-0.05707782119972208,-0.009135757330885516,0.9983279322272236
0.027092478,-0.05714013186530687,-0.008828611495313343,0.9983271312297789
0.037377342,-0.060543148872658444,-0.011219565626228951,0.9981025240283395
0.049973341,-0.05760086011383666,-0.00863947281868477,0.9983023091346436
0.056790411,-0.05676990398703566,-0.010911365755526904,0.9983276616916172
0.069342374,-0.05829258305047947,-0.008448716489279876,0.9982637897624991
0.077622072,-0.05798607664759537,-0.009573582001559703,0.9982714868424715
0.0889038,-0.06238503653339163,-0.01047857433130441,0.9979971476395666
0.099051873,-0.06426527882197883,-0.011179258581230454,0.9978702310999699
0.106971042,-0.0633133222890836,-0.01631245211561751,0.9978603745648458
0.117129412,-0.06651843753332762,-0.016073758872463755,0.9976557180429705
0.129329798,-0.06703865109707557,-0.008552910665129186,0.997713719950888
0.137005626,-0.06706954122336217,-0.01021707948411836,0.9976959897317935
0.147485284,-0.0686928620965527,-0.011104992337664786,0.9975760471473664
0.157196758,-0.07103170558502558,-0.011042566374665285,0.9974129328064397
0.166977583,-0.07125724616458794,-0.008704731699709704,0.9974199880266463
0.177426883,-0.07121799573867457,-0.006378991513456306,0.9974403769400143
0.186807528,-0.06999621980118283,-0.0039493369391176425,0.997539438794921
0.201526357,-0.06805127400797271,-0.004917088222071577,0.997669708044355
0.207061701,-0.06729381053669142,-0.006951521355317675,0.9977089853330472
0.219307919,-0.06730354488875018,-0.007080401465612312,0.9977074224242767
0.227711239,-0.06606275798997509,-0.0030350241858655134,0.9978108541376713
0.238110552,-0.06916716629453405,-0.0033480865034871137,0.9975994654286606
0.271657385,-0.07070342483740462,-0.0004898793346978464,0.9974972610160385
0.272225758,-0.06953778773990733,0.0039537561607938315,0.9975714830970563
0.272844851,-0.07220636930425955,0.002748893146614747,0.9973859252156937
0.277440041,-0.07064176812513125,0.006798430694693422,0.9974785821942469
0.287612391,-0.07337549123861209,0.004371728473711908,0.9972948035940249
0.304932478,-0.07551544550063946,0.0029543177679068745,0.997140255679895
0.306970438,-0.0771725143976465,0.0027727610712688397,0.9970138990092299
0.318544442,-0.07635983917728548,0.0029767475819774286,0.9970758817335079
0.328960908,-0.07537739866523555,0.005128266257185691,0.9971418899312463
0.337030749,-0.07372880104030828,0.00589671235360962,0.9972608949921667
0.372133025,-0.07040174155657794,0.009475499527434325,0.9974737137862363
0.372379589,-0.07002034254583428,0.010280261418249835,0.997492590375957
0.37279836,-0.06954530455907455,0.009767993788105285,0.9975309704019926
0.378431572,-0.06923438508042232,0.009834534230110884,0.9975519444414975
0.387442234,-0.06936299474873701,0.009835670627976738,0.9975429988440522
0.397672998,-0.06865182924032048,0.007833320026171195,0.9976099264939806
0.407647314,-0.0716652646056412,0.005529346215900601,0.9974134128732319
0.419251993,-0.07367427334970394,0.008173510246593794,0.9972488632115065
0.427702359,-0.07466901846644676,0.008680418710618306,0.9971705912291365
0.437784147,-0.07567484227887189,0.010193592506517746,0.9970804425510909
0.447507277,-0.07598538977075767,0.010363963611583154,0.9970550680878383
0.457166001,-0.07665222240412595,0.010637517889945769,0.9970011434364805
0.467490169,-0.07655833056324006,0.01078398645686142,0.9970067841581962
0.477608531,-0.0765252315844931,0.011024955395014042,0.9970066896914374
0.488025943,-0.07901555647211957,0.01304073272882992,0.9967880823551698
0.497855815,-0.07962498356133085,0.014436449250215444,0.9967203474023714
0.506865263,-0.07886261870384682,0.013696460909095341,0.9967913996066264
0.518501275,-0.07815791264892501,0.014366869159272358,0.9968374660700327
0.527596686,-0.07732774087338393,0.014795157654143626,0.9968959443198713
0.536955788,-0.0775640756704442,0.015594929209823145,0.9968653932945664
0.55074297,-0.07707400647947134,0.014481223179636626,0.9969202032762823
0.5571912,-0.07784807497437653,0.01600364299188699,0.9968367773280498
0.567234532,-0.07837990467122921,0.016677476542927117,0.9967840550088516
0.578968759,-0.07949318917627601,0.016785190456781927,0.9966940805763393
0.586869418,-0.0784206002529025,0.017579748995054663,0.9967653494585601
0.597516253,-0.07781586879247827,0.016248058720191024,0.9968353380332667
0.609985161,-0.07783123377174937,0.01578295367917918,0.996841611000829
0.617035178,-0.07723829132569371,0.013901724348488083,0.9969157378701703
0.628241736,-0.07697059734524547,0.013630155461477205,0.9969401917900654
0.637026286,-0.0776069282922865,0.014793195529565529,0.9968742779543768
0.64737959,-0.07226893827179699,0.011466708462400927,0.997319264407394
0.656931192,-0.07492085536460444,0.009939409929371427,0.9971399468287749
0.667000809,-0.07675231263480148,0.011524150345625057,0.9969835888639399
0.677649193,-0.07454191732312695,0.01751263223426798,0.9970640953690085
0.687020173,-0.07603916400922059,0.010998432240837214,0.9970441715516032
0.69750903,-0.07447739016207867,0.014215728153199946,0.997121372465619
0.707142788,-0.07753398947112021,0.013472111262871145,0.9968986822615492
0.717260291,-0.07868478828638625,0.013691443071896063,0.996805521894284
0.728240317,-0.08073585110899836,0.01718706907581115,0.9965873403782978
0.73735437,-0.08050709597636262,0.01691391507867356,0.9966105191970254
0.747670321,-0.08087237338719976,0.01688499951486146,0.9965814347127407
0.757235101,-0.08089175700428873,0.017180370211282305,0.9965748133121579
0.771079094,-0.08037483602815522,0.015176175646986307,0.996649170684539
0.778681456,-0.08042459112679415,0.014892404511246685,0.996649437580718
0.786799392,-0.08119422451473803,0.015328492227652403,0.9965804208549741
0.799506855,-0.08274595739339125,0.014204733560365581,0.996469433590178
0.806856446,-0.08411140154074097,0.013527292367071423,0.9963645339392948
0.817302992,-0.08507751111205542,0.013769569884688564,0.9962791857949101
0.827721721,-0.08548792332768919,0.013231151823106083,0.9962513496033785
0.83746391,-0.08421361526009849,0.01254773500671745,0.9963687175694677
0.848399936,-0.0836835367141021,0.011783406271890657,0.996422710007982
0.857126541,-0.08272894464278133,0.012011982113402032,0.9964996909201723
0.867139347,-0.08153898533417359,0.011492255441999263,0.9966038942004639
0.878912474,-0.08147417603504148,0.012091750478208882,0.9966021012469239
0.887181507,-0.08106242350303562,0.013032031673560589,0.9966238255461656
0.898806181,-0.08165427606296581,0.013643063848118229,0.9965673313978686
0.907491107,-0.07946263106289247,0.00816226732759654,0.9968044279880762
0.917180442,-0.08009511111304705,0.008543103190559844,0.9967506150304921
0.927181194,-0.07964034743896449,0.006521873550515773,0.9968023275580732
0.93833265,-0.07892887018468246,0.005101007675939131,0.9968671993661241
