seq,stamp,px,py,pz,ox,oy,oz,ow,lx,ly,lz,ax,ay,az,timestamp,wx,wy,wz,aa_x,aa_y,aa_z,roll,pitch,yaw,vx,vy,vz,jx,jy,jz,fw,fw2
11546,1724822754393131194,-0.0297472830861806,0.2409301102161407,0.1140877157449722,0.0610228143632411,-0.0016779638826847,-0.2296339124441146,0.9713608026504515,0.0,0.0,0.0,0.2497779022871546,-0.1062575878556255,-0.4519791597344649,40.007863288,-0.5808733277045873,0.2654929462448261,-0.4904199339795382,-11.75108568908147,16.936021725470766,-10.232572483775114,0.1196428161581285,0.0247685309559244,-0.4628013110809237,0.0623716759616646,-0.0039838916174144,-0.0322325868959643,-14.299225802991325,-21.07299574183189,-171.19768638432242,-0.0002538121273133,-0.0002734762415594
11548,1724822754403075282,-0.0291435364633798,0.2409655749797821,0.1137148067355156,0.0599246956408023,0.0008876897045411,-0.2303072959184646,0.9712707996368408,0.0,0.0,0.0,0.0434013878076582,-1.0085244041583934,-1.309303939761138,40.017807376,-0.3321507675319154,0.4422260246877875,-0.1668301518051849,5.248274080080062,-14.91289602294468,23.070851892032028,0.1163093034891116,0.0293307687349964,-0.4639315797674713,0.0615683509073816,-0.0094772957134949,-0.0523982825993458,-12.07097578031661,-40.56882509680347,33.72599939340557,-0.0003899966750159,-0.0003838222074575
11550,1724822754413285295,-0.0285059679299592,0.2407320737838745,0.1130236461758613,0.0574539117515087,0.0012069381773471,-0.2304719686508178,0.971380650997162,0.0,0.0,0.0,0.0111778845256544,-0.8968486983165155,0.2923813455563304,40.028017389,-0.4857510225356891,-0.0526793284524184,-0.0305516562358754,14.191187306671496,-11.372045980365836,5.040280795746133,0.1113389739179455,0.028831819437689,-0.4643027095942387,0.0633133231422637,-0.0245556120427767,-0.0582331309024368,-4.462344544566768,47.99907655918378,85.86556521583158,-0.0006757922227877,-0.000730908605314
11552,1724822754422881530,-0.02789057046175,0.2404812276363372,0.1125501617789268,0.0572443604469299,0.0021231095306575,-0.2306898981332779,0.9713397026062012,0.0,0.0,0.0,-0.0434255864954544,-0.1019700429430305,0.4759175053463269,40.037613624,-0.0858858136393822,0.1728144308318231,-0.0571099983218931,11.755904775473663,-2.7891712564348663,5.038839702910688,0.1105040663856794,0.0305406600072625,-0.4646639544672939,0.0619799268104885,-0.0279310471508704,-0.047635872563811,3.5385660903132825,60.55063464961793,-23.66661721661489,-0.0004559505969724,-0.0005168189525586
11554,1724822754432771482,-0.0272994972765445,0.2401867359876632,0.1120964214205741,0.0557865127921104,0.0018263993551954,-0.2303742468357086,0.971500039100647,0.0,0.0,0.0,0.0856352384724878,0.2697629452829301,-0.1943132360607391,40.047503576,-0.2745141310463141,-0.1227080284846552,0.0722920517837503,6.391828844982703,3.13172399641849,8.420592721279773,0.1078064369640184,0.0292564192613332,-0.4640851998398791,0.0625240970588725,-0.0263936471397183,-0.0493341042208612,10.04975001831307,23.526988383826676,-36.8593735645407,-0.0004318395610785,-0.0004998764204692
11556,1724822754443708425,-0.0265823043882846,0.2399389892816543,0.1115150675177574,0.0567282885313034,0.0033145148772746,-0.2297063618898391,0.9715996384620668,0.0,0.0,0.0,0.1592651680735713,0.35702441024269,-0.2235989267729412,40.058440519,0.1033809080218992,0.310825836498774,0.1079823972554852,33.60252195013096,38.53617959889516,3.1666032366969663,0.1089847258938198,0.0325081858382692,-0.4625425697031635,0.0638309384509351,-0.0220606846125527,-0.0517326437707852,43.609423614864866,-26.361108204927568,48.83210164634893,-0.0005639839624546,-0.0006278429049293
11558,1724822754833605309,-0.0259402729570865,0.2395605742931366,0.1111157983541488,0.0577887073159217,0.0033940458670258,-0.2299174070358276,0.971487045288086,0.0,0.0,0.0,529.7423014032045,-487.2306657418442,734.7834253071189,40.448337403,0.0052276409768726,0.0015863588373719,-0.0011896049880018,-6433.630209644357,-640.5974597803051,-5334.5212861288155,0.1110100732992431,0.0331738870123735,-0.4629359898460777,0.6788061835231858,-0.4270614352386133,-0.1985803500099621,2317528.400972626,-757363.2176806901,-1819495.8559275437,-0.0003663404123781,-0.0004597865742775
11560,1724822754834143758,-0.0255742669105529,0.239330306649208,0.1110087260603904,0.0568588189780712,0.0035632904618978,-0.2306720316410064,0.9713624119758606,0.0,0.0,0.0,1779.335455517183,-895.5943783225849,-246.27667774340864,40.448875852,-3.4637379720743855,-0.343818461289354,-2.877523798859207,-5498.92527656661,-937.9782194024148,-11018.259767739592,0.1090932544487965,0.0331600481514899,-0.4644972062449622,0.9644381394895802,-0.6897718322993001,0.1976097155899197,347411.4608483971,446211.20008490514,-3052714.2212295807,-8.763032589104902e-05,-0.0001435688807423
11562,1724822754834537555,-0.0251124799251556,0.2389831840991974,0.1112007275223732,0.0557915568351745,0.0037529694382101,-0.2323696315288543,0.97101891040802,0.0,0.0,0.0,1347.8200257166889,-372.94139975788835,-1802.8751733096333,40.449269649,-5.357439641259771,-0.7985841828317848,-8.851305691731746,-6582.953779019544,11683.135902953934,-8468.995534344915,0.1068673211379404,0.0332230470323342,-0.4679983486391023,2.0248142792346115,-1.1598716819833612,-0.1822160489104192,-3617248.8038825663,1765582.1398331071,-1837530.1688672805,0.0002204089285774,0.0001384565642364
11564,1724822754834916395,-0.0240348279476165,0.2384423166513443,0.1108875945210456,0.0545870624482631,0.0057564061135053,-0.2340437918901443,0.9706753492355348,0.0,0.0,0.0,-941.490051319886,455.69540362653174,-1728.0948241253116,40.449648489,-8.497908266632058,8.306263025549223,-9.617621342531526,2327.5144274104596,-3921.6271711706504,12815.0893026481,0.103532716100514,0.0367349907027141,-0.471293272108826,2.045280410717943,-1.0020078813272448,-1.1707561044264594,-2844565.060669557,622977.2699890018,2616296.115082184,-0.0002679642923434,-0.0004066845454396
