timestamp,px,py,pz,ox,oy,oz,ow
1713497789.3935232,-3.0009048142636825,-0.006532021676934,0.1144529774363599,-0.0040250930591007,-0.7050894013640808,-0.0026867803498821,0.7091019079943724
1713497789.4978518,-3.0009043477331656,-0.006531893725483,0.1144376162594212,-0.0040250976359361,-0.7050860839910833,-0.0026867256699944,0.7091052067615317
1713497789.6063275,-2.999674395158385,-0.0060035186217554,0.1151335572575884,-0.0053136162579962,-0.70519917851262,-0.0041681295091949,0.7089770876437287
1713497789.7128725,-2.9988883700186384,-0.003923184210573,0.1140857334921109,-0.0075311569799694,-0.7050206594060818,-0.0103545661009558,0.7090711772777242
1713497789.8211467,-2.99805786590391,-0.0016702287828195,0.1119693411856183,-0.0069699884367211,-0.7063537754004277,-0.0166299771340423,0.7076292864906566
1713497789.9305449,-2.9957926076424513,0.0010765877426492,0.1099864792104784,-0.0043578290791918,-0.7080492940101375,-0.0200309942062988,0.7058654020764651
1713497790.043748,-2.995376507426643,0.0060686727932129,0.1091020159013534,-0.001079887601958,-0.704950412880981,-0.0197956870535729,0.7089794637334559
1713497790.1622925,-2.9927533114213523,0.0092919017190727,0.1079949879601418,0.0014627547473769,-0.7029037587540159,-0.0208137286266459,0.7109788709790761
1713497790.2796814,-2.987853575910421,0.0105271415894587,0.1076858584726705,0.0022355631740973,-0.7014166855385311,-0.0214617898354853,0.7124247518738337
1713497790.4014118,-2.981958736372941,0.0103394763075961,0.1083311303304165,0.0020508451133998,-0.6996479782241447,-0.0202827847823792,0.7141968280821888
1713497790.5087008,-2.975997052571566,0.0097098741791642,0.1093957365673093,0.0010848170341126,-0.698162928476874,-0.0186672927324114,0.715694683964217
1713497790.622172,-2.971046116646511,0.0089899181265523,0.1106381514410297,-0.001290320596277,-0.697129377693216,-0.0180120437363287,0.7167178887890749
1713497790.7348197,-2.965246770556991,0.0078863362145946,0.1116538056451624,-0.0031853794123558,-0.6957725861705055,-0.0164552967556552,0.7180665602158962
1713497790.8461995,-2.959109796364414,0.0064531793387174,0.1123736724161966,-0.004870929316016,-0.6943643025821009,-0.0145699513582079,0.7194596624305567
1713497790.9505148,-2.952971066418324,0.0052872135755935,0.1128862847955339,-0.0066318401138768,-0.6928858442598911,-0.0126556317297384,0.720905722342723
1713497791.055011,-2.9466803326037643,0.0044653025573451,0.1135302783493382,-0.0085603980872514,-0.6914316268669417,-0.0110216508724557,0.722307101006745
1713497791.1606524,-2.9410340317150667,0.003602355417198,0.1138911197195703,-0.0093010053219551,-0.6913282627547289,-0.0105866393242482,0.7224033828023978
1713497791.2605517,-2.935249341460083,0.0027397243798396,0.1147310769518362,-0.0103194058483938,-0.6918106733418328,-0.0096066514652678,0.7219412817957434
1713497791.3648326,-2.929354539550576,0.0020610778436695,0.1151832648129322,-0.0115589255584671,-0.6915712425229296,-0.0087059109636537,0.7221632882316286
1713497791.4716933,-2.9233676945993494,0.0018561837618559,0.1150079280673964,-0.0120130304451119,-0.689685340796858,-0.0089959096269399,0.7239536527979057
1713497791.5744193,-2.9165255713473375,0.0024237450853234,0.1143786778130283,-0.0109046397293657,-0.684031923288136,-0.0100682694460934,0.7293010672592407
1713497791.6834118,-2.9106759633405503,0.0050274531033835,0.1136231289907712,-0.013724363350007,-0.6721838940279423,-0.0121957522078253,0.7401565497164465
1713497791.7865531,-2.9082581012007034,0.0072295085299824,0.1122546711523271,-0.0145096366490505,-0.6634294639698627,-0.0140750753935966,0.747965713808887
1713497791.8880415,-2.9052051236935466,0.0080489012809718,0.1103576644069143,-0.0151641980053879,-0.6532602670779344,-0.0132460370914928,0.7568656505995567
1713497791.9909284,-2.9042860072697443,0.0101380661112583,0.1060591467110802,-0.0174275971475216,-0.6472923370632878,-0.0124764061453342,0.7619404494621004
1713497792.098302,-2.900721125719312,0.0085743629504688,0.1008004661339404,-0.0208408684684541,-0.6377875589803248,-0.0078096249919029,0.7698907049503101
1713497792.1996908,-2.8967741446945823,0.0063453929677177,0.095100336060965,-0.023547678636493,-0.6287626325217268,-0.001900728507348,0.7772383456870369
1713497792.3088608,-2.8948883091976696,0.0039986941354978,0.089320316920873,-0.0266963220782254,-0.6228198061794403,0.0024363760591429,0.781905914730026
1713497792.416246,-2.893445785012611,0.0015498855284381,0.0845073690556136,-0.0298483891466481,-0.6196645533913365,0.0076551471941633,0.7842616359717599
1713497792.5206072,-2.893286085768942,0.0003558544993585,0.0830921317489247,-0.0310571379439585,-0.6298648674002442,0.0139169534956559,0.7759587755821842
1713497792.626645,-2.892982426850529,-0.0009929469274498,0.0830204589861915,-0.0341659507566109,-0.6418762556502579,0.0202751642122425,0.7657783477988057
1713497792.735628,-2.891494210457497,-0.0020074407274582,0.0861721641200839,-0.0310990644623497,-0.6543035004627811,0.020275502947858,0.7553202509213756
1713497792.841264,-2.8908351072031624,-0.0037665501167895,0.0902100296708253,-0.0333791951627983,-0.6658759890319367,0.0203495306690349,0.745037511245289
1713497792.9446795,-2.8926783245034873,-0.0052068447673219,0.0949813025046239,-0.0369163074618822,-0.6776855221371247,0.0207279770881689,0.7341320523549867
1713497793.048975,-2.8948669939800893,-0.0053191030122729,0.100538339228021,-0.0371921127954681,-0.6919014553095333,0.018971607415506,0.7207837407977729
1713497793.1559858,-2.895654958552187,-0.0050668144719686,0.1052838115861882,-0.0316589554361071,-0.707377133649967,0.0158650600521819,0.7059487241998473
1713497793.2595177,-2.894366934968431,-0.0062269791451786,0.1092751675822022,-0.0406311300111232,-0.7134860888608844,0.0240751921906612,0.6990758881530675
1713497793.3635476,-2.8921754287466683,-0.0082960494776685,0.1112651104043711,-0.0478480931391708,-0.7182408939631308,0.0302195808941633,0.6934892610218049
1713497793.4677188,-2.8882186096137636,-0.0093272640367929,0.1132758736190692,-0.0537956915927263,-0.723786390878196,0.0341884223872221,0.687073821157704
1713497793.57147,-2.8833314105934984,-0.0096027392781748,0.1151781506897298,-0.0569369440420163,-0.7308894083217428,0.0357246704541152,0.6791778891624741
1713497793.675845,-2.8773508579174463,-0.0091195055421668,0.1171918374383757,-0.0605704444536144,-0.7377160461889554,0.0368892987690293,0.671375778599702
