,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
1,0.0,3445.9002202448846,10904.379760952164,21677.928132411227,38199.24810347993,51468.458254826255,51539.78920682342,67025.9331938575,70183.42129017081,60633.53665704448,50046.50882940572,51467.49744397123,59498.13720217018,74519.2316217399,92023.83461463332,107825.76850933346,125077.73701306003,175164.85695867956,109148.09096067894,138158.83887989956,94478.38267884786,121919.35284969622,149768.75044524777,124415.56775542816,159310.51397709502,220441.25570770624,177240.4748476392,115331.68402097467,127891.56412186271,141764.38703971478,101819.53244867214,126679.5052460819,161853.05726347287,113323.23437465788,138019.40432612645,144621.46074443625,171463.6480834093,133501.07506182726,117756.74331616487,165092.68364240028,118401.00695488401,133313.6545698853,175370.18736410604,156971.85379384187,148284.95854880515,197350.53824507113,233843.8217509151,191815.49229477654,144847.59574612256,205593.2565675212,132836.10945435954,127368.0623759376,147081.2392080228,128233.53387878074,158227.34878524218,139375.00443692942,167102.1215443188,196139.40903745822,120751.0235812858,173969.7349829658,273555.3532386254,199279.31405108134,183825.9931620451,238828.0511426657,213001.94947006347,152222.74307875466,127886.118352865,130195.49231596536,91666.74257302357,65578.72680222121,107970.86886992882,125182.16661718309,113506.50526288415,77641.37675152085,98797.9591246642,96929.58924202497,48817.84975719533,48231.72802219321,61630.26097741758,70893.06243241068,60862.615347686915,27583.32416911012,25455.99348435598,29954.06723304139,31802.18655727911,33124.62625229215,24149.28551986459,39190.72967599574,40114.791660879324,38340.42935888728,35005.46489977356,57528.087239733344,57935.41977820968,35857.54390446789,46117.23146499695,39662.68117329245,35812.003331291395,25073.077072926997,26802.804512442584,25340.266275788603,17715.948342060845,19845.29352956178,15983.837070464968,14064.021524429072,13763.291818299367,13348.107755887997,19095.199208569346,22099.223122996045,23212.60776208291,22816.399802889267,23867.53778051299,23703.963802486967,22667.988786856968,22525.34577359549,26733.361373962685,29771.795749795878,32958.656132606884,31924.91119958041,34336.91353878124,32161.185241220046,40365.18685972586,34387.71869246389,35276.62586132662,43129.19209445575,43075.69425306436,42908.817190543035,38946.44508514528,45469.22036914813,24671.038440345765
3,0.0,3293.998498589923,8912.782707125842,21694.66064856306,30370.45046131138,24778.332462606155,29953.578204603764,47786.761073629415,51863.38473328381,33250.628537688186,40741.26008746789,49628.79169080548,44502.215975252606,52061.162474898796,45517.711729496885,31149.652894422536,29686.26779385611,77247.72859522932,86816.63271079479,49637.36099086346,52307.971866708795,67035.61562288868,85488.40225167361,87210.65667463957,115405.95456639242,133401.49562154632,144928.80788080677,175079.27746350705,198886.4576397302,234022.93506858638,222404.56212788398,195240.96858346657,151475.35437478294,155058.35562552034,122518.73522975307,69834.74682491423,46763.223930182234,48900.86615221412,94825.75684326458,92306.25606467374,85722.62255747317,59339.389465236614,95725.71250914119,192834.7409238205,204502.5728717041,200867.816973095,308692.54401870974,622055.6744380113,894201.8392859339,728157.1408001746,464203.1559879292,479263.02555456874,665690.3982460806,579072.4051065899,272167.58126113197,149786.43784863854,178319.81425799354,248386.06439209526,174456.66073219862,76042.83475358257,52496.04915904596,94375.96338201172,258716.78923175292,227157.3405261274,81714.96305934868,47620.2363692682,110483.06861101543,199542.61668148145,172551.69370582717,73312.07112089054,28757.8657135587,16370.903257873682,29416.491855493805,35344.435448454824,26824.810610232504,48156.554736454986,51260.98192632265,20590.93847840394,9015.76090477551,11561.49040866153,18473.123183722244,20058.847708501035,12341.852896943223,8719.916186077751,7555.358107378254,9457.266668975239,11894.306769701618,5908.241430373435,1727.0001959163485,3009.4975986428735,14097.26314457408,33858.75591372663,39165.78604758237,23469.245854766265,11713.090702297312,10724.964955873802,17344.966457812174,20113.6309716516,15468.972952052463,14772.044982648082,14225.934803448414,9734.079988500382,13521.629858888838,12473.924572244134,10403.612093126227,13999.523804921488,13219.055415518973,17586.447317093935,20621.680862563775,17772.192769096237,19711.813728344085,25993.409478842757,38810.566542019136,32971.21943235225,30702.73322876581,39861.89725874331,40033.16585995455,38455.17161024128,41707.64285987237,30539.108946108863,18735.410498688307,14652.921039323975,22723.477055925006,40653.49836480562,58877.48754143167,48099.35055895394,33775.795609104505,33990.54820993112,18308.874691262743
5,0.0,2204.2977858677627,5405.335713960483,10830.216608590992,14711.264672270989,20196.737086808662,32792.84441709286,31753.22327172956,36907.26056953937,46276.006282193506,51618.123018603146,61759.64207690707,62299.57325234687,60875.15064013336,79716.93064527461,88722.90384826377,79134.15685529381,106476.6800460302,104667.33199860959,94473.16563216694,123858.92708044685,87856.75693559922,74106.06575901154,77756.44938370887,70546.41911749094,83397.63866589026,71590.44616204505,59316.00809569028,59525.25009598149,77257.1048610424,78531.52695877045,82202.1398118429,108464.9655868086,108492.07847103258,116725.55869109147,99278.86203700557,83033.93713639308,107142.18021392758,124899.93547339174,127593.39030280792,149393.64482149656,163528.58334133038,111638.4271807948,109694.00860692692,105615.77071311985,99670.41253830388,147353.7814767122,95504.56380489821,107463.51015351102,99170.09541353586,69901.22596712117,72159.08996884199,63002.15337313426,76193.05702652762,91340.87199414735,101823.69778920477,89429.79937572173,80689.40821118938,88901.48909448588,61034.67150487852,68957.29532173823,61304.27614784405,77852.62165052145,78385.65180797472,59921.431860500794,52012.5039691117,45661.1953569624,46480.17163328027,57247.39200866703,69629.07370906217,61737.29121833005,70151.68869445083,77432.28483819641,47654.92653938485,45481.46709116186,51730.6989553958,49693.672732647494,52506.40996864035,44899.54297204956,38642.20849404107,39348.42534820711,34924.70240581595,27101.215633901018,29313.51146610636,24770.30116016916,17510.855135029757,18466.67406695138,18101.070772522333,17809.785347882436,22575.692268956427,19399.567958451404,11772.083941197558,11387.93944347927,9380.713768329304,11239.525514681109,13382.973015663147,10396.574231192684,8855.336513797207,8429.846180003395,8726.880040372189,9490.892973072936,10758.409901301407,9299.934086910103,12050.750429027823,10886.505567783608,10420.529863195798,18640.581610875943,13980.291848215214,13685.272033279696,11810.729894307167,12966.967403777571,11713.907250086288,11724.391881804228,12947.253409924657,14193.905935062121,19438.68949554259,15765.61406165155,17759.77999436086,19571.796039036693,21760.58318496903,27822.930332086646,32170.75151453543,35696.321022350094,35768.09251935927,37998.57151942082,34471.6230671205,43423.10730347436,47644.81435054862,20117.456973946137
