seq,stamp,px,py,pz,ox,oy,oz,ow,lx,ly,lz,ax,ay,az,timestamp,lyap_z,wx,wy,wz,aa_x,aa_y,aa_z,roll,pitch,yaw,vx,vy,vz,jx,jy,jz,forward_velocity,forward_velocity_1
2016,1724913742845681635,0.1324024349451065,0.1787232309579849,0.1793780922889709,0.0131069952622056,-0.0364774391055107,0.17386494576931,0.9840064644813538,0.0,0.0,0.0,0.5975251227899631,0.600500285200072,0.3224476162804937,0.0,0.1793780922889709,0.0,0.0,0.0,8.906672090487643,-9.233201322937619,14.614386111056762,0.013149195199103542,-0.07642012681165998,0.3492689792987105,0.02031260332532974,0.030128225324127775,0.008338219100008119,-22.55582244961231,-8.692235057357431,-10.012418404335337,0.0,0.0
2018,1724913742856725861,0.1326267719268798,0.1790559738874435,0.1794701814651489,0.0137068862095475,-0.0369487553834915,0.1747542917728424,0.9838231205940248,0.0,0.0,0.0,0.3484135220405711,0.5045012767814936,0.21186820461645484,0.011044226,0.1794701814651489,0.09836729947523798,-0.10197356211402206,0.161404583061772,-0.10819090047911628,-3.9909379784322785,9.951794967263808,0.014099259355289018,-0.07757052334187702,0.35104129163734094,0.026911805822099844,0.036760286186941826,0.01189940344737117,-28.27601597959646,13.20664946341505,3.0616008668774217,0.029991849649038966,0.00805997876698236
2020,1724913742867008326,0.1329666674137115,0.1794974505901336,0.1796266287565231,0.0138040576130151,-0.0374238416552543,0.1758579164743423,0.9836071729660034,0.0,0.0,0.0,0.002905560617310954,0.849941584597826,0.3685098040801813,0.021326691,0.1796266287565231,0.010953334075923771,-0.092824768401841,0.21909743697429557,-7.70200789801787,-5.357626965727534,-0.06515091441653276,0.014036731076194402,-0.07855659615505417,0.35328737486655754,0.028109549165691305,0.04102878083585182,0.013019326994644587,-7.278590119495494,25.11192283530713,-17.705538428338404,0.04692166132647761,0.014974706812928723
2022,1724913742877687010,0.1332119852304458,0.1799144446849823,0.1797413080930709,0.0136510441079735,-0.038645714521408,0.1766455024480819,0.9834209084510804,0.0,0.0,0.0,0.21710720876014555,1.0240241329142394,-0.18586556148965272,0.032005375,0.1797413080930709,-0.0624300707262287,-0.21932161883767984,0.15545444723883273,16.730426492467256,6.314970690002085,-8.65088611816773,0.013239972110252456,-0.08092108441435576,0.35492051285842585,0.02688097170504733,0.05492724328380483,0.019833467862310883,-6.268017974224495,-43.089501067015334,-46.527414253002995,0.03586426403287881,0.007097685248514671
2024,1724913742885399993,0.1334410905838012,0.1804265528917312,0.1799449473619461,0.0144386533647775,-0.0387779921293258,0.1769509464502334,0.9833494424819946,0.0,0.0,0.0,0.02209743300634126,0.3608108817026423,-0.5147213429533942,0.039718358,0.1799449473619461,0.19809841487347649,-0.0694425028916992,0.07373856912719552,1.9607203441303582,10.220962741633414,1.4967076005334032,0.014722233587326222,-0.08146457704682117,0.35548350270440215,0.030405934863179773,0.06127964685344356,0.013809604878589177,-32.107108428332225,-67.80073289309917,-1.1010698661923688,0.05293476796801459,0.0026950988568743657
2026,1724913742895519740,0.1337581127882003,0.1809787601232528,0.179917499423027,0.0134511813521385,-0.0394186675548553,0.1781451851129531,0.9831224083900452,0.0,0.0,0.0,-0.39342143419165576,-0.08385206750036467,0.025625611194401654,0.049838105,0.179917499423027,-0.20451300452291166,-0.08830940999249141,0.24942728171867998,-17.68039638803346,6.697266617296041,-5.159981151363807,0.012446366506818633,-0.08239246597427181,0.3580037855954909,0.02485490447778549,0.058786286206588656,0.01213631511784996,14.42155391873459,-21.155612581772278,2.7724029915898,0.04807394254364479,0.010267045604817336
2028,1724913742905424088,0.1339415460824966,0.1816018968820572,0.1801816374063491,0.0125961946323513,-0.0392661392688751,0.1780195832252502,0.983162522315979,0.0,0.0,0.0,0.28722893994707865,-0.07252217505641934,-0.43763033256554096,0.059742453,0.1801816374063491,-0.16535668215735125,0.06101511923189776,-0.019986652622234476,9.273645157311998,4.69443080536221,-8.888953771842491,0.010824321531961435,-0.08178587786507877,0.3578121842578978,0.022461915448316105,0.05953131111634846,0.01424133865805377,44.855134151751706,-7.191554549547341,-28.227423451202853,0.041429185474518404,-0.006735439330907997
2030,1724913742916272596,0.1342320591211319,0.1822075098752975,0.1801884621381759,0.0125774983316659,-0.0393354631960392,0.1785580664873123,0.9830623865127563,0.0,0.0,0.0,0.4902335417268333,-0.24958766097628837,-0.5234848953535008,0.070590961,0.1801884621381759,-0.0015333039219728492,-0.011425992560743453,0.10118442929392338,10.272203207180503,-13.218205308807384,8.381832226644569,0.010717751196773552,-0.08192165700116213,0.3589122036970893,0.03186194035927947,0.056988957987643474,0.0017679971060999833,-18.773729162116304,7.6702506758122375,36.329678051111614,0.04458303457637434,0.005289370530397151
2032,1724913742925792415,0.1345778405666351,0.1827597618103027,0.1802148073911667,0.0129727162420749,-0.040195308625698,0.1792947947978973,0.9828883409500122,0.0,0.0,0.0,-0.0016452590716469206,0.02385674799457016,0.19197229847280287,0.08011078,0.1802148073911667,0.05591705723038946,-0.1919009194957864,0.157691181999832,0.3826143948571785,-11.073503177304673,1.8103704898451998,0.011127086685212003,-0.08376480359954702,0.360398434536102,0.03338575596293136,0.05448563935737738,0.002016456293342017,-38.069272777044965,31.422496470250373,56.61127479847286,0.05448676398778731,0.013157236306264048
2034,1724913742936409532,0.1348975300788879,0.1832965016365051,0.1802273243665695,0.0131148211658,-0.0413383170962333,0.1799464672803878,0.982719898223877,0.0,0.0,0.0,-0.24479915000591546,0.3894292539529487,0.5734525051131071,0.090727897,0.1802273243665695,-0.0069478108247504975,-0.2161123434167596,0.128064551320221,2.2038118679092897,5.748797649971643,-4.902587065836762,0.010939740529933167,-0.08607414942450584,0.36173750833373597,0.03145346186158626,0.058135079987417626,0.00601873511108586,-18.455329031384515,-17.91289782307785,-0.17853393486845803,0.04598407607735648,0.010033097580480533
