seq,stamp,px,py,pz,ox,oy,oz,ow,lx,ly,lz,ax,ay,az,timestamp,lyap_z,wx,wy,wz,aa_x,aa_y,aa_z,roll,pitch,yaw,vx,vy,vz,jx,jy,jz,forward_velocity,forward_velocity_1,deviation
10610,1724818892576910046,-0.5731581449508667,-0.6473059058189392,0.1359831243753433,0.0304182730615139,-0.075338177382946,0.5922613739967346,-0.8016391396522522,0.0,0.0,0.0,-1.3602814151059615,0.16645912184841172,0.1713936942801224,0.0,0.1359831243753433,0.0,0.0,0.0,-13.122147897050773,-9.377209059189864,-8.759864280760105,-0.13895386369889734,0.08485873503614207,-1.2785144471000023,0.08242924908454663,-0.01533345939065512,-0.018936167580168656,1718.2866770417904,-341.0330215291768,-328.5920425580255,0.0,0.0,0.12555735039462554
10612,1724818892586923544,-0.5723327398300171,-0.6474594473838806,0.1357935070991516,0.0312571674585342,-0.0753375515341758,0.5925493240356445,-0.8013941049575806,0.0,0.0,0.0,15.84577878887865,-3.2484743571679564,-3.118962066690581,0.010013498,0.1357935070991516,-0.1313986017228221,-0.09389866415977959,-0.08771688345566275,-8.83961919690977,-6.2999283256868255,-6.220987350141432,-0.140332089014427,0.08380537698148591,-1.2792560236272739,0.06880807385494592,-0.013666621306944293,-0.01721991716528204,4374.544419357156,-2570.6225761598166,1330.2959326580626,0.039829286638597715,0.006130870571405086,0.12555735039462554
10614,1724818892619764414,-0.571540117263794,-0.6477287411689758,0.1354128420352935,0.0304613355547189,-0.0753464326262474,0.592858076095581,-0.8011955618858337,0.0,0.0,0.0,445.60688775162726,-327.8121163911251,219.24278083268587,0.042854368,0.1354128420352935,0.03955846732053411,0.030650550684169033,-0.018564978262383243,-18498.11799523174,6703.975159165832,-13575.33050236503,-0.13909579208857364,0.08471725705689921,-1.28000263248046,2.4424084941877027,-0.48816121498293796,-0.4740433357887355,-697383.1043013792,167912.7220265317,99808.79093856574,0.015703388773235714,-0.0026752918507647627,0.12555735039462554
10616,1724818892620067045,-0.5707942247390747,-0.6478778123855591,0.1352680921554565,0.0310025084763765,-0.0760824158787727,0.5933082699775696,-0.800771951675415,0.0,0.0,0.0,232.5758085225939,-276.5006908632796,249.70747605101764,0.043156999,0.1352680921554565,-5.610146931025064,2.078166502834395,-4.164745124350436,-13899.250737895289,8005.346235769762,-14876.637780129344,-0.14090735047004596,0.08516415094515094,-1.2813433797853853,2.5783040854893216,-0.5882412221434379,-0.40704346450169737,-736200.5992262029,196443.80084914627,80567.94626703003,1.2120095753976867,0.15933148965100155,0.12555735039462554
10618,1724818892620395302,-0.5699074268341064,-0.6481049656867981,0.1351598501205444,0.0317332036793231,-0.0775358006358146,0.5944713354110718,-0.7997406125068665,0.0,0.0,0.0,-20.57718703516013,-202.44142060412432,268.9984466601406,0.043485256,0.1351598501205444,-8.474522662820489,5.147350784202015,-9.466891600331335,-8243.024613382415,8859.95064629983,-15302.645461535694,-0.14397430604117145,0.08639553610565984,-1.2846714872819802,2.5775734607386944,-0.659706761855583,-0.3149931806454753,-735507.3611304385,216666.01831294157,54113.59492126635,1.4494709442674238,0.051714885108369954,0.12555735039462554
10620,1724818892626856644,-0.5690187811851501,-0.6482605934143066,0.1350011229515075,0.0324475020170211,-0.0782930701971054,0.5950849056243896,-0.7991816401481628,0.0,0.0,0.0,-232.95600741728512,59.5148915699191,26.69466753554133,0.049946598,0.1350011229515075,-0.3069309017983873,0.07546427785510257,-0.26444759216548824,771.1584540532679,-480.8674518054002,871.4321826132402,-0.14611023881208432,0.08663105062317424,-1.2864392914706717,0.11061612889779937,-0.02556115516973989,-0.029714300211769462,-10780.611368328593,22240.759889600715,-23764.60612985507,0.0635963012028678,0.011628644673394098,0.12555735039462554
10622,1724818892636806198,-0.5683305859565735,-0.6485375165939331,0.1346265971660614,0.0333601422607898,-0.078634962439537,0.5952563881874084,-0.7989827990531921,0.0,0.0,0.0,-1.8018170820570116,0.407534754965554,0.6943284124037432,0.059896152,0.1346265971660614,-0.18610808890278513,-0.049998697359826795,-0.06346674587609587,11.253263306363408,-3.057588999338705,6.4172570832374385,-0.1480096961867971,0.08604643103035482,-1.2869931617590586,0.07327304076507346,-0.025256207253832486,-0.03157101086470693,11575.70141230485,-2919.8804885809436,-1278.5805517518438,0.049151606440085434,-0.013257322824205716,0.12555735039462554
10624,1724818892646496221,-0.567581832408905,-0.6487579345703125,0.134377971291542,0.0337106771767139,-0.0789009183645248,0.5957338213920593,-0.7985858917236328,0.0,0.0,0.0,0.3576195727657723,0.6221294346193659,0.9001627095713491,0.069586175,0.134377971291542,-0.08546548846778303,0.01052094385411115,-0.13135459309151934,0.9787614915643648,7.061280517709684,-8.832968954258469,-0.1489476802821313,0.08595895795786275,-1.2882717356163282,0.07422950356576408,-0.017750420399909927,-0.01652928303912926,97.78133426467693,-0.7400203378274082,-34.71893581215417,0.045429280772800805,-0.004324317160877651,0.12555735039462554
10626,1724818892657703666,-0.5667893290519714,-0.6488921046257019,0.1343110501766204,0.0343674011528492,-0.0799571201205253,0.5968016386032104,-0.7976549863815308,0.0,0.0,0.0,-0.16772289896948323,0.3171766563521832,-0.21433934163661927,0.08079362,0.1343110501766204,-0.19644000951615528,0.10023359738887959,-0.2540322803223731,-7.354677373970043,4.7159860087461105,-2.537156696911273,-0.15140735221376733,0.08664371544772222,-1.291265915521714,0.08159367059663936,-0.012754196704285903,-0.014893954978481005,-65.74068363934568,-30.691055824638756,-48.44743622095588,0.03141700983973293,0.007097937524414535,0.12555735039462554
10628,1724818892666167398,-0.5660291910171509,-0.6490050554275513,0.1341279596090316,0.0349597968161106,-0.0809391289949417,0.5974848866462708,-0.7970185279846191,0.0,0.0,0.0,-0.8447221552800688,0.03516485251958634,-0.2984364510553321,0.089257352,0.1341279596090316,-0.24240718758073357,0.11912768809069958,-0.22175862396059323,4.354363429086444,0.0326605848287449,8.058556587453868,-0.1536342051397831,0.0873551280135426,-1.2932819600789354,0.07490221837667477,-0.0108917903123249,-0.019010704099390097,-34.39461202930182,-25.162997705666857,-9.577588284921182,0.039184425167814375,0.008181989780596267,0.12555735039462554
