seq,stamp,px,py,pz,ox,oy,oz,ow,lx,ly,lz,ax,ay,az,timestamp,lyap_z,wx,wy,wz,aa_x,aa_y,aa_z,roll,pitch,yaw,vx,vy,vz,jx,jy,jz,forward_velocity,forward_velocity_1,deviation
5468,1724557162301030358,-1.541375756263733,-0.2243864834308624,0.1647896021604538,-0.0139848757535219,0.0672419369220733,0.5020939111709595,-0.8620815873146057,0.0,0.0,0.0,7.6421511313700785,-9.235205806318808,5.503878285555087,0.0,0.1647896021604538,0.0,0.0,0.0,6.4049874863150755,2.526626271793606,-1.8307885313937475,0.0922459336211636,-0.1020697683876541,-1.0595012643721111,0.026313251728796207,-0.0293375269470378,0.02109620553315333,-501.1877598252089,591.5953937072685,-406.2430552016515,0.0,0.0,0.15767492517796464
5470,1724557162318413464,-1.5409183502197266,-0.2248964607715606,0.1651563197374344,-0.0150293773040175,0.0673948228359222,0.5022616982460022,-0.861954391002655,0.0,0.0,0.0,-1.0700488235740693,1.0485596316063734,-1.557887804779071,0.017383106,0.1651563197374344,0.1113385764032885,0.043920612304973065,-0.03182479110480184,30.53508115548709,38.99983243115386,-179.68388886333383,0.09423029514889666,-0.10125811383481403,-1.0599835850294403,0.1591575749134222,-0.18987408841009312,0.11677070518205568,-943.5803394755524,1160.7639527388142,-761.9446544773209,0.04039223743498898,-0.015313771901252158,0.15767492517796464
5472,1724557162321093739,-1.540436863899231,-0.2254717200994491,0.1655088365077972,-0.0154271190986037,0.0673308223485946,0.5029178261756897,-0.8615696430206299,0.0,0.0,0.0,-3.7819301268837875,4.394945145617481,-3.7471089511813234,0.020063381,0.1655088365077972,0.20315317636059055,0.1635240816636923,-0.5869279459417741,23.751649965752936,32.30152549250066,-157.74487758089347,0.09492925999996396,-0.10067320801030503,-1.0615160037966778,0.1526890800479883,-0.18281371343137653,0.10967673849343562,-816.7072285106663,1018.519007699762,-668.7645950179485,0.28679967759910474,-0.11570931800330977,0.15767492517796464
5474,1724557162332131393,-1.5399765968322754,-0.2260435074567794,0.1657264232635498,-0.0152896465733647,0.0674802958965301,0.5033267736434937,-0.8613215684890747,0.0,0.0,0.0,-3.929027592862709,5.182344803199257,-4.400333415174431,0.031101035,0.1657264232635498,-0.012136081935129196,-0.04003227468303322,-0.08435411068123654,-2.639792847575027,-7.549150367139122,23.41907107179175,0.09489333902782494,-0.101024847576496,-1.0624897278081262,0.04873860567172983,-0.05427044275099391,0.018300622316550275,205.30245426292927,-234.72020011992828,156.8434662597497,0.06720295547551206,-0.027212551859757083,0.15767492517796464
5476,1724557162342146036,-1.5394245386123655,-0.2266094237565994,0.165896862745285,-0.0157593823969364,0.0678372457623481,0.5035080909729004,-0.8611790537834167,0.0,0.0,0.0,0.11356735567339715,0.050727434020750195,-0.8667027428233492,0.041115678,0.165896862745285,0.11467202037864374,-0.01665705190826596,-0.05075453386195866,-4.157240994958265,-1.7404103863054083,1.6062535649812504,0.0960946685480851,-0.10114243329996037,-1.063014249829474,0.059264291232082655,-0.061101752365607,0.00947235382838052,238.21604326940428,-300.64651769353236,194.3792282993797,0.07751200801948117,-0.024476407994801223,0.15767492517796464
5478,1724557162351308250,-1.5388468503952026,-0.227207750082016,0.1659203916788101,-0.0153670664876699,0.0679483860731124,0.5037328600883484,-0.8610458970069885,0.0,0.0,0.0,0.9092754112071417,-0.9287744662395032,-0.41408468032355983,0.050277892,0.1659203916788101,-0.06440439985121296,-0.06675704226142634,-0.05069666241157396,-9.719157979567077,-4.078681329643242,2.014250964392276,0.09555758925613267,-0.10170682196457087,-1.0635377814392697,0.05244669080443032,-0.054493897177100514,0.0016557753939547837,54.25533500744328,-59.96912898615054,48.50651617652888,0.08751726533507243,-0.026382251816673395,0.15767492517796464
5480,1724557162366521214,-1.53831684589386,-0.2277637124061584,0.165922537446022,-0.0152275310829281,0.0687034055590629,0.5035242438316345,-0.861110508441925,0.0,0.0,0.0,0.911413543912424,-0.6554567323727092,0.3012611872673421,0.065490856,0.165922537446022,0.03593829408600895,-0.09370940947984062,0.030665781500533364,19.34461357016096,4.3924303137271,-22.567816704716336,0.0960706045439136,-0.10317051662393892,-1.063208099624474,0.10804313265265364,-0.1103012622856312,0.006446500845580516,-385.3323821156737,404.541639920649,-24.709647815371422,0.04862652894230556,-0.01478955728519042,0.15767492517796464
5482,1724557162370881262,-1.5377542972564695,-0.2283367961645126,0.1659585237503051,-0.0154252154752612,0.0689750164747238,0.5036986470222473,-0.8609832525253296,0.0,0.0,0.0,-1.2503385444103237,1.5914264491305188,0.10389039307769006,0.069850904,0.1659585237503051,0.13621248610452688,-0.06685558249356803,-0.10261468985560603,12.33795488825436,5.239312428551376,-21.013298934057254,0.09671356695217073,-0.10341759445902955,-1.0636839929057849,0.10858914225769922,-0.10939412073501842,0.0077429577169318975,-369.95039715993653,385.7152063757964,-34.825503568349845,0.17746245069292357,-0.05250733537631339,0.15767492517796464
5484,1724557162381504548,-1.5371296405792236,-0.2289282977581024,0.1660275608301162,-0.0153207713738083,0.0691055133938789,0.5040637254714966,-0.8607609868049622,0.0,0.0,0.0,-1.9227339751134966,2.3339614173644074,0.004220466748530383,0.08047419,0.1660275608301162,-0.008650109952629409,-0.03500352150156223,-0.07851890584040593,-6.618674404207943,-1.4105831865606153,2.1112167701108193,0.09671169914398582,-0.10370716782259061,-1.064554827360001,0.059701620270303124,-0.056681230835469165,0.0038391834640769673,74.03855356695551,-73.5918491092582,5.235286398439471,0.07746600108000447,-0.020713154596528005,0.15767492517796464
5486,1724557162391597198,-1.5365184545516968,-0.2295099645853042,0.1660408079624176,-0.0150730116292834,0.0694777145981788,0.5043286085128784,-0.8605802059173584,0.0,0.0,0.0,0.1413317515824155,0.21537979665777218,0.19721855161471588,0.09056684,0.1660408079624176,-0.00816118114463602,-0.09151494291741467,-0.05871641281277239,-5.2842045511115,4.4587933700809135,-11.325158456672016,0.09670029667795,-0.1045692585079467,-1.065237516973521,0.06598557515796699,-0.058324504766073204,0.007445772316707178,87.28936567808279,-105.97965071325638,-31.669250444957456,0.07945226343766507,-0.020915555878345884,0.15767492517796464
5488,1724557162401139928,-1.5358397960662842,-0.2300727814435959,0.1661671996116638,-0.0148304458707571,0.0690286830067634,0.5055375695228577,-0.8599109649658203,0.0,0.0,0.0,-0.08336062353527574,0.1418145272893132,-0.5632762574848013,0.10010957,0.1661671996116638,-0.10670219936312778,0.04178570131232116,-0.28667700262298285,-4.2313971288153285,7.162154667586265,-7.2648446755940785,0.09596293080670333,-0.10390923368569537,-1.0679368307171873,0.06299164919276024,-0.05285679252288311,0.007882963447184643,-2.473532367113295,-17.27090011728161,-50.17976712960956,0.08686175247994266,-0.018839088103734216,0.15767492517796464
5490,1724557162413460506,-1.5351929664611816,-0.2306266278028488,0.1661790311336517,-0.0146178919821977,0.0687104910612106,0.5061537027359009,-0.8595775365829468,0.0,0.0,0.0,0.22136349110738873,-0.223073920495795,-0.71204160134966,0.112430148,0.1661790311336517,-0.06188368352263653,0.02175370576245064,-0.11175236965232194,10.06971642006808,-5.248534996729315,17.660257777667017,0.09534046898952606,-0.10351093486794732,-1.0692889916962494,0.06562923648814944,-0.057967989116836094,-0.008745753013137403,5.258137539580968,-13.561465994059994,57.148553612061846,0.06440977963929752,-0.014049320027059095,0.15767492517796464
5492,1724557162421805851,-1.5345710515975952,-0.2311839610338211,0.1660511791706085,-0.0147221116349101,0.0689899548888206,0.5059415102005005,-0.859678328037262,0.0,0.0,0.0,0.1551588497041494,-0.24549622645872837,0.156181606073735,0.120775493,0.1660511791706085,0.058509988067020006,-0.04252488722758109,0.05520109550782943,8.847837552297868,-0.0014083941339007033,8.538075896678546,0.09578455661254026,-0.1039081635579129,-1.0688620485409845,0.0675177636682136,-0.05874555917103663,-0.01108364984950061,-12.945147952461276,-20.603067004726476,72.04166466031018,0.09230236747038972,-0.020252642240354262,0.15767492517796464
5494,1724557162433263331,-1.5339076519012451,-0.2317305952310562,0.1659908294677734,-0.015315962024033,0.0688096210360527,0.5060409903526306,-0.8596237897872925,0.0,0.0,0.0,-0.07200003324513116,-0.7633816452833555,0.47830762348588945,0.132232973,0.1659908294677734,0.07213134385788424,0.07859590737785166,-0.027360065577712256,-34.4721524361473,-11.367445801864056,-5.5436913251742,0.09663440264009754,-0.10298169281346191,-1.0690886895730043,0.06817647537761218,-0.06395438291709254,-0.002430721109805134,-31.467244132057818,12.995044730700766,-2.9442988261416154,0.06876551697875519,-0.013004242381509502,0.15767492517796464
5496,1724557162441161047,-1.533313274383545,-0.2323241233825683,0.1659870743751526,-0.0137334922328591,0.0684613138437271,0.5063661336898804,-0.8594869375228882,0.0,0.0,0.0,-0.383892340444437,-0.34393623298007103,0.28596969036242803,0.140130689,0.1659870743751526,-0.3942566082138794,-0.13061448831761327,-0.062093728440113724,-28.530007030237805,-17.349887144301718,-1.247172885841069,0.09358155342131454,-0.10396203011102764,-1.0696781005331117,0.06690289257267779,-0.07166422500237069,-0.00016068482162889808,3.1761953844450153,53.309361929087906,1.0041317492233475,0.10146634366576998,-0.0292506598021851,0.15767492517796464
5498,1724557162451668357,-1.5327271223068235,-0.2330283671617508,0.1659897863864898,-0.0120449988171458,0.0685837864875793,0.5066155791282654,-0.8593555092811584,0.0,0.0,0.0,0.2459395510682838,0.21899271779437735,0.6510008203918921,0.150637999,0.1659897863864898,-0.26733663125118745,-0.18514406206079376,-0.031153064253295625,20.76753360963952,1.7520730279576293,1.5307228504186077,0.09082574963173638,-0.10586899823434692,-1.0701859856397784,0.05975699494031517,-0.06643938066921962,0.0028236809124351225,46.87568857195645,26.560617086440104,14.067016093751976,0.08512248715068094,-0.031657711673374736,0.15767492517796464
5500,1724557162461958528,-1.5320721864700315,-0.2337061464786529,0.1660446971654892,-0.011952188797295,0.0690999403595924,0.5067406296730042,-0.8592416644096375,0.0,0.0,0.0,0.5966197923351211,0.22006821957664524,0.5874135404495573,0.16092817,0.1660446971654892,0.033921615568140995,-0.09715928365649906,-0.029650843453047256,15.15938358657161,9.409879008576175,-10.433475182964525,0.09121693953926466,-0.10683690181663609,-1.070582871139452,0.07161981758481772,-0.06699013226622164,0.01322077067786509,-25.148607395437285,23.462143942985897,-16.34708646501718,0.0883879355665783,-0.02759612364385756,0.15767492517796464
5502,1724557162471311834,-1.5313345193862915,-0.2343422770500183,0.1662353873252868,-0.0122418068349361,0.0692271366715431,0.5075951814651489,-0.8587228059768677,0.0,0.0,0.0,-0.1421416439751897,0.6380972419340014,0.3480713997540934,0.170281476,0.1662353873252868,0.055693556907454145,-0.0018384932866771567,-0.21718213173671544,2.939525374967214,3.6093122361114918,-5.254006966354867,0.09195479883145252,-0.10666824330798759,-1.0726189129777213,0.07247142788857275,-0.06260577374638565,0.015118991210773203,-25.011844098739736,-15.294938215366562,-63.71203078277436,0.0990463233152828,-0.0243816079117504,0.15767492517796464
5504,1724557162482226333,-1.5306249856948853,-0.2349567413330078,0.1663333028554916,-0.0125940088182687,0.0697029456496238,0.5079654455184937,-0.8584602475166321,0.0,0.0,0.0,0.27227077679860434,-0.29286463298416177,-0.8328584096456029,0.181195975,0.1663333028554916,0.09556903888987307,-0.046272552236124746,-0.08608453202391174,-9.829247005093334,4.822144783581427,-2.8634260608663613,0.09310326569159486,-0.10708431290403043,-1.0736067783867853,0.06795004105289593,-0.05348440379942865,0.0207663672088092,16.14793580450091,-74.26164625345828,-139.16979286239717,0.08098579263855088,-0.01936046794364518,0.15767492517796464
5506,1724557162492354433,-1.5299091339111328,-0.2354719936847686,0.1666544824838638,-0.0123373894020915,0.0689759030938148,0.509113609790802,-0.8578424453735352,0.0,0.0,0.0,0.230736596084836,-0.9412902252097766,-2.5334656500410246,0.191324075,0.1666544824838638,-0.13069773985899039,0.08614857992614476,-0.25488389281242646,-3.6138006782302967,-9.135305653072884,17.46864291367799,0.09204581029668987,-0.10597691066734402,-1.0761109419538621,0.07715984519505525,-0.06705733076378628,-0.000359307459838476,-37.31254020749793,44.064295713555744,21.757385650590642,0.0812452553226824,-0.015134223819935974,0.15767492517796464
5508,1724557162501094343,-1.5291858911514282,-0.2361801266670227,0.1664094626903534,-0.0118530578911304,0.0695417076349258,0.5085464119911194,-0.8581398725509644,0.0,0.0,0.0,-0.3458536062667692,0.2590167495828193,-0.9128400833569532,0.200063985,0.1664094626903534,-0.021045486695869697,-0.16120025646498307,0.15523691336767195,-16.542201796966403,-15.90286846614335,26.933816287982236,0.09173094966998588,-0.10750431893895694,-1.074882036420861,0.07405850362800948,-0.07227610963923503,-0.02587749880840562,8.408018399506119,94.05192570130475,212.84409186049965,0.10699190975134637,-0.02775094240130695,0.15767492517796464
