seq,stamp,px,py,pz,ox,oy,oz,ow,lx,ly,lz,ax,ay,az,timestamp,wx,wy,wz,aa_x,aa_y,aa_z,roll,pitch,yaw,vx,vy,vz,jx,jy,jz,fw
8,1724915320703448693,-0.4698769450187683,0.129091665148735,0.1733031719923019,-0.0463938973844051,-0.022528002038598,-0.3916807770729065,0.9186546802520752,0.0,0.0,0.0,-1.0794117894117532,-2.6498916873371137,2.23445406199986,0.0,0.0,0.0,0.0,67.51091286336488,-41.43283652277257,29.213747016347167,-0.0678495642125139,-0.0778126041183788,-0.8034078602165295,0.0211255982166064,0.132731478970298,-0.0714555725409278,-15.283204386253054,-13.751312079482524,-38.33650754199427,0.0
10,1724915320709321524,-0.4697528779506683,0.1298711746931076,0.1728835254907608,-0.0456155315041542,-0.0236170012503862,-0.3911581635475158,0.9188889265060424,0.0,0.0,0.0,-1.169167465910676,-2.730650819208173,2.009310232075502,0.005872831,0.396480181902268,-0.2433280467488709,0.1715673991037611,15.181809215237692,-25.22662918283157,20.15538052865136,-0.0656076668252973,-0.0791712597419787,-0.8023037951981803,0.0147863951979836,0.1171691129222622,-0.0583330014575391,7.552486353444046,32.1624743553498,-79.08185026112159,-0.0003386399998623
12,1724915320719477943,-0.4697140455245971,0.1307878494262695,0.172521561384201,-0.0477876253426075,-0.0238374602049589,-0.390138030052185,0.919206440448761,0.0,0.0,0.0,-0.6913656777400738,-1.597546407549194,0.4904536751014774,0.01602925,-0.3684571489984024,-0.2148876948500697,0.2171689713988709,-34.37891371517293,9.848457863110657,0.1197492029323825,-0.069538554105296,-0.0811998351785974,-0.7999481896446758,0.0013353344907756,0.0880169920700328,-0.0418801247328897,59.646299509118506,95.66246034438468,-97.90413230987822,-0.0002625703949018
14,1724915320729741192,-0.4697261452674866,0.1316679716110229,0.1720270067453384,-0.0492899268865585,-0.0233929473906755,-0.3893473446369171,0.9194737672805786,0.0,0.0,0.0,0.0514968679217807,-0.7806708195975331,0.0212322851333319,0.026292499,-0.2967332784753316,-0.0407119633994285,0.1730739953258966,20.811560276793656,12.203141031156571,-9.805640035856046,-0.0727308752578887,-0.0814903692039466,-0.7981407388950155,0.0008049009106798,0.0848211155780314,-0.0485606973281136,-12.840855278247226,188.9988043343116,-106.82982328662465,-0.0003957462810755
16,1724915320739851253,-0.4696982502937317,0.1325162202119827,0.1715323328971862,-0.0489843152463436,-0.0233257226645946,-0.389261394739151,0.9195282459259032,0.0,0.0,0.0,-0.9270613784592372,2.219715449632815,-1.6674401489336002,0.03640256,0.0513397470977191,0.0351804810394333,0.0190709308291813,28.199117635776297,6.149514602735282,-12.684267568887083,-0.0722254049449648,-0.0811216714118131,-0.7979737061189432,0.0023531202837823,0.0722548467401435,-0.0416519478312512,32.19212926013019,-329.6537291128644,233.40702310619668,-0.0004000762135646
18,1724915320787108328,-0.4696767330169678,0.1333581358194351,0.1711713969707489,-0.048562616109848,-0.0228538438677787,-0.3896657228469848,0.9193910956382751,0.0,0.0,0.0,29.08547806138472,-151.73123032316244,97.81576832794042,0.083659635,0.007953543906801,0.0260136152008067,-0.0174323190925545,-4107.180881396251,-5078.1210268430505,2614.579268008243,-0.0717760727971831,-0.0799547764000322,-0.7988866292313543,-0.2800641101305245,0.942026358407503,-0.6397217822857897,22918.28871500828,17595.862985462096,-9568.573464003304,-0.0002687714779749
20,1724915320787844702,-0.4698861837387085,0.1340624243021011,0.1706930696964264,-0.0501569993793964,-0.023656353354454,-0.388967365026474,0.9195809364318848,0.0,0.0,0.0,46.21759636112586,-138.53481176998974,90.63577062365108,0.084396009,-3.063584579750759,-3.7716488532352304,1.93788547123183,-2967.68015811252,-2881.3500199801733,1720.0841301560863,-0.0741644661620709,-0.0826207001324543,-0.7972555981523033,-0.2582440086473241,0.8283432127116086,-0.5664252000520946,21382.996286892103,23981.330964623572,-27613.567610888393,-0.0003965155281991
22,1724915320789214264,-0.4701731503009796,0.134870633482933,0.1701291054487228,-0.0532574467360973,-0.0237179547548294,-0.3877614140510559,0.9199142456054688,0.0,0.0,0.0,70.7077699105617,-90.2534655611741,7.316213796774832,0.085765571,-4.062474219979195,-1.9206466226735452,1.911372329373368,978.7702787334928,1767.9234476033805,-515.0055427741959,-0.0799646197235728,-0.0850418028150061,-0.7944331795119965,-0.1526986691030742,0.6789782150543147,-0.4649676304251784,-3292.8430754146684,3087.1785745694506,-37867.30211720635,-0.0004654025039902
24,1724915320790322921,-0.4702914357185364,0.1357031315565109,0.1695658862590789,-0.0539169572293758,-0.0231703985482454,-0.3873357474803924,0.92006915807724,0.0,0.0,0.0,48.05388532614082,-115.6983385461706,-14.051683069962053,0.086874228,-1.4443927809103614,0.4130697330790557,0.8955871958354191,2554.6790565816173,1024.1889189502813,-177.0116864552125,-0.0816469226405401,-0.0845052092438343,-0.7934771319097327,-0.080013362175606,0.5957964689853199,-0.5167742294171163,-19230.977763729512,-24295.91427275876,2521.351292460722,-0.0004616981816635
26,1724915320791715734,-0.4703561961650848,0.1362615525722503,0.1688307970762252,-0.0523910969495773,-0.0237918458878994,-0.3860486447811126,0.92068213224411,0.0,0.0,0.0,23.373126704625204,-151.89119881306937,27.597028882661498,0.088267041,2.451841183640542,-0.0516194262964605,1.9425277672619736,2484.048852552227,-299.2964288219814,658.2554151551459,-0.0784606895556822,-0.0843605044829773,-0.7907647215673538,-0.0437182543524343,0.3634876142141241,-0.4791665640313858,-16070.998298897468,-22008.47849340937,26634.173047769185,-0.0006658746387951
28,1724915320803652189,-0.4705938696861267,0.1367700695991516,0.1680834889411926,-0.0524101369082927,-0.0244432892650365,-0.3846682906150818,0.9212416410446168,0.0,0.0,0.0,0.2366168713544487,-7.7677256285343805,11.169524727015402,0.100203496,0.0496149881196534,-0.1116125599334727,0.2434873995079469,-125.30148515880656,-52.98925915130866,-8.448729636362742,-0.0781239612189495,-0.0854613793606189,-0.7877522859261066,-0.0394644693989647,0.0746459863652653,-0.0888082211194252,-559.2900149475746,4693.341116075719,-1534.144193947733,-0.0006825214205225
30,1724915320809288102,-0.470868319272995,0.1372760385274887,0.1675132513046264,-0.0542108677327632,-0.025265397503972,-0.3831855058670044,0.9217330813407898,0.0,0.0,0.0,0.7541405210121451,-0.9573783998642368,2.103047648273707,0.105839409,-0.4544671499092403,-0.5378879786102486,0.5521637869065634,-48.846345009246555,-34.74126249685402,25.183629864131085,-0.0809763748059923,-0.0882359932595972,-0.7843966386062969,-0.0384495843575045,0.0745902917282332,-0.0831595285532342,70.16489770535364,750.4856677282387,-1031.4272182218258,-0.0005044160513518
32,1724915320819384549,-0.471071183681488,0.1377544701099395,0.1669995635747909,-0.0555265136063098,-0.0254715587943792,-0.3819088339805603,0.9221787452697754,0.0,0.0,0.0,1.0707656618291963,-1.6622677342376355,2.130530293876107,0.115935856,-0.2133940495348253,-0.1489854253703638,0.2713007463619684,3.928883202520886,26.196387549270636,-20.041109666532563,-0.0833851466215044,-0.0895102718909473,-0.7815318004180135,-0.020452163968553,0.0477865564009016,-0.0420161195520565,-8.032814742904606,1.8505601601438428,-105.58349911598144,-0.0004506224655138
34,1724915320830100308,-0.4712944328784942,0.1382710933685302,0.166650116443634,-0.0575306750833988,-0.0246551986783742,-0.3812432885169983,0.922353446483612,0.0,0.0,0.0,0.5366705008825446,-0.8273742771188668,-0.2326420379532692,0.126651615,-0.3981644653522106,-0.0084142490245339,0.1449921681450606,9.846653811860437,3.9559506553993993,0.0956955536781354,-0.087791377496898,-0.0894672899783453,-0.7799698235708857,-0.0170732613486883,0.0412618726923827,-0.041300876220303,-14.397972183555725,51.27206719529906,-103.91447639217368,-0.000281808569398
36,1724915320840182603,-0.4714308977127075,0.1386211812496185,0.1661512702703476,-0.0578642003238201,-0.0247574113309383,-0.3800292909145355,0.9228307604789734,0.0,0.0,0.0,0.7277380775282501,-0.563154398867123,-0.1740681118616347,0.13673391,-0.0419088548265234,-0.0554445752797499,0.2586812621657901,19.326634890033223,-5.057415072632415,5.250925831479599,-0.0884518296848731,-0.0897946048964253,-0.7773120371681395,-0.0095626069824845,0.0308474076925842,-0.0464865283517799,12.591885510406144,43.568708735340934,18.481395364930034,-0.0004506840472293
38,1724915320851330662,-0.4714885354042053,0.1389172971248626,0.1656699031591415,-0.0582671090960502,-0.0252287723124027,-0.3787448108196258,0.9233205914497375,0.0,0.0,0.0,0.7897300952661134,0.1365692588448197,0.1881624349041164,0.147881969,-0.0237784083591355,-0.1166664106633685,0.2429495414833639,5.743544299436614,-3.3571429910520507,5.796931200527943,-0.0889716848702959,-0.0908501445147326,-0.7744875463942452,-0.0016617174257902,0.0303602049743823,-0.0442327871904435,-8.854227643869145,18.327380791550823,46.17240030025712,-0.0004398239494283
40,1724915320860371107,-0.4714778363704681,0.1392196118831634,0.165262296795845,-0.0582881867885589,-0.0257851649075746,-0.3772497475147247,0.9239157438278198,0.0,0.0,0.0,0.6040032706509924,-0.0235384533933469,0.7058713143016759,0.156922414,0.058330261605655,-0.1313673960891182,0.3482009980800207,17.575304773618235,-1.0861775371972673,8.055585672963186,-0.0887410720630037,-0.0917537348738999,-0.7712331055500182,0.0060716780587988,0.0329164793375298,-0.0426343678341005,-48.73823458866077,-25.86604114953845,52.59187746712966,-0.0003658910589997
42,1724915320869617615,-0.4713754653930664,0.1395190209150314,0.1648912727832794,-0.0572856925427913,-0.0267878100275993,-0.3755154311656952,0.924656093120575,0.0,0.0,0.0,-0.1132957158248035,-0.3398413785899321,1.1479594024282138,0.166168922,0.3011604134369838,-0.1363042215422192,0.3887666388059708,1.0660353439883274,3.982020934151987,-6.308251299118238,-0.0862977576865423,-0.0926950345753545,-0.7675261458946657,0.0092788649182047,0.029802086263464,-0.0311040257750461,-68.18365844991308,-23.109156056993317,-8.956545011301845,-0.0003309806207207
44,1724915320880043342,-0.471299797296524,0.139799416065216,0.1646730452775955,-0.0573172867298126,-0.0269613917917013,-0.3745496571063995,0.9250407218933104,0.0,0.0,0.0,-0.713760140016428,-0.450302581096522,0.3872553086447352,0.176594649,0.016089730932118,-0.0417024566103822,0.1972707506054124,-17.95839133901738,6.76511831880785,-9.972898665225104,-0.0863242455453766,-0.09295090030552,-0.765430612417305,0.0026884632469261,0.0262234554905811,-0.0202999017633693,-23.92874547163044,-0.7283887123877619,-53.90838779748043,-0.0001816052004369
46,1724915320890094564,-0.4713170528411865,0.1400564908981323,0.1644751280546188,-0.0576756261289119,-0.0267534535378217,-0.3737313151359558,0.9253554344177246,0.0,0.0,0.0,-0.6280465008481506,-0.3620140593282981,0.0300635046600363,0.186645871,-0.0734755697628622,0.003922985628451,0.1783772959456047,-0.0475854736091597,-7.41767520403977,7.0418362239613455,-0.0872287795483857,-0.0927562333355122,-0.7636401740516305,-0.005276720493466,0.020660006586568,-0.0226968130107234,27.094878008336813,36.55709917727992,-17.750473559092136,-0.0001636255121443
