stance,swing
0.7853981633974483,0.3141592653589793
5.654866776461628,3.298672286269283
6.440264939859105,6.283185307179597
6.597344572538603,6.283185307179622
6.283185307179622,6.597344572538603
6.283185307179618,7.225663103256565
6.754424205218093,5.654866776461656
5.497787143782169,5.81194640914115
6.126105674500131,6.283185307179622
6.597344572538603,6.126105674500131
6.126105674500131,6.440264939859112
6.283185307179352,6.12610567450001
6.126105674499854,6.2831853071793375
6.440264939858821,6.2831853071793375
6.2831853071793375,6.2831853071793375
6.126105674499854,6.283185307179323
6.2831853071793375,6.283185307179366
6.597344572538304,6.440264939858793
5.9690260418203565,6.283185307179366
6.283185307179366,6.12610567449984
6.283185307179323,6.2831853071793375
6.2831853071793375,6.440264939858821
6.2831853071793375,6.126105674499854
6.440264939858821,6.440264939858821
6.2831853071793375,6.126105674499854
6.2831853071793375,6.597344572538304
6.2831853071793375,6.126105674499854
6.126105674499854,6.2831853071793375
6.440264939858821,6.126105674499854
6.126105674499854,6.597344572538304
6.2831853071793375,6.126105674499854
6.2831853071793375,6.283185307179309
6.440264939858793,6.1261056744998825
0.0,6.2831853071793375
