,lyapunov_exponent
0.8,-4.354060820287153
0.81,-4.34467043957766
0.8200000000000001,-4.33706030784617
0.8300000000000001,-4.33138416161751
0.84,-4.327864403392987
0.85,-4.326277514296715
0.86,-4.325347540213485
0.87,-4.323598672405085
0.88,-4.319933486919511
0.89,-4.313852292460019
0.9,-4.305818221731043
0.91,-4.296714840687002
0.92,-4.28792133899503
0.93,-4.280830233705059
0.9400000000000001,-4.275612901166396
0.9500000000000001,-4.272432317081765
0.96,-4.27100742084188
0.97,-4.2701933245763835
0.98,-4.26855758585477
0.99,-4.265080769294203
1.0,-4.259292786102573
1.01,-4.2516532075056155
1.02,-4.242989815247838
1.03,-4.2345625110234195
1.04,-4.227670512860454
1.05,-4.222490217962568
1.06,-4.219147849050502
1.07,-4.217373387736585
1.08,-4.21613594035376
1.09,-4.214118594950497
1.1,-4.210426517630909
1.11,-4.204619686077083
1.12,-4.197120752269754
1.1300000000000001,-4.188667896864257
1.1400000000000001,-4.180389671810415
1.1500000000000001,-4.173475348151317
1.16,-4.16809298368493
1.17,-4.164289232548619
1.18,-4.161839679935668
1.19,-4.159880985634523
1.2,-4.157206751125223
1.21,-4.1530336598123325
1.22,-4.1469365136695355
1.23,-4.139297812922282
1.24,-4.130803690083407
1.25,-4.122435182640937
1.26,-4.115282891257543
1.27,-4.109552212387671
1.28,-4.105266693719056
1.29,-4.102215784400505
1.3,-4.099622969144602
1.31,-4.096313321805688
1.32,-4.091650684968068
1.33,-4.085263736498066
1.34,-4.077509030789076
1.35,-4.068987878199236
1.36,-4.060478741281143
1.37,-4.05295882919695
1.3800000000000001,-4.046941694860588
1.3900000000000001,-4.042140668174481
1.4000000000000001,-4.038352763904244
1.41,-4.035011093828471
1.42,-4.0310914801930515
1.43,-4.02605806137005
1.44,-4.0195746270577635
1.45,-4.011946015034893
1.46,-4.003707652422115
1.47,-3.99549678049778
1.48,-3.988111913621394
1.49,-3.9817436927523584
