stamp,px,py,pz,ox,oy,oz,ow
1713471786.5244143,-3.00031171635637,-0.00974706019927,0.1291407817346878,0.0186139466742647,-0.7028357596433492,-0.024743149114874,0.7106779808940498
1713471786.6225488,-3.0003258518654374,-0.0097474005938299,0.129101671646897,0.0186127567935664,-0.7028913058200222,-0.0247432306648478,0.7106230716937312
1713471786.72262,-3.0003201556910843,-0.0097339067316793,0.1291485410816887,0.0185303839331308,-0.7028866400620156,-0.0246571307693193,0.7106328320559403
1713471786.826712,-3.0011623374813925,-0.0071536950922626,0.1278812093174078,0.015409971162603,-0.7062364053455308,-0.0281377165400137,0.7072488539837339
1713471786.9345334,-2.99910724065035,-0.0060058811894205,0.1248598456407185,0.012688577465936,-0.7128744805306333,-0.0307435917318945,0.7005025385946101
1713471787.052638,-2.9960331252900856,-0.0054189124632834,0.1204027215104992,0.0096147405767799,-0.717766584894893,-0.0347697730911731,0.6953486530159902
1713471787.1752038,-2.99502922787641,-0.0013382897704238,0.1193372059064774,0.0087532136966752,-0.7165353567118834,-0.0377777701288801,0.6964720410151752
1713471787.2855203,-2.9962748659625973,0.0027897016288203,0.1179709740760106,0.004634265780159,-0.7128388601241235,-0.0402061975863408,0.7001590853179493
1713471787.407787,-2.9953469007039604,0.0086459218674043,0.117794292848827,0.0032316063661345,-0.7085018638826954,-0.0404432572653612,0.7045417010630449
1713471787.5271325,-2.9929885718293128,0.0149753880573464,0.1166375898357241,0.0012589319654754,-0.7044731517886083,-0.0378968479817087,0.7087170256261538
1713471787.642051,-2.9904662564253637,0.020032811759231,0.1166942212652903,-0.0001899862378878,-0.6989872573267835,-0.0326594998560312,0.7143879443755785
1713471787.7549517,-2.986720181231415,0.0232435752157278,0.1153634918208488,5.331154000575919e-05,-0.6952361959646489,-0.0315660080125071,0.7180878888524986
1713471787.8732567,-2.9815538530003765,0.0251331735834723,0.1132379692466068,-0.001473960250723,-0.6916584682671829,-0.029112705605802,0.7216362248999032
1713471787.9918623,-2.9781988033957667,0.0271824863951984,0.1108445904331459,-0.0036310473683018,-0.6858064175851905,-0.029678707067833,0.7271695451823862
1713471788.1121418,-2.975356438251413,0.0293431775578218,0.1076519419990999,-0.0033393304382029,-0.6807729610319116,-0.0290178953665109,0.73191187047934
1713471788.2283428,-2.9713855574815184,0.0321435615706975,0.1040367964883417,-0.0028055166917,-0.6755547166077244,-0.0289437211064534,0.7367361908808755
1713471788.3526676,-2.9671284233088464,0.0339857622791069,0.1007491949691074,-0.0034304534849483,-0.6710593341576235,-0.0273906160923839,0.7408895708396053
1713471788.4767566,-2.9623186006619724,0.0359761781233771,0.0972549211558279,-0.0042826322780617,-0.6658079250051696,-0.0261687232826692,0.7456518383151995
1713471788.6038368,-2.9577759163268555,0.0373663780072875,0.0942144734940304,-0.0044932537162624,-0.6620642735569039,-0.0254347512068838,0.749001856994797
1713471788.7267065,-2.956249901732922,0.0370344831254083,0.095611042900308,0.0014375653937391,-0.6710656992113402,-0.0348493873448247,0.7405769919119986
1713471788.8512173,-2.95623103795793,0.0378520663356028,0.0962734660201552,0.0100572679325071,-0.6805939335992462,-0.048151768691372,0.7310076306588948
1713471788.9791205,-2.9559380904490937,0.0367696065960356,0.0948483530901075,0.0211044462883033,-0.6936666225720016,-0.0595362846350462,0.7175211842783956
1713471789.1054578,-2.9557743674539765,0.0329474065190696,0.0952795648678525,0.0249099341445984,-0.7072458693889355,-0.0676573229977507,0.7032817799843664
1713471789.2213624,-2.9539286490064134,0.0299081547792014,0.095473480344403,0.0195255525318202,-0.7132906088917267,-0.0668094127211623,0.6974035864813506
1713471789.3428764,-2.949441229301571,0.0263699431928266,0.0958755467615473,0.0086836196938923,-0.7151222896160387,-0.0548385825069653,0.6967908118739462
1713471789.458069,-2.944087240369722,0.0241188697324014,0.0971493600292436,0.0027755783863984,-0.7207437943389061,-0.0482046921284581,0.6915178860617983
1713471789.579424,-2.938509513360549,0.020660833423379,0.0985064158685766,-0.0067920150693832,-0.7244236334912673,-0.0372889031489285,0.688312287753573
1713471789.6996894,-2.932876029070648,0.0180514759331735,0.0995908825566272,-0.0134062792194413,-0.7285717204889967,-0.0311863154060705,0.6841278634236343
1713471789.81613,-2.9271460723742484,0.0150813868343136,0.0999872729638884,-0.0224680583594424,-0.7307828489519632,-0.0217037782758255,0.6818948306298873
1713471789.9288473,-2.921454508115538,0.0123524287864225,0.0999537278495927,-0.0280810274458229,-0.7304088070589289,-0.0166784997162732,0.682228889827713
1713471790.0535982,-2.91508788175033,0.0081974213975783,0.0978993366833589,-0.0409856784076399,-0.7329356448259345,-0.0042149139288637,0.6790491508054696
1713471790.164458,-2.909253355283929,0.004765309899823,0.096543553695653,-0.0461389144090284,-0.7324680212494342,0.0010260762005111,0.6792354124982924
1713471790.282638,-2.903006887403303,0.0002928556689253,0.0945024903657533,-0.0558744277053026,-0.7302253057401709,0.0119155122633519,0.6808135366991326
1713471790.4040232,-2.8967815590402206,-0.0034065268649098,0.0924890614832816,-0.0616121339252578,-0.7283729428423729,0.0166241849454862,0.6822026367313571
1713471790.525973,-2.8914464808520584,-0.0062582394541283,0.0901177033226807,-0.0661485011195597,-0.7267870701790257,0.0214010244904737,0.683335149521069
1713471790.6462183,-2.885451189182978,-0.0074454583859866,0.0878547559707474,-0.0672880678089182,-0.7220383762488306,0.0217631028608828,0.6882290799641942
1713471790.7713575,-2.878848098584851,-0.0073088716934663,0.0838122732331237,-0.0685009510812639,-0.7115120637627658,0.0231637485067627,0.698943233443266
1713471790.9009142,-2.8720910440577985,-0.0061680966480779,0.0786703492024309,-0.0677071980861689,-0.6988073083624087,0.0233290202524765,0.7117161217231669
1713471791.0338986,-2.865751784044381,-0.0067402964764629,0.0737200368350838,-0.068311105687925,-0.6820262678771142,0.0273048818841493,0.7276181733509691
