px,py,pz
0.0,1.0,1.05
0.16,0.99,1.008
0.2928,1.0519592,0.969264
0.414265472,1.173055363008,0.9335735765376
0.53567185456128,1.3476880411370094,0.9010901968124824
0.6655944444133967,1.5753647897716436,0.8722657744636423
0.8111576996707162,1.8594463582132095,0.8478606840050614
0.9788838850375151,2.2064580230990822,0.8290292989507522
1.175295747127366,2.62578168866765,0.8174667890109564
1.4073734977738115,3.1296120264564355,0.8156288179662782
1.6829316623630313,3.7331028725453423,0.8270489954911169
2.0109590559922013,4.4546553937686175,0.8567926059021216
2.401950470036428,5.316311489843089,0.9121021977202718
2.8682482332054935,6.344215787760032,1.0033132786303476
3.4244030419342195,7.569095703182563,1.1451486047283048
4.087553867733955,9.026676119351947,1.3585390040458687
4.877813427992834,10.757883080617308,1.6731676927284218
5.81862457241275,12.8085821775567,2.130990450493405
6.937017789235782,15.228414425444889,2.791034142434663
8.263641251029238,18.067994315043173,3.7357905944489365
9.832337741271468,21.373266101750414,5.079433202122504
11.678886278948099,25.175115903749802,6.977747583502391
13.838283018916371,29.47138611889598,9.638810837154612
16.33957951491311,34.19736589668998,13.331592224398886
19.196825335997406,39.180201038861554,18.386034328118367
22.39416544845567,44.074046326577545,25.171947714716527
25.86294638895517,48.27965901941024,34.03508466033064
29.44962040982798,50.87065171188753,45.16022360287784
32.87698541815751,50.5856964596846,58.33502848791926
35.710379184801845,45.99815238945444,72.63267939712641
37.35642289754626,35.99897176242561,86.15348685751852
37.139230715926956,20.609190547878043,96.15527551355775
34.49442428903913,1.7461037686374894,99.96315931927688
29.254693005774868,-16.913233943841647,96.56694138898652
21.867824693836226,-31.560708824565967,87.75634906580768
13.319259330891876,-40.39380120833252,77.34445462528718
4.725169644615972,-44.175367801109644,68.87052130373296
-3.0989163467001264,-44.818065189023656,64.02833938184814
-9.77398016147189,-43.808722247913394,62.85608015499159
-15.21953889530253,-41.715305910954406,64.6236927702973
-19.458861617806832,-38.45153705581158,68.38762226789754
-22.497689687887593,-33.69507815933173,73.13434876279173
-24.289271843318655,-27.23552764250605,77.78958893665771
-24.760672771188638,-19.22228127390799,81.2933167262419
-23.874530131623732,-10.271387258268014,82.80115022258205
-21.69802727188682,-1.3634720629055685,81.94134965958973
-18.44449843844982,6.466084930562977,78.95954221325995
-14.458805099407773,12.495401928853049,74.60852359068302
-10.14613197488604,16.518465621439,69.8174968357752
-5.879796359474034,18.777952532876576,65.34881164016682
-1.9345565366979365,19.732547567055406,61.6307538051483
1.5321801199025984,19.83915550608687,58.78378636412687
4.461296181692082,19.443667573688106,56.73640650618262
6.858475604411446,18.766678967494606,55.33438984498116
8.763788142504751,17.933328546997437,54.40812234992575
10.23091460722358,17.010114201503374,53.803436376686896
11.315586542308347,16.0334654156747,53.39158918016644
12.070447162046964,15.027676621750475,53.07020626780153
12.543603875599526,14.014337986000616,52.76130578340114
12.7789213332637,13.01604830875229,52.40875659481669
12.816861649341874,12.056694724906182,51.97571690509908
12.695234941432163,11.159974920054763,51.44197811126984
12.449593338011779,10.347347076214051,50.80108402232491
12.113233936124143,9.636198494185791,50.05724329369321
11.716908265414007,9.038682550572267,49.22220882809548
11.288392151039329,8.561378945946194,48.3123746178242
10.852070038224428,8.205704527904809,47.34632166206615
10.42865155657329,7.968862056887975,46.34295759808149
10.035085236623638,7.845064662183125,45.32028415109506
9.684681944713157,7.8267960121764455,44.294731710769575
9.387420195507284,7.905930116614929,43.280942742579576
9.150381782884507,8.074610209402865,42.2918679132862
8.978258331127444,8.325852044830484,41.339050858394884
8.87387332531993,8.65388297233305,40.43300532891143
8.83867486884203,9.054253099089175,39.583619728441235
8.873167385681574,9.523762618754812,38.80055093253413
8.977262622973292,10.060245625261857,38.09358829380985
9.150539903339462,10.662240701829052,37.4729794323534
9.392412031097797,11.328566282496556,36.94971284507023
9.702196711321598,12.057806949635236,36.53574995373552
10.079094349451779,12.847707279509752,36.244192104911114
10.522072418261054,13.694464013532368,36.08935695915784
11.029655073504465,14.591906753335197,36.0867241015881
11.599615342277382,15.530564099822724,36.252692121064854
12.228567143484636,16.49662898673465,36.60407013228752
12.911457038404638,17.470867435780463,37.15720867905041
13.64096270198477,18.427562798192113,37.92666387509582
14.406818717377945,19.333655169652648,38.92329428827819
15.195112549741898,20.14832132603231,40.15172716848189
15.987625953948363,20.823333661697347,41.607218184116874
16.761339187188202,21.30461175001367,43.27208615372699
17.488262797240278,21.535391453671874,45.11214094551125
18.135803382269334,21.46131805361545,47.07382115952336
18.667885729684713,21.03745013620512,49.0830507585896
19.047016034727978,20.236600933657638,51.046975880112186
19.237349618556724,19.05769900633946,52.85956546962538
19.20860552060196,17.53213354487559,54.4113790379421
18.94037000448574,15.725736706769453,55.60260224840469
18.426028676851132,13.734558647791255,56.35701087666187
17.675393472201552,11.674086444173556,56.63346415667635
16.715184347717074,9.663698635535997,56.43156630370191
15.5869466337681,7.8100339636843525,55.7896086932915
14.342640606554701,6.193562984062426,54.775370171558485
13.038788186955937,4.861533436135122,53.472675844240825
11.730427426824606,3.828140695995824,51.96765385784689
10.466061549892002,3.080443642215578,50.33800496967354
9.284362684663774,2.587248086390102,48.646885898490616
8.212824348939987,2.30820162871338,46.94121995844347
7.268084713703731,2.201248611022966,45.25313970549133
6.457390937274808,2.227704096039681,43.60300273108005
5.780641042677188,2.3550446267394256,42.00273418424382
5.232545616127146,2.5579372559683966,40.45876149314073
4.804608278501746,2.8181196794856254,38.97425626716556
4.486770102659166,3.123654261082049,37.550685627897586
4.268671568006828,3.4679296135162763,36.18880938827835
4.140552855288339,3.848642884252225,34.88929153815788
4.093847259922561,4.266888769585039,33.65307496946532
4.121533901468558,4.726409056128487,32.48163187966431
