seq,stamp,px,py,pz,ox,oy,oz,ow,lx,ly,lz,ax,ay,az
412,1724816386440037127,-2.105059862136841,-1.1710821390151978,0.1388811618089676,-0.03798091411590576,-0.02438977174460888,0.3766763508319855,-0.9252445697784424,0.0,0.0,0.0,0.0,0.0,0.0
414,1724816386445495415,-2.10514235496521,-1.1710968017578125,0.13887682557106018,-0.03704570233821869,-0.024782368913292885,0.376808762550354,-0.9252181649208069,0.0,0.0,0.0,0.0,0.0,0.0
416,1724816386456605141,-2.1050398349761963,-1.1711055040359497,0.1390150785446167,-0.03770823031663895,-0.024710778146982193,0.376533567905426,-0.9253053069114685,0.0,0.0,0.0,0.0,0.0,0.0
418,1724816386462382584,-2.1051411628723145,-1.171143651008606,0.138970285654068,-0.03721955791115761,-0.024931762367486954,0.37685856223106384,-0.9251869320869446,0.0,0.0,0.0,0.0,0.0,0.0
420,1724816386472958537,-2.105135440826416,-1.1711493730545044,0.13895860314369202,-0.036965321749448776,-0.024799861013889313,0.37691882252693176,-0.9251760244369507,0.0,0.0,0.0,0.0,0.0,0.0
422,1724816386486765871,-2.1051502227783203,-1.17111074924469,0.13895834982395172,-0.03608396649360657,-0.024855712428689003,0.37719857692718506,-0.9250953197479248,0.0,0.0,0.0,0.0,0.0,0.0
424,1724816386492517925,-2.105043411254883,-1.1710649728775024,0.13899582624435425,-0.037028923630714417,-0.024716677144169807,0.37689927220344543,-0.9251837730407715,0.0,0.0,0.0,0.0,0.0,0.0
426,1724816386504719719,-2.1051688194274902,-1.1711273193359375,0.13891740143299103,-0.03667410835623741,-0.02479875087738037,0.3770035207271576,-0.9251531958580017,0.0,0.0,0.0,0.0,0.0,0.0
428,1724816386513234873,-2.1050896644592285,-1.171117901802063,0.13895264267921448,-0.03753512352705002,-0.024361608549952507,0.3766537010669708,-0.9252727627754211,0.0,0.0,0.0,0.0,0.0,0.0
430,1724816386522798155,-2.1051125526428223,-1.171111822128296,0.13897736370563507,-0.03734571486711502,-0.024565564468503,0.3767716884613037,-0.9252270460128784,0.0,0.0,0.0,0.0,0.0,0.0
432,1724816386536778524,-2.1051855087280273,-1.1711236238479614,0.1389348953962326,-0.03678276762366295,-0.02464207261800766,0.376998633146286,-0.925154983997345,0.0,0.0,0.0,0.0,0.0,0.0
