seq,stamp,px,py,pz,ox,oy,oz,ow,lx,ly,lz,ax,ay,az,timestamp,wx,wy,wz,aa_x,aa_y,aa_z,roll,pitch,yaw,vx,vy,vz,jx,jy,jz,fw,fw2
1288,1724223575078394120,-2.110940456390381,0.0208823904395103,0.1573462039232254,0.0027491375803947,-0.007410398684442,-0.2934893667697906,0.955929696559906,0.0,0.0,0.0,-4.161953370083737,-1.6537617123858208,-6.531704073768205,0.0,0.0,0.0,0.0,27.728577039529657,-91.25306851116628,-135.36571403189907,0.0096066157292646,-0.012554284814027,-0.5958293241377051,0.106879866619501,-0.0072920966241555,0.0529170834949355,32.864244609273356,8.190389847358857,82.85371336068123,0.0,0.0
1290,1724223575082213105,-2.110532283782959,0.0208545420318841,0.1575482934713363,0.0027544435579329,-0.0081031452864408,-0.2944331169128418,0.955633819103241,0.0,0.0,0.0,-4.036445312884591,-1.622482736414605,-6.215286985249464,0.003818985,0.1058950197853081,-0.3484940998481163,-0.5169596314021121,26.64437072144824,-78.82352801417461,-84.68103520760643,0.0100372808609229,-0.0138657248453167,-0.597816757668044,0.0909854291284517,-0.0136077877973312,0.0279726036127758,88.54341043586908,33.638326529486186,195.96896269252136,0.0510842876132804,0.0543180661398071
1292,1724223575092752348,-2.1100356578826904,0.020527433604002,0.1571175903081894,0.0032715012785047,-0.0127729587256908,-0.2941005527973175,0.9556835889816284,0.0,0.0,0.0,-1.483829487064773,-0.5278039068080959,-0.8599516883216889,0.014358228,0.35517224482839,-0.8177197192468656,0.064736406580694,8.869990055053876,-0.8978053241804709,23.77784264674793,0.0137700263900647,-0.0224914096207224,-0.5972370248343318,0.0520947682218633,-0.0297977748008868,-0.028328786751949,195.94328952349107,128.19454730187883,455.0070447974044,-0.0421326050101763,-0.0402199229978766
1294,1724223575102082731,-2.109508514404297,0.0202596466988325,0.1569568365812301,0.004038946237415,-0.015283198095858,-0.2939670085906982,0.9556848406791688,0.0,0.0,0.0,-0.0377010715450172,0.8692508106080502,2.946609803959453,0.023688611,0.3158281924345694,-0.4657548797093592,0.0270951021266078,-6.921535041509781,27.638840182678383,-5.334231623357112,0.0167122285498446,-0.0268404301518504,-0.5970503624565613,0.0564741064218736,-0.0263931659097934,0.0006706527524062,68.81140227570259,70.43724433061291,118.82337334476924,-0.0190413297443983,-0.0161836681874218
1296,1724223575111982827,-2.108949661254883,0.020022589713335,0.1571515053510666,0.0046437159180641,-0.0170108955353498,-0.2941421568393707,0.955599009990692,0.0,0.0,0.0,-0.2617468162651835,0.7336294103803844,1.0855533858373665,0.033588707,0.2188918378350297,-0.2980518774909701,-0.0393698514890778,-12.904665552148424,25.217358126612204,-8.529893038449417,0.0188918054872766,-0.029783767833376,-0.5974927724629518,0.0507743572958645,-0.0124894442088229,0.0281463481329158,17.99820243648732,-71.64793099550667,-195.0839062576912,0.017634541077615,0.0208799814691509
1298,1724223575122329035,-2.108485698699951,0.0200172327458858,0.1575344353914261,0.004991992842406,-0.0168272294104099,-0.2948642075061798,0.9553779363632202,0.0,0.0,0.0,0.3637627946889457,-0.6342233235949203,-1.009595997222601,0.043934915,0.0517161473332464,0.0523554976484242,-0.1472607880406241,-1.9179466824870277,-4.137378459885962,6.503499749472848,0.0194715127017301,-0.0292129622568486,-0.5990063331431732,0.051461152909269,-0.0121518460534544,0.0211074999089273,28.603442421753257,-72.06923450498527,-77.6046866273625,0.0354147630507714,0.0382885819873271
1300,1724223575132028674,-2.107926368713379,0.0197935700416564,0.157594546675682,0.0052629648707807,-0.0186061020940542,-0.2945351600646972,0.9554449915885924,0.0,0.0,0.0,0.3515384564145427,-0.7863973322023879,-0.6265637304722507,0.053634554,0.1626058039845767,-0.3333783463522196,0.0697875998718614,4.073756482113585,-19.521986212998694,15.33744358905933,0.021029876491962,-0.032459657490674,-0.5983947461072578,0.0576937514884718,-0.0243675994185841,0.0083206216917481,-17.733670280965267,30.71008868424002,65.50281624692158,0.0039427944993014,0.0075794606011418
1302,1724223575142346159,-2.107330799102783,0.0195277947932481,0.157703697681427,0.0053840870968997,-0.0203391797840595,-0.2937880754470825,0.9556390047073364,0.0,0.0,0.0,-0.0122186264554287,0.039664892595516,0.3347504244921859,0.063952039,0.123878481545753,-0.3126040768073216,0.1507750107070809,-12.172173575862065,-4.245264587850578,8.383910950286367,0.0222573367566779,-0.0357178599962853,-0.5969084478536945,0.0581268756958621,-0.0272901544371182,0.0094474720998176,-24.302409511008335,53.62649173445662,62.68049810572642,0.0081005113535266,0.0120582807573353
1304,1724223575152818000,-2.106717824935913,0.019225750118494,0.1577906012535095,0.0042408248409628,-0.0223222933709621,-0.2925868034362793,0.9559690356254578,0.0,0.0,0.0,-0.1502853424522352,0.3202385658967328,0.6670376678681343,0.07442388,-0.0930638477235239,-0.4235811450920602,0.2442496615253118,0.9597108702184772,7.64073279388856,-2.9517709670505816,0.0211893216478292,-0.0402080568689651,-0.5944459349500373,0.0574228776695662,-0.0234425557980395,0.0153500029151505,-9.854837958599498,-2.685651543541868,11.662863148671905,0.0055038314769262,0.0100325463383992
1306,1724223575162637293,-2.1061642169952393,0.0190452896058559,0.1580062508583068,0.0045139249414205,-0.0233387984335422,-0.2920806109905243,0.9560982584953308,0.0,0.0,0.0,-0.2163946857588357,0.0224439479461693,0.5967785880218697,0.084243173,0.1159436980484436,-0.1806261723043069,0.1058992353104448,9.707950308473546,12.6368889416636,-6.568974585707862,0.022286633361992,-0.0420038594804818,-0.593443993713732,0.0551824364496269,-0.020732488828946,0.0228517054206385,8.211792726770291,-33.33316560040262,-39.06286284755752,0.0191802810093816,0.0238952788201445
