seq,stamp,px,py,pz,ox,oy,oz,ow,lx,ly,lz,ax,ay,az,timestamp,wx,wy,wz,aa_x,aa_y,aa_z,roll,pitch,yaw,vx,vy,vz,jx,jy,jz
18,1724235987231836962,-1.8209903240203855,-0.0305766686797142,0.1995079666376114,6.434162787627429e-05,-0.0202790424227714,-0.3402060568332672,0.940132200717926,0.0,0.0,0.0,-0.906377991118715,-0.1374111483091136,-0.303767548627199,0.0,0.0,0.0,0.0,-9.71013527301148,-41.452821615998985,8.213696460482923,0.0139296420710098,-0.0380953964537515,-0.6946862158894271,0.0782670450528182,-0.0041834643966394,-0.0222902608189114,17.99541417426858,9.353985441555633,150.00487299709908
20,1724235987240826355,-1.820286750793457,-0.0306142754852771,0.1993075907230377,-0.0008810402359813,-0.0217201728373765,-0.3399016261100769,0.9402098059654236,0.0,0.0,0.0,-0.7446101409084442,-0.0533244970586915,1.0446852066588124,0.008989393,-0.0872882220522625,-0.3726357044651099,0.0738361454659899,-8.360733347312287,-27.69898841512575,6.447249586221032,0.0131203664426018,-0.0414538445033314,-0.6940674627200025,0.0701192570841016,-0.0054187072113713,-0.0250209466941679,46.69180085770953,-4.425219422267013,86.2622600440755
22,1724235987251298663,-1.8196518421173096,-0.0306860916316509,0.1990122497081756,-0.0025552245788276,-0.0238741487264633,-0.3393262028694153,0.940362274646759,0.0,0.0,0.0,0.0944523556146572,-0.26777097288546,1.170399926421663,0.019461701,-0.1583818973908274,-0.4949133578177481,0.1198033442159771,6.860980069072637,30.03503645969603,-7.684238399283462,0.0114092353126893,-0.0466517270788857,-0.6928752504496117,0.0642950136518294,-0.0049512933423709,0.0023702381978996,63.95905606732363,-17.493159201106245,-90.5709394369058
24,1724235987262853008,-1.8188621997833252,-0.0307189971208572,0.199429377913475,-0.0012701937230303,-0.0219765342772007,-0.3399854898452759,0.9401730298995972,0.0,0.0,0.0,0.6274089183208087,-0.4318483069219344,-1.1837382021124196,0.031016046,0.0949012263050699,0.3838653337466805,-0.1228999979523156,-4.089380964166152,-25.560209990719333,5.03053059004964,0.0125665198938124,-0.0421997083728997,-0.6942433952599236,0.0736804304026748,-0.0120277983221925,-0.0025300069522558,5.570723728717919,60.05133082112042,51.918438381085366
26,1724235987271110421,-1.8182222843170168,-0.0308724883943796,0.1991805136203766,-0.0022344435565173,-0.0235034059733152,-0.3397105038166046,0.9402337670326232,0.0,0.0,0.0,0.4340821625750077,0.5021975339443965,0.753702060506344,0.039273459,-0.0923599384420539,-0.4268574272879192,0.0722830839035505,-3.754989375956674,-32.018037579933626,6.117533812269542,0.0117794968039308,-0.0457314583036466,-0.6936890180581957,0.0777702105636422,-0.0145279519806706,-0.016787399144782,-34.99473188562331,78.38982975647338,169.39163317698308
28,1724235987281025751,-1.8174479007720947,-0.0309681948274374,0.199173018336296,-0.0017063753912225,-0.0234630275517702,-0.3400523662567138,0.9401121735572816,0.0,0.0,0.0,-0.0508015150683616,0.8660040851032655,1.656535053976298,0.049188789,0.0957071365056649,0.0434199304288919,-0.0756522209158034,14.77302294207048,53.97089066983908,-11.927870126568756,0.0127623813891856,-0.0452917528698306,-0.6944344203539836,0.0813455793687012,3.56259846536755e-05,0.0202167912179458,-63.27110648933044,-38.38734355013861,-108.7164595713536
30,1724235987290878678,-1.8166146278381348,-0.0308729894459247,0.1995775550603866,0.0003106729127466,-0.0208390653133392,-0.3407916724681854,0.9399078488349916,0.0,0.0,0.0,-0.8148896766060476,-0.2473125574546824,-1.3705787262393605,0.059041716,0.2001987998857203,0.6392391518296269,-0.1638823610544461,-4.163125124056499,-2.6331099215697975,1.4925697008419911,0.014799344630306,-0.0389717168748935,-0.6959636504130547,0.0768171357173201,0.0026664344053075,0.0162176291377935,-24.18071381898201,-63.600987807345426,-140.50657893999477
32,1724235987301131810,-1.815909743309021,-0.0309202969074249,0.199478805065155,0.0002076881792163,-0.0211331062018871,-0.3409705758094787,0.9398364424705504,0.0,0.0,0.0,-0.4933960445869361,-0.3724239739495147,-1.032341331052108,0.069294848,-5.763459668598596e-05,-0.0610567192380987,-0.0371105907735329,-9.872309117507726,-33.81711272439447,6.260542927610344,0.0148140712588986,-0.0395920383902055,-0.6963536988886868,0.0646712098216397,-0.0053568825726182,-0.0081279770154001,55.45194854952656,11.209688360119948,72.28116333520359
34,1724235987312651924,-1.8152174949645996,-0.0309916250407695,0.199404627084732,0.0002654335694387,-0.0211783424019813,-0.341207355260849,0.9397494792938232,0.0,0.0,0.0,0.4573109369773882,0.0597491924504423,0.3089342161798375,0.080814962,0.0112341963353568,-0.0042902576754889,-0.0439920622502665,-0.9071928124462476,-1.3624950612593518,-1.1445725979541006,0.0149636037133225,-0.0396339123705123,-0.6968615784305614,0.0679340212210917,-0.0043390611941009,-0.0026488004027598,19.476470485266816,16.26192040608115,29.275972234864476
36,1724235987321919679,-1.8145294189453125,-0.0310180261731147,0.1994083374738693,0.0001213238865602,-0.02143838070333,-0.3414640128612518,0.939650297164917,0.0,0.0,0.0,0.1677327686125505,0.0520052134946429,-0.0695360167586862,0.090082717,-0.0112452853256168,-0.0638149758340558,-0.0586796891213822,3.76064607049098,-2.6064499620240484,0.3257486916942729,0.0148814570324809,-0.0402171465668803,-0.6974145074980391,0.0734701935350585,-0.0039985737616903,-0.0010284311491108,-41.37332572559978,-1.8323150276527715,-22.674620745543436
