,lyapunov_exponent
0.8,-5.283486152218821
0.81,-5.280895147069913
0.8200000000000001,-5.278689791135782
0.8300000000000001,-5.276680000452594
0.84,-5.274437211228983
0.85,-5.271961582239972
0.86,-5.269486815829675
0.87,-5.267109449057679
0.88,-5.264400772497483
0.89,-5.261024369438135
0.9,-5.257284651604943
0.91,-5.253702875406453
0.92,-5.25084453942624
0.93,-5.2484074252989235
0.9400000000000001,-5.2461372367526735
0.9500000000000001,-5.24356463267149
0.96,-5.24062437841591
0.97,-5.237526580294907
0.98,-5.234464867700814
0.99,-5.231185099474691
1.0,-5.227413256243847
1.01,-5.22335524996159
1.02,-5.219501456446462
1.03,-5.216315574278746
1.04,-5.213488668824057
1.05,-5.210658352809369
1.06,-5.20738841397553
1.07,-5.2036180264719185
1.08,-5.199596075268581
1.09,-5.195532336782101
1.1,-5.191250288092008
1.11,-5.1865735256544925
1.12,-5.181674226875623
1.1300000000000001,-5.177076198922528
1.1400000000000001,-5.1732071480801105
1.1500000000000001,-5.169800407884609
1.16,-5.16644133892555
1.17,-5.162613177652312
1.18,-5.158194645347887
1.19,-5.153467674836444
1.2,-5.148713280611385
1.21,-5.143855409752019
1.22,-5.138654789991421
1.23,-5.133228219296997
1.24,-5.128113306578357
1.25,-5.123769815528033
1.26,-5.119969483689467
1.27,-5.116301832988532
1.28,-5.112214625723514
1.29,-5.107477918577152
1.3,-5.102310332106386
1.31,-5.097020485505562
1.32,-5.091574462490488
1.33,-5.085861298689954
1.34,-5.080028559388436
1.35,-5.074608819381923
1.36,-5.070079941995649
1.37,-5.066107580014203
1.3800000000000001,-5.0623663656136815
1.3900000000000001,-5.058248244761077
1.4000000000000001,-5.053396418280982
1.41,-5.048023018582505
1.42,-5.042455656555214
1.43,-5.036729776613736
1.44,-5.030777684222086
1.45,-5.024788829259829
1.46,-5.019285000913753
1.47,-5.014684592023012
1.48,-5.010689658598517
1.49,-5.006918763239879
