seq,stamp,px,py,pz,ox,oy,oz,ow,lx,ly,lz,ax,ay,az,timestamp,wx,wy,wz,aa_x,aa_y,aa_z,roll,pitch,yaw,vx,vy,vz,jx,jy,jz,fw,fw2
5468,1724557162301030358,-1.541375756263733,-0.2243864834308624,0.1647896021604538,-0.0139848757535219,0.0672419369220733,0.5020939111709595,-0.8620815873146057,0.0,0.0,0.0,0.9626289274826982,-1.482172982639058,1.5119222133924672,10.010429866,0.0680976429340711,-0.0976453782705089,-0.037337826367118,-11.725313569294382,-11.123655307106716,19.49315102929315,0.0922459336211636,-0.1020697683876541,-1.0595012643721111,0.0374558041519677,-0.0493582098789771,0.0169103779747064,70.92318773231926,-78.32550928922919,37.2468880447847,5.9762579073175615e-05,0.0001305740247681
5470,1724557162318413464,-1.5409183502197266,-0.2248964607715606,0.1651563197374344,-0.0150293773040175,0.0673948228359222,0.5022616982460022,-0.861954391002655,0.0,0.0,0.0,-1.1556801246708517,1.202419991673331,-1.5257194248332624,10.027812972,0.1113385764032968,0.0439206123049763,-0.0318247911048042,30.011745967671892,39.75024404845713,-179.39694503469048,0.0942302951488966,-0.101258113834814,-1.0599835850294403,0.1591575749133653,-0.1898740884100078,0.1167707051819917,-865.2251626550076,1052.6278002627057,-741.4175316745618,0.0002818602269065,0.0003617191200152
5472,1724557162321093739,-1.540436863899231,-0.2254717200994491,0.1655088365077972,-0.0154271190986037,0.0673308223485946,0.5029178261756897,-0.8615696430206299,0.0,0.0,0.0,-3.781930126903231,4.394945145618671,-3.7471089511800337,10.030493247,0.2031531763604974,0.1635240816636173,-0.5869279459415051,23.75164996570652,32.301525492456236,-157.744877580718,0.0949292599999639,-0.100673208010305,-1.0615160037966778,0.1526890800478604,-0.1828137134312815,0.1096767384933707,-791.0008195472612,972.330320978156,-678.4215022478812,0.0002621526738251,0.0003432928067995
5474,1724557162332131393,-1.5399765968322754,-0.2260435074567794,0.1657264232635498,-0.0152896465733647,0.0674802958965301,0.5033267736434937,-0.8613215684890747,0.0,0.0,0.0,-3.929027592857528,5.182344803195829,-4.400333415172077,10.041530901,-0.0121360819351302,-0.0400322746830368,-0.084354110681244,-2.639792847572293,-7.549150367137038,23.41907107178297,0.0948933390278249,-0.101024847576496,-1.0624897278081262,0.0487386056717014,-0.0542704427509974,0.0183006223165538,205.3024542639114,-234.72020011991637,156.84346625964582,0.0001311347554434,0.0002080215942428
5476,1724557162342146036,-1.5394245386123655,-0.2266094237565994,0.165896862745285,-0.0157593823969364,0.0678372457623481,0.5035080909729004,-0.8611790537834167,0.0,0.0,0.0,0.1135673556771803,0.0507274340211427,-0.8667027428236999,10.051545544,0.1146720203786451,-0.0166570519082661,-0.0507545338619592,-4.157240994958433,-1.7404103863053475,1.6062535649815817,0.0960946685480851,-0.1011424332999603,-1.063014249829474,0.0592642912320826,-0.0611017523656087,0.0094723538283822,238.21604326923028,-300.64651769335023,194.3792282992588,7.22237765236328e-05,0.0001705071028749
5478,1724557162351308250,-1.5388468503952026,-0.227207750082016,0.1659203916788101,-0.0153670664876699,0.0679483860731124,0.5037328600883484,-0.8610458970069885,0.0,0.0,0.0,0.9092754112089932,-0.9287744662390528,-0.4140846803238062,10.060707758,-0.064404399851214,-0.0667570422614275,-0.0506966624115748,-9.719157979567433,-4.078681329643376,2.0142509643923057,0.0955575892561326,-0.1017068219645708,-1.0635377814392697,0.0524466908044729,-0.0544938971770969,0.0016557753939521,54.2553350073475,-59.96912898611773,48.50651617650397,-7.836535302200697e-05,2.5161507091929128e-05
5480,1724557162366521214,-1.53831684589386,-0.2277637124061584,0.165922537446022,-0.0152275310829281,0.0687034055590629,0.5035242438316345,-0.861110508441925,0.0,0.0,0.0,0.911413543915682,-0.6554567323710394,0.3012611872657695,10.075920722,0.0359382940860093,-0.0937094094798417,0.0306657815005337,19.34461357015516,4.39243031372801,-22.567816704710147,0.0960706045439136,-0.1031705166239389,-1.063208099624474,0.1080431326526536,-0.110301262285624,0.0064465008455805,-385.3323821157717,404.5416399205373,-24.709647815319077,-9.259998505123727e-05,3.662458635933848e-06
5482,1724557162370881262,-1.5377542972564695,-0.2283367961645126,0.1659585237503051,-0.0154252154752612,0.0689750164747238,0.5036986470222473,-0.8609832525253296,0.0,0.0,0.0,-1.2503385444080732,1.5914264491318146,0.1038903930764818,10.08028077,0.1362124861045095,-0.0668555824935595,-0.1026146898555929,12.337954888248367,5.2393124285520285,-21.01329893405168,0.0967135669521707,-0.1034175944590295,-1.0636839929057849,0.1085891422577205,-0.1093941207350015,0.007742957716923,-369.9503971601152,385.7152063756323,-34.82550356824496,-6.452904419321e-05,3.865759822549433e-05
5484,1724557162381504548,-1.5371296405792236,-0.2289282977581024,0.1660275608301162,-0.0153207713738083,0.0691055133938789,0.5040637254714966,-0.8607609868049622,0.0,0.0,0.0,-1.9227339751139572,2.333961417364178,0.0042204667487966,10.090904056,-0.0086501099526298,-0.0350035215015638,-0.0785189058404095,-6.618674404207817,-1.4105831865601548,2.1112167701104343,0.0967116991439858,-0.1037071678225906,-1.064554827360001,0.0597016202702889,-0.0566812308354709,0.0038391834640787,74.03855356682728,-73.59184910929478,5.235286398491893,-4.122339319888314e-05,7.62014818273212e-05
5486,1724557162391597198,-1.5365184545516968,-0.2295099645853042,0.1660408079624176,-0.0150730116292834,0.0694777145981788,0.5043286085128784,-0.8605802059173584,0.0,0.0,0.0,0.1413317515822032,0.2153797966578605,0.1972185516147169,10.100996706,-0.0081611811446354,-0.0915149429174082,-0.0587164128127682,-5.284204551112064,4.458793370081904,-11.325158456673378,0.09670029667795,-0.1045692585079467,-1.065237516973521,0.0659855751579812,-0.0583245047660678,0.0074457723167054,87.28936567800172,-105.97965071324867,-31.669250444960085,-9.493849401977792e-05,2.105511038017183e-05
