,lyapunov_exponent
0.8,-4.087266439695167
0.81,-4.082214272836921
0.8200000000000001,-4.078126555487027
0.8300000000000001,-4.0755391427005145
0.84,-4.074345599041518
0.85,-4.074546555642517
0.86,-4.075654575168663
0.87,-4.076687371531985
0.88,-4.0765051806898045
0.89,-4.074230762384452
0.9,-4.070101696359178
0.91,-4.065044191618802
0.92,-4.060201960208768
0.93,-4.0562453953684265
0.9400000000000001,-4.053661245321085
0.9500000000000001,-4.05226938322115
0.96,-4.052109796604674
0.97,-4.052764913197169
0.98,-4.053427846083597
0.99,-4.05309050923579
1.0,-4.050866339611579
1.01,-4.046977140603077
1.02,-4.042271435968984
1.03,-4.03775705587979
1.04,-4.034031685687792
1.05,-4.031542597759915
1.06,-4.030049435023006
1.07,-4.029659559470423
1.08,-4.029994630407045
1.09,-4.030353601104005
1.1,-4.029813675254662
1.11,-4.0275805106188605
1.12,-4.023884729094832
1.1300000000000001,-4.019540992219572
1.1400000000000001,-4.015364306922012
1.1500000000000001,-4.011819113705121
1.16,-4.00929223203002
1.17,-4.007541307197825
1.18,-4.006701141392604
1.19,-4.006453782396326
1.2,-4.006260960169204
1.21,-4.005339669964873
1.22,-4.003018434353074
1.23,-3.999513858849001
1.24,-3.9955186874094597
1.25,-3.9917057636697755
1.26,-3.988376533939658
1.27,-3.9857984906023223
1.28,-3.9837304829765245
1.29,-3.9824211874966218
1.3,-3.9815673020985485
1.31,-3.9807904664431986
1.32,-3.9794279983832355
1.33,-3.9769619546659816
1.34,-3.973614383626416
1.35,-3.970009397580153
1.36,-3.9666468144517606
1.37,-3.963755306643013
1.3800000000000001,-3.9614288824360226
1.3900000000000001,-3.959409768447598
1.4000000000000001,-3.9579498628772867
1.41,-3.9567543974139845
1.42,-3.955570358402143
1.43,-3.9538019224984504
1.44,-3.951008718439859
1.45,-3.9474534379156543
1.46,-3.943743125263194
1.47,-3.9402579883632156
1.48,-3.937175795111792
1.49,-3.9345247935952106
