seq,timestamp,px,py,pz,ox,oy,oz,ow,lx,ly,lz,ax,ay,az
136,1722910391140293288,-1.927093387,-0.354124069,0.12658090889453888,-0.002008745,0.001542128,0.35054299235343933,-0.936543286,0,0,0,0,0,0
138,1722910391147600850,-1.927097917,-0.354107231,0.12659092247486115,-0.001879486,0.00157321,0.3505570590496063,-0.93653816,0,0,0,0,0,0
140,1722910391158174173,-1.927099228,-0.354101777,0.12659865617752075,-0.001668626,0.001468493,0.35063138604164124,-0.93651098,0,0,0,0,0,0
142,1722910391167281732,-1.92711103,-0.354221433,0.12644289433956146,-0.001431535,0.002784098,0.3500480353832245,-0.93672657,0,0,0,0,0,0
144,1722910391195588892,-1.927107453,-0.354152441,0.12657514214515686,-0.001775085,0.001730086,0.35043302178382874,-0.936584592,0,0,0,0,0,0
146,1722910391225978493,-1.927112937,-0.35412845,0.12659384310245514,-0.00184846,0.001637066,0.3505527973175049,-0.936539769,0,0,0,0,0,0
148,1722910391226330129,-1.927105784,-0.354098648,0.12662796676158905,-0.001814207,0.001483426,0.3506872057914734,-0.936489761,0,0,0,0,0,0
150,1722910391227126812,-1.927102804,-0.354115009,0.12659461796283722,-0.001602502,0.001728302,0.35055601596832275,-0.936538815,0,0,0,0,0,0
152,1722910391227651969,-1.927099347,-0.354117393,0.12659162282943726,-0.001593544,0.001682838,0.3505643904209137,-0.936535776,0,0,0,0,0,0
154,1722910391229180582,-1.927099466,-0.354127854,0.12659978866577148,-0.001716957,0.001579013,0.3505331575870514,-0.936547399,0,0,0,0,0,0
156,1722910391238507713,-1.927101016,-0.354135424,0.12661458551883698,-0.00180461,0.001489186,0.3504592478275299,-0.936575055,0,0,0,0,0,0
158,1722910391248501550,-1.927099347,-0.354128122,0.12661777436733246,-0.001716645,0.001584091,0.35047176480293274,-0.936570406,0,0,0,0,0,0
160,1722910391261121043,-1.927108407,-0.354139507,0.1265742927789688,-0.001894308,0.001785705,0.3504101634025574,-0.936592758,0,0,0,0,0,0
162,1722910391267268558,-1.927115202,-0.354131073,0.1265656054019928,-0.001879351,0.001715389,0.3504343628883362,-0.936583877,0,0,0,0,0,0
164,1722910391277336659,-1.927115202,-0.354129314,0.12656697630882263,-0.00177228,0.00182581,0.3504975140094757,-0.936560214,0,0,0,0,0,0
166,1722910391289631654,-1.927113295,-0.354144633,0.12657734751701355,-0.001941995,0.001657968,0.3505136966705322,-0.936554193,0,0,0,0,0,0
168,1722910391297234820,-1.927111745,-0.354148686,0.12657204270362854,-0.001724535,0.001745496,0.3504163920879364,-0.936590791,0,0,0,0,0,0
170,1722910391310992720,-1.927109718,-0.354125679,0.12657837569713593,-0.00166786,0.001613734,0.3504883348941803,-0.936564207,0,0,0,0,0,0
172,1722910391317308615,-1.927097917,-0.354122013,0.1265987604856491,-0.001675923,0.001500913,0.35053709149360657,-0.936546147,0,0,0,0,0,0
174,1722910391328500775,-1.927103758,-0.354107708,0.1265990138053894,-0.001851339,0.001428089,0.35053953528404236,-0.936545074,0,0,0,0,0,0
176,1722910391343656263,-1.927117348,-0.354122043,0.12659180164337158,-0.001957267,0.001500092,0.3505491614341736,-0.93654108,0,0,0,0,0,0
178,1722910391349480235,-1.927101731,-0.354107648,0.12661702930927277,-0.001748662,0.001590687,0.3506086766719818,-0.936519146,0,0,0,0,0,0
180,1722910391400885474,-1.927114606,-0.354129195,0.12658338248729706,-0.001662291,0.001639513,0.35048359632492065,-0.936565995,0,0,0,0,0,0
182,1722910391402260716,-1.927117705,-0.354117751,0.12658937275409698,-0.001718698,0.001709217,0.3504731059074402,-0.93656975,0,0,0,0,0,0
184,1722910391402814386,-1.927102566,-0.354106128,0.12659630179405212,-0.001620052,0.001585995,0.3506300151348114,-0.936511278,0,0,0,0,0,0
186,1722910391403279487,-1.927105188,-0.354122996,0.1265961229801178,-0.001862028,0.001508344,0.3505435287952423,-0.936543405,0,0,0,0,0,0
188,1722910391403712568,-1.927114725,-0.354145259,0.12658163905143738,-0.001804758,0.00163449,0.3504181504249573,-0.936590254,0,0,0,0,0,0
190,1722910391412717736,-1.927111864,-0.354098707,0.1265973001718521,-0.001900391,0.001392187,0.3505740165710449,-0.93653208,0,0,0,0,0,0
192,1722910391417604775,-1.927109718,-0.354104787,0.1265936940908432,-0.001787732,0.001483552,0.3506302237510681,-0.936511099,0,0,0,0,0,0
194,1722910391428488685,-1.927122593,-0.354141176,0.1265750676393509,-0.001736448,0.001821054,0.35044729709625244,-0.936579168,0,0,0,0,0,0
196,1722910391439917474,-1.927118182,-0.354144037,0.12659025192260742,-0.001835481,0.001706165,0.3504098653793335,-0.936593175,0,0,0,0,0,0
198,1722910391447185060,-1.927106619,-0.35413,0.12658709287643433,-0.001787171,0.001629474,0.35053205490112305,-0.936547697,0,0,0,0,0,0
200,1722910391458286481,-1.927101254,-0.354137927,0.12656718492507935,-0.001770616,0.001689933,0.35056546330451965,-0.93653506,0,0,0,0,0,0
202,1722910391469877015,-1.927093148,-0.354133189,0.12656889855861664,-0.001809172,0.001684811,0.3505839705467224,-0.936528027,0,0,0,0,0,0
