seq,timestamp,px,py,pz,ox,oy,oz,ow,lx,ly,lz,ax,ay,az
164,1722910741096381561,-1.526024699,-0.469045401,0.20870816707611084,-0.03670853,0.032770108,0.3014349639415741,-0.952216148,0,0,0,0,0,0
166,1722910741110057634,-1.52568233,-0.468971997,0.20888802409172058,-0.036723115,0.032796275,0.30188944935798645,-0.952070653,0,0,0,0,0,0
168,1722910741116132835,-1.525351405,-0.468905985,0.20903147757053375,-0.036624335,0.033252932131290436,0.30218997597694397,-0.951963365,0,0,0,0,0,0
170,1722910741126066756,-1.524991512,-0.468852341,0.20920176804065704,-0.036361136,0.03373624,0.30273714661598206,-0.951782584,0,0,0,0,0,0
172,1722910741135847175,-1.524636149,-0.468806416,0.20931056141853333,-0.036806945,0.033685368,0.3032591938972473,-0.951600969,0,0,0,0,0,0
174,1722910741145919080,-1.524251342,-0.4687545,0.20944635570049286,-0.037075102,0.03358132,0.3040146231651306,-0.951353192,0,0,0,0,0,0
176,1722910741156496885,-1.523855686,-0.468674719,0.20951303839683533,-0.036597107,0.03422093,0.30434122681617737,-0.951244533,0,0,0,0,0,0
178,1722910741165898365,-1.523446679,-0.468611121,0.2095489203929901,-0.03675314,0.034604874,0.3046092987060547,-0.951138735,0,0,0,0,0,0
180,1722910741176369283,-1.523070693,-0.468529522,0.20948001742362976,-0.036853068,0.035546895,0.3047202527523041,-0.951064646,0,0,0,0,0,0
182,1722910741185638860,-1.522709966,-0.468387634,0.2096109688282013,-0.036804773,0.035386133939027786,0.30516886711120605,-0.950928688,0,0,0,0,0,0
184,1722910741199671668,-1.52229774,-0.468206525,0.20987620949745178,-0.036411766,0.035163637,0.30614495277404785,-0.950638175,0,0,0,0,0,0
186,1722910741206761784,-1.521913886,-0.468084127,0.21006810665130615,-0.035651788,0.035725154,0.3068651258945465,-0.950413823,0,0,0,0,0,0
188,1722910741219220628,-1.521552563,-0.468030244,0.2101307511329651,-0.035426371,0.036759675,0.30710864067077637,-0.95030421,0,0,0,0,0,0
190,1722910741225751906,-1.521183729,-0.467979103,0.21026790142059326,-0.036075763,0.036492314,0.30753782391548157,-0.950151265,0,0,0,0,0,0
192,1722910741236973239,-1.520831466,-0.467896223,0.21052174270153046,-0.036200102,0.035938643,0.3079015910625458,-0.950049758,0,0,0,0,0,0
194,1722910741248985994,-1.520418406,-0.467834026,0.2107079029083252,-0.036787428,0.035580199,0.30830350518226624,-0.949910343,0,0,0,0,0,0
196,1722910741256332005,-1.520039201,-0.467757165,0.21085476875305176,-0.037063774,0.035575692,0.3088861405849457,-0.949710548,0,0,0,0,0,0
198,1722910741267874428,-1.519645572,-0.467618942,0.2110513597726822,-0.036465432,0.035124552,0.30946141481399536,-0.949563146,0,0,0,0,0,0
200,1722910741277349513,-1.519261003,-0.467483997,0.21113824844360352,-0.036421333,0.035194236785173416,0.30996766686439514,-0.949397206,0,0,0,0,0,0
202,1722910741287936404,-1.518889427,-0.467335254,0.2111840844154358,-0.036067072,0.035430271,0.3107876181602478,-0.949133813,0,0,0,0,0,0
204,1722910741297055285,-1.518560648,-0.467212468,0.21120330691337585,-0.035906296,0.036195427,0.31135737895965576,-0.948924243,0,0,0,0,0,0
206,1722910741312578542,-1.518240809,-0.467065781,0.21109190583229065,-0.035396636,0.037364285,0.31167128682136536,-0.948795021,0,0,0,0,0,0
208,1722910741317251468,-1.517898917,-0.466880441,0.2111029177904129,-0.035120517,0.036882780492305756,0.3121492564678192,-0.94866699,0,0,0,0,0,0
210,1722910741344058182,-1.517555356,-0.466716707,0.21112294495105743,-0.034988556,0.037044588,0.3125839829444885,-0.948522508,0,0,0,0,0,0
212,1722910741344424154,-1.517204762,-0.466544122,0.2111930549144745,-0.035567746,0.037400662899017334,0.3131839334964752,-0.948288977,0,0,0,0,0,0
214,1722910741347627106,-1.516872406,-0.466352791,0.21125735342502594,-0.035660364,0.037594028,0.31377914547920227,-0.948081076,0,0,0,0,0,0
