Date,Terrain,Trial,Forward Velocities,Exponent,Deviation
21-Aug,flat,1,0.3704344014253737,0.5449832098933177,0.1465198816565447
21-Aug,flat,4,0.2055510346228517,0.638567328626452,0.1641930034032373
21-Aug,terrain,1,0.2086601332594561,0.4549824225012222,0.1477926569272346
21-Aug,terrain,2,0.1411149836098512,0.2048699900106132,0.2068625899228726
21-Aug,terrain,3,0.2148906389222596,0.0004043000685738,0.220320049100495
21-Aug,terrain,4,0.1621485779914583,0.4709671578110148,0.2157810877878023
21-Aug,terrain,5,0.1484172248440724,0.0892564719770515,0.2525408291821977
23-Aug,flat,2,0.2776512503272915,0.0525656925618535,0.1115690440706734
24-Aug,amputate_R2,3,0.1009016904633086,0.1833262920415496,0.1197918472933834
24-Aug,amputate_R2,5,0.1184859666000097,0.0269604691058964,0.1385993276831364
24-Aug,amputate_R2,6,0.1607069982040175,0.4994634187170671,0.1405694669239983
27-Aug,amputate_L3,2,0.1822322855442628,0.0443043771222346,0.1936916430184523
27-Aug,amputate_L3,4,0.0990655955678525,0.1110243172372118,0.1171704767316521
27-Aug,amputate_L3,6,0.0694760056931494,0.0533626882004226,0.1457493321134678
27-Aug,amputate_R2_L2,1,0.1070955499063718,0.311133436590491,0.1255573503946255
27-Aug,amputate_R2_L2,3,0.0841945440812454,0.0358856715136644,0.1402938813441079
27-Aug,amputate_R2_L2,5,0.0592578974989046,0.0513271238163958,0.1510419666829187
27-Aug,amputate_R3_L3,2,0.1202370422909572,0.0697840429160491,0.1838970117380795
27-Aug,amputate_R3_L3,4,0.0772575398708017,0.5101919893094309,0.2083145478144738
27-Aug,amputate_R3_L3,6,0.0922622652718464,0.0502069548307393,0.1895957938545244
5-Aug,flat,2,0.3663495878745539,0.1447402543117012,0.1580545174799205
