stance,swing
0.9424777960769379,0.1570796326794897
5.654866776461628,3.455751918948773
6.283185307179615,6.283185307179597
6.283185307179622,6.283185307179622
6.283185307179622,6.283185307179622
6.283185307179618,6.283185307179625
6.283185307179622,6.283185307179615
5.81194640914115,6.283185307179622
6.283185307179622,6.597344572538603
6.283185307179622,6.283185307179622
6.283185307179622,6.126105674500131
6.126105674499897,6.283185307179494
6.597344572538304,6.2831853071793375
6.126105674499854,6.126105674499854
6.126105674499854,6.2831853071793375
5.811946409140873,6.440264939858807
6.440264939858835,6.283185307179366
7.068583470576769,6.440264939858793
6.59734457253829,5.969026041820385
6.126105674499868,5.969026041820371
3.1415926535896546,6.283185307179323
3.1415926535896688,0.7853981633974456
5.969026041820371,6.12610567449984
6.2831853071793375,6.126105674499854
6.440264939858821,6.126105674499854
6.126105674499854,6.2831853071793375
6.2831853071793375,6.283185307179366
6.440264939858821,6.283185307179309
6.597344572538304,6.126105674499854
6.126105674499854,6.2831853071793375
6.126105674499854,6.2831853071793375
5.49778714378192,6.2831853071793375
7.225663103256238,6.2831853071793375
6.597344572538333,6.283185307179366
6.283185307179309,5.811946409140859
5.811946409140887,6.597344572538276
6.1261056744998825,8.011061266653684
6.126105674499826,6.440264939858821
5.969026041820371,6.597344572538304
6.283185307179366,6.440264939858793
6.597344572538276,5.340707511102494
6.911503837897271,5.026548245743442
4.869468613063987,6.283185307179366
7.6969020012946885,2.356194490192223
6.126105674499854,10.367255756845907
5.811946409140887,6.597344572538304
5.1836278784229535,6.126105674499854
0.9424777960769006,2.0420352248332847
6.2831853071793375,4.869468613063987
6.2831853071793375,6.126105674499854
6.440264939858821,6.126105674499854
6.2831853071793375,6.126105674499854
6.126105674499854,5.969026041820371
6.440264939858821,6.126105674499854
6.597344572538304,6.126105674499854
0.4712388980384503,3.4557519189486356
6.126105674499854,3.4557519189486356
5.654866776461404,7.382742735935722
6.2831853071793375,6.597344572538304
6.126105674499854,6.2831853071793375
6.2831853071793375,6.440264939858821
6.440264939858821,6.2831853071793375
5.969026041820371,6.2831853071793375
0.31415926535891003,0.6283185307179338
2.199114857512825,2.0420352248332847
3.926990816987086,3.4557519189486356
6.597344572538304,5.340707511102437
6.2831853071793375,5.654866776461404
6.440264939858764,6.126105674499854
0.3141592653590237,3.1415926535896688
5.969026041820371,3.1415926535896688
6.597344572538304,6.283185307179394
6.440264939858821,5.654866776461347
6.126105674499854,6.126105674499854
5.811946409140944,6.911503837897271
3.926990816987029,6.754424205217731
1.7278759594743178,0.31415926535908056
0.3141592653589669,1.7278759594743178
6.440264939858764,4.241150082345996
6.911503837897328,5.811946409140887
3.298672286269152,6.597344572538304
2.6703537555512185,0.3141592653589669
6.440264939858821,5.811946409140887
6.2831853071793375,6.2831853071793375
0.0,6.440264939858821
