seq,stamp,px,py,pz,ox,oy,oz,ow,lx,ly,lz,ax,ay,az,timestamp,lyap_z,wx,wy,wz,aa_x,aa_y,aa_z,roll,pitch,yaw,vx,vy,vz,jx,jy,jz,forward_velocity,forward_velocity_1
16408,1724813451415468249,0.937506914138794,-0.6539183259010315,0.1267955601215362,0.0052909362129867,-0.0002285658702021,0.9719902276992798,-0.2349615395069122,0.0,0.0,0.0,-0.19233525502174656,-0.3205309317969772,0.2790134482773169,0.0,0.1267955601215362,0.0,0.0,0.0,-11.079350447148038,1.6151073481683385,1.3265258773973727,-0.002930816626182132,-0.010178243949075952,-2.6672129409257908,0.008915586629708825,0.03008703476967854,-0.01064405607616811,-10.136605016982344,26.9067981069231,-24.66622150791372,0.0,0.0
16410,1724813451425175512,0.9375934600830078,-0.6536262631416321,0.1266922354698181,0.0053396080620586,-0.000754163833335,0.9719756841659546,-0.2350194752216339,0.0,0.0,0.0,-0.29073394584871365,-0.059339566085172546,0.039571948883741825,0.009707263,0.1266922354698181,-0.10755016865963361,0.01567827180190263,0.012876935568202054,-3.3742100621226,1.0421440211292508,0.8186525119564272,-0.003976091883941519,-0.010025619972017777,-2.667088456754676,0.00704853772504066,0.02697555671509022,-0.007935599153203299,0.48195498416602334,18.806363117946145,-20.56254500200461,-0.02178289926894571,0.005701068583361021
16412,1724813451436042280,0.9376473426818848,-0.6533709764480591,0.1266389489173889,0.0052982149645686,-0.0010468180989846,0.9719561338424684,-0.2351002842187881,0.0,0.0,0.0,-0.15632428531202947,0.04648486940418306,-0.13395616570777624,0.020574031,0.1266389489173889,-0.05048564610989565,0.02003304053219276,0.01559487849840061,-2.561855673982145,-1.2268213133111705,5.087745667370159,-0.004526379362924186,-0.009807207812214579,-2.6669199425088195,0.0026922016897330536,0.02950806098087355,-0.010418331351628396,16.751723249987858,-26.860648369490647,12.685716083243076,-0.015194788815566488,0.006273128760029829
16414,1724813451444991114,0.9376547336578368,-0.6530625820159912,0.1265050768852234,0.0054483376443386,-0.0016156845958903,0.9718533754348756,-0.235517993569374,0.0,0.0,0.0,0.025883118738833727,-0.4635995386042213,0.1907322102423803,0.029522865,0.1265050768852234,-0.13098949452305456,-0.0029397541997975593,0.09677473560125388,-2.3047480025296787,1.1661413523507895,0.9048852897441421,-0.005707086817212944,-0.009829083337088066,-2.6660537412619023,0.0030955568787760512,0.02854916938650831,-0.01092057082177611,9.463330741726338,-32.22574580905127,27.44746506357727,-0.016657813483107242,0.014871272021448865
16416,1724813451454637999,0.9377081990242004,-0.6528486609458923,0.1264417320489883,0.0053222430869936,-0.0020618375856429,0.9718304872512816,-0.2356118559837341,0.0,0.0,0.0,0.0038454727990280824,-0.516839528266636,0.36363311938973264,0.03916975,0.1264417320489883,-0.0836380526699814,0.04713358219610063,0.020575678980723464,4.796412023885302,2.9627283645969866,-4.0535425081526375,-0.006515812724554811,-0.009373186673251672,-2.6658580311643423,0.0031456802357432423,0.020370049091052778,-0.006513451480149257,-2.894947297356117,7.8591098645834165,2.446785813765798,-0.015143726206745823,0.005153709341472267
16418,1724813451467560252,0.9377073645591736,-0.6526166796684265,0.1263584792613983,0.0050634969957172,-0.0022825303021818,0.9717788100242616,-0.2358286380767822,0.0,0.0,0.0,-0.04413161357365833,-0.18371323780206938,0.127362958660889,0.052092003,0.1263584792613983,-0.023597285474215954,0.04685454653669558,0.03475543888293311,0.13920834445548858,-0.20612994946654517,-3.393166698223345,-0.006824779481034894,-0.00876473836342257,-2.665412957126647,0.0031719985291971398,0.019421023634542678,-0.0034279401582519853,-9.29592062489284,13.713448236934077,-25.524063207944682,-0.008227763722398475,0.008214907616461422
16420,1724813451475167379,0.937745988368988,-0.652462363243103,0.1263459026813507,0.0049375803209841,-0.0024801052641123,0.9717892408370972,-0.2357861399650573,0.0,0.0,0.0,-0.1398493974215927,-0.1334264240801174,-0.09922436204714977,0.05969913,0.1263459026813507,-0.04272198529000883,0.04446009909963108,-0.011166060451883583,0.3834426028574919,-0.2783417873480172,-2.728987887160918,-0.007149019974049823,-0.008427125713273238,-2.6655002225958384,0.0026295331437928837,0.017529673801075063,-0.002957999035565262,-4.750816373591967,10.000269452829086,-20.16673666804605,-0.01382328936108529,0.004765518094199729
16422,1724813451487454872,0.9377297163009644,-0.6523016691207886,0.126283660531044,0.0046596745960414,-0.0024248301051557,0.9717604517936708,-0.2359111756086349,0.0,0.0,0.0,-0.042782755758144955,0.05673053900012004,-0.15610088306802372,0.071986623,0.126283660531044,0.019497564978147204,0.04176286038623132,0.020950190651082078,1.9948542775359177,-5.0440365820914295,3.766491862982677,-0.006911517982813512,-0.007912168493015657,-2.665246443043045,-0.00044919829454670435,0.018176674504452706,-0.0073726815002093105,14.809684590658836,-17.19689325112723,18.48951245132957,-0.004859732080712954,0.007121029896573666
16424,1724813451494687992,0.9377301931381226,-0.6521484851837158,0.1262205094099044,0.0046950527466833,-0.0023393908049911,0.9717150330543518,-0.2360982745885849,0.0,0.0,0.0,0.09375929244495967,-0.2067707125237832,0.07606982458163164,0.079219743,0.1262205094099044,0.020860187431558246,-0.015263259335230952,0.053101917881229706,-1.0686410216972921,-3.5757254128178015,0.406719227787101,-0.0067636992182549495,-0.008019940377317694,-2.6648615769028043,0.00012602064897748733,0.018604365286314817,-0.007636665217595429,16.603003096998414,-32.30491956052532,18.66948522333642,-0.009846438829154279,0.009569036030324224
16426,1724813451504874242,0.9377323389053344,-0.6519958972930908,0.1261584162712097,0.0046546827070415,-0.002391415880993,0.9717159867286682,-0.2360945641994476,0.0,0.0,0.0,0.2302561209651017,-0.4766646864054803,0.07360473232399606,0.089405993,0.1261584162712097,-0.008057418814210023,0.01011645358905884,-0.0006856105020592386,-1.7606100373503715,1.6814784726503131,-3.2370253935244007,-0.0068457126594325905,-0.00791694132137395,-2.6648692482533294,0.0012852582473783514,0.012683787122249157,-0.0052470256690257955,10.935802936543158,-4.481815031757213,-5.422317723445566,-0.007108986415395173,0.006623713316281486
16428,1724813451515818710,0.9377590417861938,-0.6518840789794922,0.1261109709739685,0.0045727672986686,-0.002493530511856,0.9717319011688232,-0.2360296845436096,0.0,0.0,0.0,0.32096462165712136,-0.2668492764425829,-0.046655627651371046,0.100350461,0.1261109709739685,-0.01464677366037316,0.018993422440642508,-0.0120847731638042,-0.13101228980926427,0.3736553710236721,-0.6134267761428085,-0.007004969422920954,-0.007709989666383585,-2.6650029687729373,0.005174662108409223,0.00869657002844093,-0.006334561246263526,-8.196629024966064,15.231998583590375,4.103191833663466,-0.006888194972124191,0.0024748739359903506
16430,1724813451525598405,0.9378335475921632,-0.6518123149871826,0.1260315477848053,0.0044971252791583,-0.002571060322225,0.97174870967865,-0.2359610348939895,0.0,0.0,0.0,0.09674623316325437,-0.1523066644401047,0.12535454169676255,0.110130156,0.1260315477848053,-0.011811500126456903,0.018824951393912565,-0.014342619140330313,0.5650987656439941,0.048501572562218986,0.10115757277150883,-0.007119403581717709,-0.007526882336834076,-2.6651445229506097,0.008012879099794645,0.006938593741267596,-0.0063301872208967325,20.117136517571154,57.24592350581443,-28.717747612108372,-0.010196214691746088,-0.0034856050641546648
16432,1724813451535388642,0.937915861606598,-0.6517482995986938,0.1259871274232864,0.0044065196998417,-0.002610913477838,0.9717607498168944,-0.2359126657247543,0.0,0.0,0.0,0.7155636455926205,0.8544101024297042,-0.6096368427578922,0.119920393,0.1259871274232864,-0.0035820241272659084,0.019943981477615065,-0.01009812208415888,0.6125759854620197,0.00025042036665068844,0.401965214749559,-0.007153727412919228,-0.007332336359549843,-2.665244768552296,0.0070638980126096484,0.005716518053522357,-0.0038787464247389547,-211.22167978126487,645.2860899374621,-143.89656392685694,-0.010502993667111058,-0.004518169924385924
16434,1724813451575790661,0.9379771947860718,-0.6516544222831726,0.125940203666687,0.0044683399610221,-0.0029461944941431,0.9717557430267334,-0.235928326845169,0.0,0.0,0.0,-53.5737267571821,117.36903099101812,-17.898127798195446,0.160322412,0.125940203666687,-0.01684773108369492,0.000938546294681536,0.0008769879733466195,127.15977320258497,968.026381887391,-1952.088050678435,-0.007834667349476836,-0.007294153243043394,-2.665209653077379,0.17144115274777505,0.20350413153823865,-0.171902389959655,127497.53066910274,-129331.27659097259,-122118.80768895922,-0.0024229754266155623,-0.00029534541146919284
16436,1724813451576171963,0.938043177127838,-0.6515761017799377,0.1258740425109863,0.0043981145136058,-0.002956410171464,0.9717898368835448,-0.2357891052961349,0.0,0.0,0.0,-4.495013542352268,67.57896542993132,-64.90019180143017,0.160703714,0.1258740425109863,0.032097325099924495,0.3735341865260021,-0.7504838761635813,-1545.6902238592709,189.3856690447076,-80.63597774734876,-0.00782035351845052,-0.007153968375424443,-2.6654969401873143,0.15080595139738762,0.24866192650245011,-0.17877642442800834,152912.87280244374,-225322.3043666262,-93617.91348658656,-0.24917435553661074,-0.06139628802546836
16438,1724813451576553003,0.9380921721458436,-0.6514648795127869,0.125803917646408,0.0044248197227716,-0.0031840268056839,0.9717919826507568,-0.2357766032218933,0.0,0.0,0.0,62.98550240350792,-54.35399677269868,-89.28252613675625,0.161084754,0.125803917646408,-1.194315405220709,0.14572785147713652,-0.06158516034294288,1018.0018842595197,-355.28109304199154,-76.60737183488811,-0.008275264315170958,-0.007098630230070295,-2.66552081124862,0.1679884217601284,0.25504905226318897,-0.2213539792804795,104013.89888953499,-245716.0362033702,5037.833208567114,-0.2493556592782633,0.01761105480850358
16440,1724813451576915832,0.9381667375564576,-0.6513850688934326,0.1257107108831405,0.0043801860883831,-0.003075128654018,0.9718241095542908,-0.235646516084671,0.0,0.0,0.0,75.47587681303219,-117.8425088604119,-63.60671804504813,0.161447583,0.1257107108831405,0.6387394514305608,0.1006277251639742,-0.7404708509344127,4827.699782719329,-119.59974819660106,-1785.0783894697358,-0.008041606839626547,-0.007064312939094962,-2.665789790309747,0.1970228280116304,0.21075797629920645,-0.24598934152687513,32423.321137247327,-166747.06937732693,68114.01828760312,-0.2852483758286993,-0.08449655812031832
16442,1724813451584835954,0.9382596611976624,-0.6513080596923828,0.1256468445062637,0.0044395364820957,-0.0027517441194504,0.9718320965766908,-0.2356164753437042,0.0,0.0,0.0,-13.784619017869229,-14.804359468429723,17.443035374024983,0.169367705,0.1256468445062637,0.07580190076085544,-0.03377605008110323,-0.008251242816385293,-44.758052401917965,-7.63868950762376,53.57742909924889,-0.007440791066640693,-0.0073323212945118075,-2.665853072787118,0.008786881795444401,0.008565478294976003,-0.007857018105481117,-5892.639048066456,8036.15180569444,5247.780186826627,-0.014941674988703474,-0.006056897191639228
16444,1724813451595537510,0.9383111000061036,-0.6512331366539001,0.1255657523870468,0.0043670921586453,-0.0028938760515302,0.9718284010887146,-0.2356313169002533,0.0,0.0,0.0,0.9118004235264505,-0.7210153404722774,1.511475539728895,0.180069261,0.1255657523870468,-0.0226142024204931,0.01940560740787006,0.0030134995337079205,-3.8143327605487225,1.5939183235319052,-0.45767096908092086,-0.007683019793062875,-0.007124412999078544,-2.6658223830163976,0.005610233048301438,0.005211304829686014,-0.0037256520139941074,670.7543350538967,599.8822135384053,-663.3008727270643,-0.007533317510051437,-0.001141136447156291
16446,1724813451604741180,0.93836909532547,-0.6511993408203125,0.1255619525909423,0.0043507628142833,-0.0029692004900425,0.9718425869941713,-0.2355720847845077,0.0,0.0,0.0,1.5242630737695415,-0.8683572466373748,1.9401852544899958,0.189272931,0.1255619525909423,-0.015118391594292397,0.007356082697727624,-0.01315342511388568,-4.835986562886204,4.114962022172776,-19.1308569507439,-0.007821302034175468,-0.007057650269113969,-2.665943949491443,0.02356906509111667,-0.004650911651747691,0.019093687709637486,-38.047361554072225,58.246086033712814,-56.63544027724316,-0.007286047174738419,-0.003924550511306926
16448,1724813451615236170,0.938823103904724,-0.6513477563858032,0.12599578499794,0.0039335461333394,-0.0037830651272088,0.9723618626594543,-0.233415201306343,0.0,0.0,0.0,-0.12675725225159662,0.6315821929336547,0.11056368133122196,0.199767921,0.12599578499794,-0.13349340322985706,0.11545626867495853,-0.4218581129358677,-7.940416729719017,7.437629427262371,-27.911958687916623,-0.009193604068767377,-0.0058836446195942626,-2.6703816211445353,0.034456007375915476,-0.011332574259817818,0.03300317792245122,-6487.055616753539,1981.8239573227497,-7590.257369094698,-0.031881539785925575,-0.04457403761989952
