time,force
76.00569605827332,4964.22785490953
76.02221131324768,4967.527338814816
76.03889226913452,4966.145440590399
76.0556230545044,4964.056904104835
76.07260656356812,4963.847790354527
76.08910632133484,4963.188232034117
76.10574913024902,4961.294694066996
76.12244987487793,4965.405340732481
76.1391110420227,4967.541227561217
76.15583229064941,4965.731920492825
76.17246103286743,4963.924450376653
76.18920516967773,4962.935492055618
76.20571494102478,4963.953097313175
76.22275757789612,4963.7836243212
76.23923110961914,4961.534675350273
76.25591778755188,4959.053819385797
76.27294206619263,4962.9694257675055
76.28933930397034,4965.14119007416
76.30604362487793,4964.921148676928
76.32268524169922,4963.231924192663
76.38777709007263,4964.041923215927
76.45667028427124,4968.705589552976
76.52561593055725,4960.973448256069
76.59036540985107,4962.187447088513
76.6581404209137,4963.480206467592
76.66589093208313,4961.1453780893235
76.67375349998474,4961.857846226483
76.68233585357666,4965.780678193852
76.69021987915039,4964.41882136516
76.69824409484863,4968.51035426381
76.70567870140076,4961.924616445693
76.71388220787048,4962.698279465747
76.7215223312378,4964.514715716774
76.72916769981384,4963.8690484082545
76.7367172241211,4963.254518528891
76.74461507797241,4965.920019723031
76.75374603271484,4963.62760958575
76.7620918750763,4963.1015371821795
76.76990985870361,4963.670002091253
76.7777464389801,4964.957669005521
76.78533053398132,4964.075234245162
76.79283142089844,4965.774622200532
76.80075025558472,4966.991689174229
76.80904984474182,4966.6686782112965
76.81758522987366,4963.372801953893
76.82517051696777,4964.624901834316
76.83371925354004,4966.360286898183
76.8417112827301,4964.328318949264
76.85011649131775,4966.817448555636
76.85813546180725,4960.267523097881
76.8674087524414,4961.1761246771275
76.87543153762817,4962.539483788256
76.8844621181488,4970.100968693582
76.89271259307861,4959.132585200778
76.90698909759521,4965.175763272197
76.92372131347656,4964.760215921699
76.94037127494812,4965.337252481802
76.95712184906006,4964.3076216740465
76.97376775741577,4966.8472777249735
76.99039697647095,4964.0013850509495
77.0071611404419,4963.9555834724915
77.02384519577026,4960.621057120686
77.04043698310852,4966.964951882827
77.0572190284729,4963.153281728196
77.07385921478271,4966.439133357944
77.09020781517029,4960.202761851619
77.10723733901978,4963.772389451718
77.12383794784546,4966.6831901028445
77.14057660102844,4965.865716783506
77.15724039077759,4962.594331206869
77.17403054237366,4960.131976777452
77.19069957733154,4963.1610200016
77.20760369300842,4962.457367731458
77.22412991523743,4963.058890185596
77.24083232879639,4963.436121948199
77.2575409412384,4968.056558172205
77.27428722381592,4964.458677382237
77.2907326221466,4962.806739770156
77.30756306648254,4963.83806538805
77.32432436943054,4971.15499573447
77.34096240997314,4961.935565407589
77.35762405395508,4973.494461561713
77.37430143356323,4962.856733305532
77.39104175567627,4974.195743499945
77.40777230262756,4952.603978720429
77.42444658279419,4973.592066471314
77.44084906578064,4954.928702649502
77.45751762390137,4972.146752277167
77.47415614128113,4954.550699040962
77.49084615707397,4970.618034936241
77.5075614452362,4952.933327359464
77.52422976493835,4971.837514064226
77.54091095924377,4953.416829092768
77.55758738517761,4973.287898683238
77.57429599761963,4955.225965481794
77.59101700782776,4970.943119958714
77.60769701004028,4951.421198866445
77.62484741210938,4976.064844663727
77.64116144180298,5249.848628616522
77.65778350830078,5009.163646344437
77.67448806762695,5345.208323718796
77.69150447845459,5787.401978691647
77.7082269191742,5710.231433008144
77.72492790222168,5367.138321455771
77.74153399467468,4966.804884566897
77.75829410552979,4771.975126420701
77.77541995048523,4688.021190855695
77.79173398017883,4695.913608968035
77.80844902992249,4688.4386432390365
77.82511448860168,4712.400476497218
77.84146094322205,4722.759284836741
77.85851001739502,4773.501461066378
77.87518739700317,4780.247908413834
77.89148831367493,4800.334577241748
77.9083263874054,4807.818924411825
77.92491102218628,4854.987651378125
77.94160985946655,4883.341118590335
77.9586935043335,4906.611003414371
77.97508907318115,4936.596627023413
77.99172782897949,4952.700012468032
78.00883507728577,4976.858672822875
78.02577424049377,5006.291134183027
78.04216241836548,4984.609191089908
78.058842420578,4988.847722811109
78.07552814483643,4998.655426845792
78.092205286026,5011.350071560614
78.10893678665161,5004.173663575775
78.12559294700623,5000.828536844802
78.14205694198608,5011.887914344519
78.15875506401062,5015.43320843194
78.17596626281738,5015.7512930645835
78.1926429271698,5008.23370229408
78.20937919616699,5017.191745732568
78.22582030296326,5015.919948816649
78.24240732192993,5018.71095421466
78.25927138328552,5015.634203033807
78.2756040096283,5020.751326238167
78.2927496433258,5019.585251291906
78.30884075164795,5023.520595342866
78.32566452026367,5023.44253852998
78.34287548065186,5024.900694326363
78.35948467254639,5026.64599317111
78.37563967704773,5025.860326160888
78.39272165298462,5028.477320602171
78.40939593315125,5024.249603534195
78.42625546455383,5031.273770792025
78.44280338287354,5032.703657679573
