seq,timestamp,px,py,pz,ox,oy,oz,ow,lx,ly,lz,ax,ay,az
2846,1722911564281330320,-1.512595415,-0.66966933,0.15736837685108185,-0.015401687,0.032964978367090225,0.4303840398788452,-0.901912212,0,0,0,0,0,0
2848,1722911564283619917,-1.511778712,-0.669701934,0.15734517574310303,-0.015052309,0.033337127417325974,0.43066975474357605,-0.901768029,0,0,0,0,0,0
2850,1722911564300541604,-1.510977626,-0.66975528,0.15736408531665802,-0.015248958,0.033236209,0.43108803033828735,-0.901568592,0,0,0,0,0,0
2852,1722911564302639697,-1.510211825,-0.669782043,0.15737225115299225,-0.014950041,0.033907052129507065,0.4310036897659302,-0.901588917,0,0,0,0,0,0
2854,1722911564317607138,-1.509427905,-0.669885993,0.1571519821882248,-0.014004614,0.035451181,0.4307020902633667,-0.901688814,0,0,0,0,0,0
2856,1722911564327271224,-1.508655429,-0.669920623,0.15704546868801117,-0.013288934,0.036164157,0.4306689500808716,-0.901687205,0,0,0,0,0,0
2858,1722911564332633396,-1.507924199,-0.669865131,0.15695032477378845,-0.013203939,0.035665307,0.43085721135139465,-0.901618421,0,0,0,0,0,0
2860,1722911564347324047,-1.507137299,-0.669886231,0.15662254393100739,-0.013243018,0.035737488,0.43061113357543945,-0.901732564,0,0,0,0,0,0
2862,1722911564352709386,-1.506361723,-0.669890165,0.15667055547237396,-0.014460641,0.034690968692302704,0.4309998154640198,-0.901569009,0,0,0,0,0,0
2864,1722911564365736692,-1.505646706,-0.669904113,0.15664948523044586,-0.01537942,0.034993395,0.4309496581554413,-0.901566088,0,0,0,0,0,0
2866,1722911564374657029,-1.504971504,-0.669898808,0.1565667986869812,-0.015148882,0.035945583,0.4309776723384857,-0.901519179,0,0,0,0,0,0
2868,1722911564385966333,-1.504339099,-0.669919014,0.15613983571529388,-0.013315005,0.038231891,0.4303784668445587,-0.901740253,0,0,0,0,0,0
2870,1722911564397785369,-1.503649354,-0.669789135,0.15626832842826843,-0.01471292,0.036768135,0.43106934428215027,-0.901449382,0,0,0,0,0,0
2872,1722911564402728749,-1.50304842,-0.669674456,0.15639756619930267,-0.015165242,0.036383539,0.43176308274269104,-0.901125312,0,0,0,0,0,0
2874,1722911564414732437,-1.502454281,-0.669677496,0.15625178813934326,-0.014529511,0.037449631839990616,0.4322393536567688,-0.900863826,0,0,0,0,0,0
2876,1722911564422590924,-1.501832962,-0.669631362,0.1562761515378952,-0.014754759,0.037148852,0.43265995383262634,-0.900670648,0,0,0,0,0,0
2878,1722911564433287880,-1.501273274,-0.669590533,0.15618081390857697,-0.014386971,0.037422657,0.432881236,-0.900558889,0,0,0,0,0,0
2880,1722911564449860074,-1.500701904,-0.669593871,0.15600596368312836,-0.013847672,0.038415368646383286,0.43275371193885803,-0.900586963,0,0,0,0,0,0
2882,1722911564452919514,-1.500169516,-0.669606626,0.15562503039836884,-0.012822727,0.040005214512348175,0.4324474036693573,-0.900680006,0,0,0,0,0,0
2884,1722911564466513082,-1.499660492,-0.669532716,0.15548062324523926,-0.012674622,0.040249314,0.43263816833496094,-0.900579572,0,0,0,0,0,0
2886,1722911564473644948,-1.499184489,-0.669391692,0.15561741590499878,-0.012630442,0.039731279,0.43362462520599365,-0.900128663,0,0,0,0,0,0
2888,1722911564482596654,-1.498722911,-0.669333398,0.15558382868766785,-0.012985163,0.039937753,0.43429747223854065,-0.899789989,0,0,0,0,0,0
2890,1722911564502767328,-1.498305202,-0.669288576,0.1554853618144989,-0.01347275,0.039990764,0.43485549092292786,-0.89951098,0,0,0,0,0,0
