stamp,px,py,pz,ox,oy,oz,ow,timestamp,lyap_z,wx,wy,wz,aa_x,aa_y,aa_z,roll,pitch,yaw,vx,vy,vz,ax,ay,az,jx,jy,jz,forward_velocity,forward_velocity_1
1713498666.0902126,-3.0009860703662676,-0.0063784083280411,0.1313400222158164,-0.0038823964323885,-0.7053343320018363,-0.002826669660422,0.7088585310455789,0.0,0.1313400222158164,0.0,0.0,0.0,6745982048072.782,1211308735256546.0,6604630754377.071,-0.2958017463654344,-1.5655935259246323,0.2863136264117965,5009.121472113298,581.5173788595283,-163502.1285341541,9.59507646847581e+16,3.3498501560055196e+16,4.702521074151336e+16,1.1425392104126615e+26,7.11816702629254e+26,-4.949667146889313e+26,0.0,0.0
1713498666.1831086,-3.0009856050389963,-0.0063783543074116,0.1313248335245939,-0.0038823811257117,-0.7053306270483278,-0.0028266492204164,0.7088622177254139,9.28959846496582e-11,0.1313248335245939,626.674644784639,112525.71767638899,613.5436771752728,-2.5606022802297725e+17,6.18398112521305e+16,-3.241567849717239e+16,-0.2952275977674661,-1.5655835092586934,0.2857395282442751,8918449.884750366,3112457.804088298,4204951.126656413,1.0656449517997082e+17,9.962341504087269e+16,1044790411678647.8,-5.477106963934597e+24,5.155142784297695e+26,-7.724142610690033e+26,0.0003039182710862948,0.0003039182710862948
1713498666.2799034,-2.9992233591650277,-0.0057632288810491,0.1321724416798918,-0.0053982984571941,-0.70490363707191,-0.0047764069108232,0.7092664568084287,1.8969082832336427e-10,0.1321724416798918,-50610916.52370958,12213129.97697629,-6407082.1708675865,-2.1952127583628784e+17,-1979007491166262.0,-2.7612455688339386e+17,-0.14878436033171294,-1.5645639904735773,0.13439496000246856,20303816.145334244,19424673.466243327,-331381.3627463579,9.395858665652749e+16,1.2972399900258016e+17,-1.0170354831933078e+17,-1.6993500793043632e+26,-4.752155930097177e+26,-5.416948676528708e+26,0.0409991677740141,0.0409991677740141
1713498666.37823,-2.997017415510354,-0.0025478240594806,0.1312321104578343,-0.0049697297588349,-0.7049274565567261,-0.0081294233029611,0.7092154082190759,2.8801751136779787e-10,0.1312321104578343,-41895969.39487877,-665762.2362111437,-54525465.94280064,1.3716122402101982e+17,-3.3942277536784205e+17,-4.457725744858795e+17,0.6257867414320828,-1.5632636875632415,-0.6443121376430729,27178716.803913116,28304592.431624573,-15808936.258200407,7.328392114133064e+16,4470934662444640.0,-1.0304640243326936e+17,-2.7256107301399722e+26,-7.252099661417895e+26,4.903527855191253e+26,0.08022278574404282,0.08022278574404282
1713498666.4789982,-2.993788767713212,-0.0001496670389279,0.1289940904233872,-0.0024447761868197,-0.7069455521422997,-0.0123268946393981,0.7071563172624316,3.8878560066223144e-10,0.1289940904233872,-23062935.802632667,-56394589.61084397,-94942537.70199127,1.585276239862743e+17,-3.448335327418132e+17,-1.5581644337350736e+17,1.5390260371620272,-1.5568176088285022,-1.5599172245568238,34910896.13360977,19890471.825151205,-20578641.102706313,3.938514578392206e+16,-1.1949368830548416e+16,-1585333942328336.0,-3.117447766177629e+26,2.547038182046198e+26,6.989986129653863e+26,0.09205228376917934,0.09205228376917934
1713498666.5806053,-2.98994748009545,0.0014709282347383,0.1270702525365694,0.0002330593595629,-0.7094571901311293,-0.0157490847334311,0.7045724997362848,4.903926849365235e-10,0.1270702525365694,-9861711.998222917,-70100684.7717316,-85645565.8182922,8.789558313054715e+16,8.379280110340179e+17,3.668962260591123e+16,1.8564416227410443,-1.5471615163901642,-1.8783865688694548,35086363.27884674,26006897.647780947,-16052683.979382157,1.023606783310832e+16,5.672040289936126e+16,3.789479572145186e+16,-1.2237756871374963e+26,-1.0723719676023468e+26,1.5318076613585203e+26,0.09183239475948936,0.09183239475948936
1713498666.6895535,-2.986442509987406,0.0054792216346686,0.1256579464684359,0.0035522394502855,-0.7042491967741323,-0.0193270418381972,0.7096808549564108,5.993409156799317e-10,0.1256579464684359,-5195422.763583949,134834835.97293672,-88051144.68798034,-414505515686208.0,7.26055706848288e+17,1.3830508383866698e+17,1.326550112476024,-1.537539285675424,-1.3488625994479289,37195601.7008152,31780368.090227187,-12700838.439504981,1.6120428913694176e+16,-4.644138986379562e+16,2.708698619973409e+16,-2.1556978977550507e+25,-1.338492223714862e+27,5.4210307697601085e+25,0.11017411650345824,0.11017411650345824
1713498666.79348,-2.982078781810138,0.0082853261735601,0.1243639927044857,0.0054114777842375,-0.7006844672611263,-0.021788305147949,0.7131179867356889,7.032673358917237e-10,0.1243639927044857,-9525624.938658344,95791005.85855198,-57777641.72422461,1.6772370358883987e+17,-4.31819993929028e+17,2.5061169366489555e+17,1.1304555682903232,-1.528498479065717,-1.1536215981767586,38549781.16881561,17096365.855113104,-10250457.237721324,6388613885665184.0,-2.243681852726613e+17,4.792949834539771e+16,-8.006912573528998e+25,-1.0032310274738079e+27,9.43653748841556e+25,0.10694047434252472,0.10694047434252472
1713498666.8998146,-2.97835374558713,0.0090256643040164,0.1235133941781772,0.0079654997195195,-0.6990467627115612,-0.021965423553212,0.7146941265498358,8.096020221710205e-10,0.1235133941781772,31090566.416574158,43766388.47857497,-35555487.534268364,2.2169926081776752e+17,-1.7844790403536246e+18,1.7342157666740173e+17,1.0791868230457193,-1.523027778665798,-1.0989916774362636,38506518.79090309,-15800308.665776595,-2504480.5339541435,-648865367545952.0,-2.539282701354479e+17,4.641098369593223e+16,-6.975117259903475e+25,7.941028646471538e+26,-3.552956689877254e+26,0.07783961269967041,0.07783961269967041
1713498667.0027275,-2.974044786205596,0.0051324209655203,0.1238029373522263,0.0098205814609413,-0.708900710447124,-0.0214901156776704,0.7049124157194937,9.125149250030518e-10,0.1238029373522263,37943557.190252274,-268885586.89912236,-21250142.837349955,1.9254864666983696e+16,-1.419523782394313e+18,-3.569810060818397e+16,1.6892383144073695,-1.5261548277495114,-1.7057458273252253,38415637.247823715,-36410821.39663406,-361076.82710671425,-8182620297400032.0,-6.542297220175807e+16,-2.411905329564795e+16,9.692651632439814e+24,1.597053623335111e+27,-4.7701809615259415e+26,0.116289827403938,0.116289827403938
