,lyapunov_exponent
0.8,-5.116922989565269
0.81,-5.116046559617923
0.8200000000000001,-5.11567013001279
0.8300000000000001,-5.115307900329822
0.84,-5.114652515617966
0.85,-5.11371957087335
0.86,-5.112657090623065
0.87,-5.111409916625536
0.88,-5.109632908218668
0.89,-5.107565845159544
0.9,-5.105605067232882
0.91,-5.104158444981587
0.92,-5.1032673106087785
0.93,-5.1027830625903885
0.9400000000000001,-5.102238171149761
0.9500000000000001,-5.101415469393033
0.96,-5.100385328239723
0.97,-5.099304797559166
0.98,-5.098056080098748
0.99,-5.0963389906038294
1.0,-5.094429593779364
1.01,-5.09270426019029
1.02,-5.091481439030863
1.03,-5.090778336584966
1.04,-5.0903994564213795
1.05,-5.090007360323494
1.06,-5.08934558979552
1.07,-5.088464786345946
1.08,-5.087492353262418
1.09,-5.0862983884569015
1.1,-5.084753159380489
1.11,-5.08311806860807
1.12,-5.081763637866031
1.1300000000000001,-5.080912458695744
1.1400000000000001,-5.080500241127089
1.1500000000000001,-5.080308716597286
1.16,-5.08010986731271
1.17,-5.079587535077356
1.18,-5.078782963164684
1.19,-5.077885776713092
1.2,-5.076784591914193
1.21,-5.075416770626675
1.22,-5.07408981507836
1.23,-5.073175161831007
1.24,-5.07269978310007
1.25,-5.072523096104324
1.26,-5.072468631532797
1.27,-5.0723418892314625
1.28,-5.071909662831659
1.29,-5.071293992238051
1.3,-5.07067394499161
1.31,-5.069894693470712
1.32,-5.068937564215013
1.33,-5.068073224713984
1.34,-5.067499503864845
1.35,-5.067325677102813
1.36,-5.067380718119895
1.37,-5.067509951799118
1.3800000000000001,-5.067513250742142
1.3900000000000001,-5.0672683318309355
1.4000000000000001,-5.066843206782935
1.41,-5.066393965724333
1.42,-5.065734105448943
1.43,-5.0648580796052896
1.44,-5.063981218725456
1.45,-5.063295348695891
1.46,-5.0628482494627916
1.47,-5.06254817248888
1.48,-5.062288154146409
1.49,-5.061888740416718
