seq,timestamp,px,py,pz,ox,oy,oz,ow,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z,vx,vy,vz,ax,ay,az,jx,jy,jz
1429.0,1.7216891778367672e+18,-0.963292003,0.3440277576446533,0.1795288920402526,0.110825628042221,0.053267699,0.4241482317447662,-0.897205949,0.0,0.0,0.0,0.0,0.0,0.0,-1.0551054494297329e-10,1.7226694438103e-10,-1.0810455808795229e-10,,,,,,
1430.0,1.721689177846912e+18,-0.964362383,0.3457753658294678,0.1784321963787078,0.1141750961542129,0.054355901,0.4232349097728729,-0.897152066,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1431.0,1.721689177846912e+18,-0.964362383,0.3457753658294678,0.1784321963787078,0.1141750961542129,0.054355901,0.4232349097728729,-0.897152066,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1432.0,1.7216891778577638e+18,-0.965386391,0.3475655019283294,0.1773389279842376,0.1176690086722374,0.054926801,0.4226332902908325,-0.89694947,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1433.0,1.7216891778577638e+18,-0.965386391,0.3475655019283294,0.1773389279842376,0.1176690086722374,0.054926801,0.4226332902908325,-0.89694947,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1434.0,1.721689177867737e+18,-0.966405094,0.3492719233036041,0.1761651933193206,0.1205690801143646,0.05582818,0.4214344024658203,-0.897072673,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1435.0,1.721689177867737e+18,-0.966405094,0.3492719233036041,0.1761651933193206,0.1205690801143646,0.05582818,0.4214344024658203,-0.897072673,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1436.0,1.721689177876537e+18,-0.967366159,0.3508350253105163,0.1749378442764282,0.1233902648091316,0.0565828457474708,0.4208830893039703,-0.896900594,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1437.0,1.721689177876537e+18,-0.967366159,0.3508350253105163,0.1749378442764282,0.1233902648091316,0.0565828457474708,0.4208830893039703,-0.896900594,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1438.0,1.7216891778868347e+18,-0.96840477,0.3523938655853271,0.1737391054630279,0.1262382417917251,0.0564212948083877,0.4207252860069275,-0.896588504,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1439.0,1.7216891778868347e+18,-0.96840477,0.3523938655853271,0.1737391054630279,0.1262382417917251,0.0564212948083877,0.4207252860069275,-0.896588504,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1440.0,1.7216891778970278e+18,-0.969268084,0.3537427484989166,0.1727107316255569,0.1283758729696273,0.056232374,0.4203362762928009,-0.896479189,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1441.0,1.7216891778970278e+18,-0.969268084,0.3537427484989166,0.1727107316255569,0.1283758729696273,0.056232374,0.4203362762928009,-0.896479189,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1442.0,1.721689177906579e+18,-0.970180929,0.3550226092338562,0.1718560010194778,0.1301722824573516,0.05619023,0.4199402034282684,-0.896408498,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1443.0,1.721689177906579e+18,-0.970180929,0.3550226092338562,0.1718560010194778,0.1301722824573516,0.05619023,0.4199402034282684,-0.896408498,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1444.0,1.7216891779167314e+18,-0.970947981,0.3560443818569183,0.1711586862802505,0.1306249052286148,0.056207635,0.4195784330368042,-0.896510959,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1445.0,1.7216891779167314e+18,-0.970947981,0.3560443818569183,0.1711586862802505,0.1306249052286148,0.056207635,0.4195784330368042,-0.896510959,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1446.0,1.7216891779264666e+18,-0.971616268,0.3569220900535583,0.1706834882497787,0.1307370066642761,0.055961676,0.4197665452957153,-0.89642185,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1447.0,1.7216891779264666e+18,-0.971616268,0.3569220900535583,0.1706834882497787,0.1307370066642761,0.055961676,0.4197665452957153,-0.89642185,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1448.0,1.7216891779369272e+18,-0.972072423,0.3575904667377472,0.1704554259777069,0.1310144811868667,0.054614071,0.4198028147220611,-0.896447539,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1449.0,1.7216891779369272e+18,-0.972072423,0.3575904667377472,0.1704554259777069,0.1310144811868667,0.054614071,0.4198028147220611,-0.896447539,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1450.0,1.721689177947449e+18,-0.972441971,0.358047754,0.1703604161739349,0.1306085586547851,0.054196484,0.4196378588676452,-0.896609366,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1451.0,1.721689177947449e+18,-0.972441971,0.358047754,0.1703604161739349,0.1306085586547851,0.054196484,0.4196378588676452,-0.896609366,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1452.0,1.7216891779567084e+18,-0.972789824,0.3583940267562866,0.1704002171754837,0.130120500922203,0.0538108311593532,0.4190671741962433,-0.896970332,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1453.0,1.7216891779567084e+18,-0.972789824,0.3583940267562866,0.1704002171754837,0.130120500922203,0.0538108311593532,0.4190671741962433,-0.896970332,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
