stamp,px,py,pz,ox,oy,oz,ow,timestamp,lyap_z,wx,wy,wz,aa_x,aa_y,aa_z,roll,pitch,yaw,vx,vy,vz,ax,ay,az,jx,jy,jz,forward_velocity,forward_velocity_1
1713498515.671815,-3.0009860703662676,-0.0063784083280411,0.1313400222158164,-0.0038823964323885,-0.7053343320018363,-0.002826669660422,0.7088585310455789,0.0,0.1313400222158164,0.0,0.0,0.0,4384135315836.27,787215466447368.4,4292272753170.9043,-0.2958017463654344,-1.5655935259246323,0.2863136264117965,4038.1360615269555,468.79404124064746,-131808.3111072235,-1.2308663743281285e+17,-3.5961464679854668e+16,-5753680031486662.0,-1.1160643133983471e+27,7.234075325618016e+25,-2.352716528720126e+26,0.0,0.0
1713498515.787048,-3.0009856050389963,-0.0063783543074116,0.1313248335245939,-0.0038823811257117,-0.7053306270483278,-0.0028266492204164,0.7088622177254139,1.152331829071045e-10,0.1313248335245939,505.1978667392572,90713.34383243119,494.6122512533238,-2.274950978040042e+18,47822832067207.64,2.4127552577434616e+16,-0.2952275977674661,-1.5655835092586934,0.2857395282442751,-14179626.868654251,-4143485.2430198304,-794823.1745644808,-2.5169428059473658e+17,-2.7625409428247544e+16,-3.286478143974409e+16,-7.539408446449796e+26,3.508736704499789e+26,-1.3419696707129377e+26,9.674019027865295e-05,9.674019027865295e-05
1713498515.9096315,-3.004573376174261,-0.00742665845754,0.1311409426551577,-0.0291491207929208,-0.7047904347496948,-0.0274403960148645,0.7082851096196245,2.3781657218933107e-10,0.1311409426551577,-575530408.6472533,157.03075547808018,6103863.600001733,-4.525710557235876e+17,7.892607121442536e+16,1.527079583058183e+17,-0.49479507326882416,-1.5652949576964053,0.41474373562959915,-61803914.322193146,-6442859.680796914,-8358853.036298096,-2.9689312354647834e+17,5.170724417139452e+16,-3.6134715626611336e+16,1.469320196325123e+27,3.5401143832311296e+26,2.4201074529453484e+26,0.023824264161109044,0.023824264161109044
1713498516.0357945,-3.016595439077995,-0.0079656738495041,0.1291957788156617,-0.0344885052070667,-0.7036585490546979,-0.0293815851737791,0.7090923154311402,3.639795780181885e-10,0.1291957788156617,-81758801.55111909,20301955.306945737,38733623.85836939,3.582921117767605e+18,-1.1699233034986322e+17,8.986395414798371e+16,-0.7995789953877303,-1.5602505252972587,0.7092210559186234,-87365272.46001816,9230345.53977725,-9597465.641114473,1.2714490405806011e+17,5.830420388662982e+16,2.92861899792194e+16,3.2671308735329655e+27,-6.930298036201183e+26,1.880304975180234e+26,0.0776060643897067,0.0776060643897067
1713498516.1573937,-3.026290213436268,-0.0052607461757154,0.1287108879664004,-0.0222210000989553,-0.7051698919481902,-0.0145496109867518,0.708540725339422,4.855787754058838e-10,0.1287108879664004,315147165.13868785,-26495349.027818374,29881340.737705685,8.51249958107243e+17,-1.2834925977282026e+17,-1.4685031412924938e+17,-1.18279364666843,-1.558946132677043,1.1307853756939723,-33257612.16171646,8593578.224712223,-1453310.4440829754,5.134200202536668e+17,-1.1331940604267453e+17,1.341435895085092e+16,1.1612920619970448e+27,-7.669825639122075e+26,-3.3197817822098676e+26,0.06415042880760083,0.06415042880760083
1713498516.2781854,-3.024731582191378,-0.0058606950672527,0.1288394301988254,-0.0168717390174634,-0.7057372089517446,-0.0089236690701,0.7082165660684983,6.063704490661621e-10,0.1288394301988254,128460266.23522641,-11221616.967367413,3257647.800711079,-1.2006322063830326e+18,-2.646144583513776e+16,-1.2478020055941008e+16,-1.2866590052952982,-1.5590217925391534,1.2501761338757686,36972866.076776505,-18063264.760240838,-6259731.092704833,4.1187555017404595e+17,-1.286426569899185e+17,-5.085801495789182e+16,-1.5005812570226694e+27,4.107325957256541e+26,-1.412867203234947e+26,0.01066370069997522,0.01066370069997522
1713498516.4001026,-3.01726213275047,-0.0096744811130791,0.1271750313931845,-0.0170065099032943,-0.7071552824615516,-0.0066548276960965,0.7068223952139376,7.282876968383789e-10,0.1271750313931845,24523045.98578149,-33263601.116647992,27323080.541954126,-4.243785708292558e+17,-4.5928053470279443e+17,-3.0934101327756096e+17,-1.6196753627569076,-1.556149138925868,1.5862107193298296,66324814.49699402,-22420977.229432106,-13822033.983267963,1.4772305488876576e+17,-1.2415108737772736e+16,-1.9993327301881588e+16,-1.3719509626380675e+27,5.476608821951601e+26,3.1458071535708004e+26,0.05443298685771712,0.05443298685771712
1713498516.5260506,-3.008250517998867,-0.0113454639023973,0.1254120345693054,-0.0124127189279328,-0.71288563250198,-0.0087783018047336,0.7011154974741989,8.542356491088867e-10,0.1254120345693054,26780085.837861504,-127343378.09668411,-77569729.3712283,5.922937597170269e+16,4.1777152892939584e+17,3.238983812353015e+17,-2.8570831466496873,-1.553375138298504,2.8271122590509905,72825920.7534523,-20949372.213432357,-10870919.640029192,7.83289781552046e+16,3779081373287456.0,2.7618911480014988e+16,5.894489994874068e+24,2.7612966695982647e+26,2.233065302642828e+26,0.05941731018165091,0.05941731018165091
1713498516.6516864,-2.998941105029444,-0.0149402150026048,0.1244381346313965,-0.0154783115084944,-0.7096652613837349,-0.0023085469075737,0.7043651817553003,9.798715114593507e-10,0.1244381346313965,39398446.05680694,71114844.1735455,108089560.94126531,1.961469735617353e+17,3.38901746927612e+17,2.44402408696158e+17,-1.965985139694052,-1.550719458843461,1.9408287925019847,86014465.44719696,-21465293.39985028,-6876173.510734618,1.488588575815771e+17,5.69626618059548e+16,3.628343769427629e+16,9.083079745431173e+25,5.557182639833442e+26,2.1296926419373392e+26,0.06383232725900263,0.06383232725900263
1713498516.78104,-2.986227831447554,-0.0167649581452189,0.1236652899528796,-0.0108270433882112,-0.7119788066690912,0.0001811473762719,0.7021174553955732,1.109225034713745e-09,0.1236652899528796,77517653.2117968,-50288736.96262927,-24555777.933001783,-4.625123121373532e+17,1.2043471218702685e+17,-1.5603440384187603e+17,-2.3088251866470877,-1.549894917033815,2.2937686517014573,111114472.38906288,-5963711.233687639,-1585170.652071476,9.793939310570336e+16,1.464803643019504e+17,8.30103700960894e+16,-9.249952911303364e+26,4.016034625474579e+26,2.2977943426691617e+26,0.08191253333979218,0.08191253333979218
