Timestamp,Contact_1,Contact_2,Contact_3,Contact_4,Contact_5,Contact_6
0.15707963267948966,0,0,0,0,0,0
0.3141592653589793,0,0,0,0,0,0
0.47123889803846897,1,1,1,1,1,1
0.6283185307179586,1,1,1,1,1,1
0.7853981633974483,0,1,0,1,1,1
0.9424777960769379,0,1,0,1,1,1
1.0995574287564276,0,1,0,1,1,1
1.2566370614359172,0,1,0,1,0,1
1.413716694115407,0,1,0,1,0,1
1.5707963267948966,0,1,0,1,0,1
1.7278759594743862,0,1,0,1,0,1
1.8849555921538759,0,1,0,1,0,1
2.0420352248333655,0,1,0,1,0,1
2.199114857512855,0,1,0,1,0,1
2.356194490192345,0,1,0,1,0,1
2.5132741228718345,0,1,0,1,0,1
2.670353755551324,0,1,0,1,0,1
2.827433388230814,0,1,0,1,0,1
2.9845130209103035,0,1,0,1,0,1
3.141592653589793,0,1,0,1,0,1
3.2986722862692828,0,1,0,1,0,1
3.4557519189487724,0,1,0,1,0,0
3.612831551628262,1,0,0,0,0,1
3.7699111843077517,1,0,1,0,1,0
3.9269908169872414,1,0,1,0,1,0
4.084070449666731,1,0,1,0,1,0
4.241150082346221,1,0,1,0,1,0
4.39822971502571,1,0,1,0,1,0
4.5553093477052,1,0,1,0,1,0
4.71238898038469,1,0,1,0,1,0
4.869468613064179,1,0,1,0,1,0
5.026548245743669,1,0,1,0,1,0
5.183627878423159,1,0,1,0,1,0
5.340707511102648,1,0,1,0,1,0
5.497787143782138,1,0,1,0,1,0
5.654866776461628,1,0,1,0,1,0
5.811946409141117,1,0,1,0,1,0
5.969026041820607,1,0,1,0,1,0
6.126105674500097,1,0,1,0,1,0
6.283185307179586,1,0,0,0,1,0
6.440264939859076,1,0,1,0,1,0
6.5973445725385655,1,0,0,0,1,0
6.754424205218055,1,0,1,1,1,1
6.911503837897545,1,1,0,1,0,1
7.0685834705770345,1,1,0,1,0,1
7.225663103256524,0,1,0,1,0,1
7.382742735936014,0,1,0,1,0,1
7.5398223686155035,0,1,0,1,0,1
7.696902001294993,0,1,0,1,0,1
7.853981633974483,0,1,0,1,0,1
8.011061266653972,0,1,0,1,0,1
8.168140899333462,0,1,0,1,0,1
8.325220532012953,0,1,0,1,0,1
8.482300164692443,0,1,0,1,0,1
8.639379797371934,0,1,0,1,0,1
8.796459430051424,0,1,0,1,0,1
8.953539062730915,0,1,0,1,0,1
9.110618695410405,0,1,0,1,0,1
9.267698328089896,0,1,0,1,0,1
9.424777960769386,0,1,0,1,0,1
9.581857593448877,1,1,0,1,0,1
9.738937226128368,1,1,0,1,0,1
9.896016858807858,1,1,0,1,0,1
10.053096491487349,1,0,1,0,1,1
10.21017612416684,1,0,1,0,1,0
10.36725575684633,1,0,1,0,1,0
10.52433538952582,1,0,1,0,1,0
10.68141502220531,1,0,1,0,1,0
10.838494654884801,1,0,1,0,1,0
10.995574287564292,1,0,1,0,1,0
11.152653920243782,1,0,1,0,1,0
11.309733552923273,1,0,1,0,1,0
