seq,stamp,px,py,pz,ox,oy,oz,ow,lx,ly,lz,ax,ay,az
28,1724915677145244265,-0.0685136690735817,-0.12527935206890106,0.1908513605594635,-0.026871614158153534,-0.043443210422992706,-0.3997691869735718,0.9151914119720459,0.0,0.0,0.0,0.0,0.0,0.0
30,1724915677155083466,-0.06772661209106445,-0.12562038004398346,0.1908055990934372,-0.02682134322822094,-0.04437235742807388,-0.39874905347824097,0.9155932068824768,0.0,0.0,0.0,0.0,0.0,0.0
32,1724915677165050900,-0.06667692214250565,-0.12590424716472626,0.19075636565685272,-0.02485165372490883,-0.04369097575545311,-0.3988984227180481,0.9156165719032288,0.0,0.0,0.0,0.0,0.0,0.0
34,1724915677221504865,-0.06590104848146439,-0.126092791557312,0.19067008793354034,-0.025204701349139214,-0.04303349554538727,-0.3989085555076599,0.9156335592269897,0.0,0.0,0.0,0.0,0.0,0.0
36,1724915677221798222,-0.06509292870759964,-0.1264762133359909,0.19069163501262665,-0.02579645626246929,-0.04365400969982147,-0.399041086435318,0.9155299067497253,0.0,0.0,0.0,0.0,0.0,0.0
38,1724915677222655000,-0.06434332579374313,-0.12692272663116455,0.19066928327083588,-0.02682059444487095,-0.045239146798849106,-0.39803069829940796,0.9158633351325989,0.0,0.0,0.0,0.0,0.0,0.0
40,1724915677223520482,-0.06352361291646957,-0.12727665901184082,0.1906440109014511,-0.02915753237903118,-0.045362360775470734,-0.39780470728874207,0.9158840179443359,0.0,0.0,0.0,0.0,0.0,0.0
42,1724915677224168075,-0.06260403245687485,-0.12752242386341095,0.1905481070280075,-0.02885865420103073,-0.04459080845117569,-0.39714500308036804,0.9162176251411438,0.0,0.0,0.0,0.0,0.0,0.0
44,1724915677225821759,-0.06180368736386299,-0.12786613404750824,0.19040916860103607,-0.028626423329114914,-0.044521454721689224,-0.39729684591293335,0.9161624908447266,0.0,0.0,0.0,0.0,0.0,0.0
46,1724915677237457367,-0.06086651235818863,-0.12826694548130035,0.1905180811882019,-0.026591289788484573,-0.04294339939951897,-0.3987661898136139,0.9156606793403625,0.0,0.0,0.0,0.0,0.0,0.0
48,1724915677246792413,-0.059986501932144165,-0.12884388864040375,0.19069887697696686,-0.02645459957420826,-0.04303200542926788,-0.39886122941970825,0.9156189560890198,0.0,0.0,0.0,0.0,0.0,0.0
50,1724915677255369810,-0.0591907724738121,-0.12921932339668274,0.19078730046749115,-0.024496646597981453,-0.044504307210445404,-0.3981493413448334,0.915912926197052,0.0,0.0,0.0,0.0,0.0,0.0
52,1724915677265278820,-0.058370403945446014,-0.12948033213615417,0.19067835807800293,-0.023839935660362244,-0.044841088354587555,-0.3974095582962036,0.9162350296974182,0.0,0.0,0.0,0.0,0.0,0.0
54,1724915677276754687,-0.05760859325528145,-0.12984368205070496,0.19062365591526031,-0.025554604828357697,-0.04493245109915733,-0.39720526337623596,0.9162729382514954,0.0,0.0,0.0,0.0,0.0,0.0
56,1724915677285864709,-0.05676666274666786,-0.13015836477279663,0.19073699414730072,-0.02589450031518936,-0.04506880044937134,-0.39880701899528503,0.9155606627464294,0.0,0.0,0.0,0.0,0.0,0.0
58,1724915677296032782,-0.055878233164548874,-0.13060809671878815,0.1906982958316803,-0.025123097002506256,-0.044911667704582214,-0.39991408586502075,0.9151068925857544,0.0,0.0,0.0,0.0,0.0,0.0
