seq,timestamp,px,py,pz,ox,oy,oz,ow,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z,time interval
480,1721689173095624119,-0.884270251,-0.065085605,0.20530444383621216,0.033024918,0.010958621,0.43032944202423096,-0.902001083,0,0,0,0,0,0,
480,1721689173095624119,-0.884270251,-0.065085605,0.20530444383621216,0.033024918,0.010958621,0.43032944202423096,-0.902001083,0,0,0,0,0,0,0
480,1721689173095624119,-0.884270251,-0.065085605,0.20530444383621216,0.033024918,0.010958621,0.43032944202423096,-0.902001083,0,0,0,0,0,0,0
481,1721689173095624119,-0.884270251,-0.065085605,0.20530444383621216,0.033024918,0.010958621,0.43032944202423096,-0.902001083,0,0,0,0,0,0,0
481,1721689173095624119,-0.884270251,-0.065085605,0.20530444383621216,0.033024918,0.010958621,0.43032944202423096,-0.902001083,0,0,0,0,0,0,0
481,1721689173095624119,-0.884270251,-0.065085605,0.20530444383621216,0.033024918,0.010958621,0.43032944202423096,-0.902001083,0,0,0,0,0,0,0
482,1721689173107592704,-0.884642541,-0.064388588,0.2053450644016266,0.033093531,0.010447172,0.4298635423183441,-0.902226806,0,0,0,0,0,0,11969792
482,1721689173107592704,-0.884642541,-0.064388588,0.2053450644016266,0.033093531,0.010447172,0.4298635423183441,-0.902226806,0,0,0,0,0,0,0
482,1721689173107592704,-0.884642541,-0.064388588,0.2053450644016266,0.033093531,0.010447172,0.4298635423183441,-0.902226806,0,0,0,0,0,0,0
483,1721689173107592704,-0.884642541,-0.064388588,0.2053450644016266,0.033093531,0.010447172,0.4298635423183441,-0.902226806,0,0,0,0,0,0,0
483,1721689173107592704,-0.884642541,-0.064388588,0.2053450644016266,0.033093531,0.010447172,0.4298635423183441,-0.902226806,0,0,0,0,0,0,0
483,1721689173107592704,-0.884642541,-0.064388588,0.2053450644016266,0.033093531,0.010447172,0.4298635423183441,-0.902226806,0,0,0,0,0,0,0
484,1721689173120985314,-0.885052621,-0.06373696,0.20532798767089844,0.032872091978788376,0.010844048112630844,0.4297195076942444,-0.902298808,0,0,0,0,0,0,13390080
484,1721689173120985314,-0.885052621,-0.06373696,0.20532798767089844,0.032872091978788376,0.010844048112630844,0.4297195076942444,-0.902298808,0,0,0,0,0,0,0
484,1721689173120985314,-0.885052621,-0.06373696,0.20532798767089844,0.032872091978788376,0.010844048112630844,0.4297195076942444,-0.902298808,0,0,0,0,0,0,0
