seq,stamp,px,py,pz,ox,oy,oz,ow,lx,ly,lz,ax,ay,az
826,1724226232057956765,-2.1224067211151123,0.014817697927355766,0.16676479578018188,0.013548656366765499,0.014169944450259209,-0.2720295786857605,0.9620892405509949,0.0,0.0,0.0,0.0,0.0,0.0
828,1724226232067992760,-2.1224732398986816,0.014822009950876236,0.16633683443069458,0.01303066872060299,0.013815859332680702,-0.2718905508518219,0.9621407389640808,0.0,0.0,0.0,0.0,0.0,0.0
830,1724226232078003149,-2.1224422454833984,0.014755502343177795,0.16594669222831726,0.012918519787490368,0.01310051791369915,-0.2717335820198059,0.9621967077255249,0.0,0.0,0.0,0.0,0.0,0.0
832,1724226232087938329,-2.1223864555358887,0.014753401279449463,0.16569407284259796,0.012618222273886204,0.012603215873241425,-0.27166953682899475,0.9622254371643066,0.0,0.0,0.0,0.0,0.0,0.0
834,1724226232097942495,-2.122354030609131,0.01482071727514267,0.1655636727809906,0.012418273836374283,0.012562586925923824,-0.27170461416244507,0.9622185826301575,0.0,0.0,0.0,0.0,0.0,0.0
836,1724226232107722623,-2.1224007606506348,0.014907758682966232,0.16547682881355286,0.01205514743924141,0.011355765163898468,-0.2719895541667938,0.962157666683197,0.0,0.0,0.0,0.0,0.0,0.0
838,1724226232118758431,-2.1224937438964844,0.015094250440597534,0.16543667018413544,0.01182998064905405,0.011138346046209335,-0.2722081243991852,0.9621012806892395,0.0,0.0,0.0,0.0,0.0,0.0
840,1724226232130328727,-2.122568368911743,0.01517004519701004,0.1654341220855713,0.011381483636796474,0.011157774366438389,-0.2723088562488556,0.9620778560638428,0.0,0.0,0.0,0.0,0.0,0.0
842,1724226232137616014,-2.122549057006836,0.015176840126514435,0.16535499691963196,0.011066786013543606,0.011356769129633904,-0.2721504867076874,0.9621241092681885,0.0,0.0,0.0,0.0,0.0,0.0
844,1724226232147895750,-2.122478723526001,0.015149351209402084,0.165262371301651,0.011165738105773926,0.01173523161560297,-0.2722800672054291,0.9620817303657532,0.0,0.0,0.0,0.0,0.0,0.0
846,1724226232157817511,-2.122382164001465,0.015125401318073273,0.16519436240196228,0.011643030680716038,0.01129052322357893,-0.2722802460193634,0.9620813131332397,0.0,0.0,0.0,0.0,0.0,0.0
848,1724226232169377785,-2.1223649978637695,0.01518213003873825,0.1651972383260727,0.011520913802087307,0.011409536004066467,-0.2722605764865875,0.9620869159698486,0.0,0.0,0.0,0.0,0.0,0.0
850,1724226232182242851,-2.1223816871643066,0.01525023952126503,0.16524577140808105,0.011690493673086166,0.011751598678529263,-0.2723560035228729,0.9620538353919983,0.0,0.0,0.0,0.0,0.0,0.0
852,1724226232188197039,-2.1223936080932617,0.015281468629837036,0.16520044207572937,0.011452528648078442,0.011776523664593697,-0.27234673500061035,0.9620590209960938,0.0,0.0,0.0,0.0,0.0,0.0
854,1724226232294515431,-2.1223788261413574,0.015242759138345718,0.16512177884578705,0.011418853886425495,0.011389832012355328,-0.27223917841911316,0.9620944261550903,0.0,0.0,0.0,0.0,0.0,0.0
856,1724226232294769640,-2.122347354888916,0.015206202864646912,0.16509239375591278,0.011109208688139915,0.011505099944770336,-0.27217450737953186,0.9621150493621826,0.0,0.0,0.0,0.0,0.0,0.0
858,1724226232295104419,-2.122307538986206,0.015190757811069489,0.16509602963924408,0.011410354636609554,0.011245382018387318,-0.27229025959968567,0.9620818495750427,0.0,0.0,0.0,0.0,0.0,0.0
860,1724226232295361689,-2.122318744659424,0.015200953930616379,0.16506996750831604,0.011178094893693924,0.011297490447759628,-0.2723007798194885,0.9620809555053711,0.0,0.0,0.0,0.0,0.0,0.0
862,1724226232295622668,-2.1223273277282715,0.015215113759040833,0.1650710552930832,0.01117271650582552,0.011375371366739273,-0.27229511737823486,0.9620817303657532,0.0,0.0,0.0,0.0,0.0,0.0
864,1724226232295892778,-2.122356414794922,0.015247676521539688,0.16504235565662384,0.011081003583967686,0.011353971436619759,-0.27239465713500977,0.9620549082756042,0.0,0.0,0.0,0.0,0.0,0.0
866,1724226232296160787,-2.1224026679992676,0.015232523903250694,0.16501253843307495,0.011128716170787811,0.011228453367948532,-0.27227479219436646,0.9620896577835083,0.0,0.0,0.0,0.0,0.0,0.0
868,1724226232296429103,-2.1224935054779053,0.015268698334693909,0.16494829952716827,0.011210476979613304,0.011519449763000011,-0.2722131609916687,0.9621027112007141,0.0,0.0,0.0,0.0,0.0,0.0
870,1724226232296700873,-2.1225810050964355,0.015208844095468521,0.1648554801940918,0.011137530207633972,0.01147824339568615,-0.27196332812309265,0.9621747732162476,0.0,0.0,0.0,0.0,0.0,0.0
872,1724226232296964562,-2.122664213180542,0.015141181647777557,0.16478046774864197,0.0109934713691473,0.011126353405416012,-0.2718731760978699,0.9622060060501099,0.0,0.0,0.0,0.0,0.0,0.0
874,1724226232297775346,-2.122762441635132,0.015086248517036438,0.16464078426361084,0.011369968764483929,0.010718438774347305,-0.2718352675437927,0.9622169137001038,0.0,0.0,0.0,0.0,0.0,0.0
876,1724226232312273109,-2.1229166984558105,0.015090472996234894,0.16445815563201904,0.011115984059870243,0.010399466380476952,-0.2717377245426178,0.9622510075569153,0.0,0.0,0.0,0.0,0.0,0.0
878,1724226232320033996,-2.1230807304382324,0.01505063846707344,0.1641732156276703,0.011127039790153503,0.009872195310890675,-0.27162083983421326,0.9622894525527954,0.0,0.0,0.0,0.0,0.0,0.0
880,1724226232328005407,-2.1232590675354004,0.014976145699620247,0.16385996341705322,0.011247641406953335,0.009359505027532578,-0.2714034914970398,0.9623544812202454,0.0,0.0,0.0,0.0,0.0,0.0
882,1724226232337795853,-2.1235077381134033,0.015002816915512085,0.16373571753501892,0.011432983912527561,0.010130410082638264,-0.2717742621898651,0.9622398614883423,0.0,0.0,0.0,0.0,0.0,0.0
