stamp,px,py,pz,ox,oy,oz,ow
1713498798.488745,-3.0005544338128836,-0.0096867353848028,0.12881388487946,0.0178344761262473,-0.703801839472103,-0.0239576875671884,0.7097682237346354
1713498798.595632,-3.0005556020091815,-0.009686876923156,0.1287942616830829,0.0178292223857011,-0.7038097445591837,-0.0239529456077557,0.7097606770520398
1713498798.7232292,-3.0046991197593136,-0.0118470240008629,0.1294746742823659,-0.0072209978701414,-0.7010458068660074,-0.0501314559426108,0.7113153105272109
1713498798.848075,-3.011727254740971,-0.0118760211880112,0.1304717470863518,-0.0194811483484502,-0.6989638548866195,-0.064867204774186,0.7119425961170229
1713498798.9562345,-3.0128342485327284,-0.0109437917772327,0.1304799928288142,-0.0159291689770654,-0.6991393643746083,-0.0615749481527162,0.7121509225701804
1713498799.0742908,-3.009465776429001,-0.0133616684707479,0.130195914628852,-0.0130733759088358,-0.6999532287155422,-0.0580022009697341,0.7117094274601824
1713498799.1873257,-3.0048110767441134,-0.016956757318338,0.1297536010062956,-0.0102112116218411,-0.7006923174356792,-0.0542139463820072,0.7113275303694638
1713498799.3012433,-3.00056677506951,-0.0192638408714361,0.1293764352492907,-0.0058844158079671,-0.7014694428758229,-0.0491369506460954,0.7109792925558979
1713498799.417966,-2.9968324935406225,-0.0206469353137817,0.128990259137352,-0.0001921454520452,-0.7022286210364104,-0.0426572661646303,0.7106724171661559
1713498799.5419834,-2.993706640280126,-0.0205764038528318,0.1286020562301794,0.0066888722052811,-0.702948594358337,-0.0350231220567373,0.710346333558257
1713498799.6642764,-2.989796860667832,-0.019081190966518,0.1279072479237454,0.0197435957448685,-0.7039467187022752,-0.0204857701533764,0.7096827043662444
1713498799.785148,-2.985471889920385,-0.0162917181560591,0.1275150881519449,0.0290205164391969,-0.7045398083138078,-0.0105329026520742,0.7089926135641099
1713498799.9032395,-2.9797998078721055,-0.0132726583454193,0.1273031616620674,0.0345417651498387,-0.7049686892132726,-0.0048016316691528,0.70838051781692
1713498800.0315416,-2.973001843527706,-0.0098602333082573,0.127214938891061,0.0377092112615562,-0.705417564688706,-0.0017369515098365,0.7077860254442293
1713498800.1607893,-2.964359198169032,-0.0062408545137275,0.1270176693600531,0.042781591754365,-0.7060107367250734,0.0034725476200128,0.7068992265159928
1713498800.291403,-2.955971644458552,-0.0025327196566517,0.1272257629796232,0.0429088921695181,-0.705609352644049,0.0038394726076816,0.7072902705990841
1713498800.4034626,-2.9505668603710133,-0.0004053280249001,0.1272231326837517,0.0429194387908666,-0.7055749785980671,0.0039731909113142,0.7073231829257378
1713498800.5188537,-2.9473110836627208,0.000968447687414,0.1270865853228727,0.0430930193663301,-0.7063071686685564,0.0036503481377411,0.7065832223650474
1713498800.6328871,-2.945880393736032,0.0016022504496268,0.1275283148527399,0.0426879286770572,-0.7059752593670746,0.0040448725568165,0.7069372765053866
1713498800.7470264,-2.9441090426164376,0.0043635410754208,0.1249199936420225,0.0377644323497456,-0.7010285638208115,0.0117655668667469,0.7120353725714308
1713498800.855231,-2.9399562879735535,0.0052869586301021,0.1258757253258794,0.0380693198491055,-0.7010220978402788,0.0114265946879694,0.7120310233126631
1713498800.967666,-2.93554893180196,0.0064355141218719,0.1263447295148617,0.0394060852414824,-0.7028905095548063,0.0112485560853846,0.7101165833929807
1713498801.086654,-2.9298171553372634,0.0078474329937039,0.1266241006121904,0.0406871773668523,-0.704834234629564,0.0112174081062152,0.7081154037637184
1713498801.2099955,-2.922309964339898,0.0094712088096268,0.1268900135961936,0.0417956146873592,-0.7069316460276216,0.0111004859265454,0.7059586061872027
1713498801.3434937,-2.914139590484988,0.0107507681617572,0.1272252459428764,0.0429605913253155,-0.709154314733723,0.0111045122744739,0.7036556226554785
1713498801.4730265,-2.903110756099071,0.0124220030899798,0.1274275862584918,0.0445846919254812,-0.7120731255257663,0.0120931379828226,0.7005839172887177
1713498801.5953484,-2.8891541243319967,0.0125338019324681,0.1274538240047489,0.0493939461173659,-0.7132281186314868,0.01720668705846,0.6989776954959414
1713498801.718421,-2.8776864151747636,0.0119779111697006,0.1271206479489162,0.0498035299573072,-0.715760455968322,0.0190340572650688,0.6963076064067097
1713498801.8458142,-2.867434927364736,0.0107071048635931,0.1268225509537058,0.0496775225487693,-0.7183650144691813,0.0204518662006527,0.6935889062759152
1713498801.9749384,-2.855330295380227,0.0086723399210411,0.1265759871114615,0.0482910535509492,-0.7226906337479273,0.0215484893606373,0.6891457644404652
1713498802.0977197,-2.8424242727437097,0.0053180695870246,0.1265544918443145,0.0467880235679059,-0.7254223256068492,0.0222589616656624,0.6863511266016297
1713498802.2250628,-2.833486272452195,0.0026766571599757,0.1266002218785019,0.045871220152542,-0.7273248064212363,0.0228205980610918,0.6843783145528227
1713498802.3674114,-2.8248671959218674,-0.0004807171245352,0.1268226112840378,0.0456675779978187,-0.7284635882511401,0.0232379784973439,0.6831656235990243
