seq,stamp,px,py,pz,ox,oy,oz,ow,lx,ly,lz,ax,ay,az,timestamp,lyap_z,wx,wy,wz,aa_x,aa_y,aa_z,roll,pitch,yaw,vx,vy,vz,jx,jy,jz,forward_velocity,forward_velocity_1
8752,1724815090880694393,0.0596247650682926,-0.2472266256809234,0.0995962768793106,-0.0136745870113372,0.0090370057150721,0.0863856971263885,-0.99612694978714,0.0,0.0,0.0,0.024486995652950393,0.33889563772097137,0.5791146308755358,0.0,0.0995962768793106,0.0,0.0,0.0,3.7465527778240855,-14.06604783987592,-4.724481337470948,0.028812095770960697,-0.015642070273672933,-0.17323566840972637,-0.0019416203227855585,-0.0006378838563617899,-0.00906089483967447,4.759707124678269,-5.756843310909683,-14.77988179632235,0.0,0.0
8754,1724815090888286492,0.0596100240945816,-0.2472314685583114,0.0995274856686592,-0.0137483552098274,0.0094482842832803,0.0865258947014808,-0.9961100220680236,0.0,0.0,0.0,0.060623163354513156,0.2951891133770573,0.4669043050695587,0.007592099,0.0995274856686592,0.028444199597965462,-0.10679082773907413,-0.03586873003773185,1.8999898832812139,-1.7202791577730576,-5.148771999780169,0.029032794755931256,-0.016444625026267968,-0.1735313823262126,-0.0017557126275757895,0.0019350453758839592,-0.004664199229718946,1.6642715953095353,-3.9573183148006734,-21.622588876854863,-0.0019510739261428534,-0.0018298814479282344
8756,1724815090898032795,0.059595238417387,-0.2471804171800613,0.0995370373129844,-0.0138814048841595,0.0093021783977746,0.0869661793112754,-0.9960711002349854,0.0,0.0,0.0,0.038114352283910545,0.27913509155162264,0.17054978219143652,0.017338402,0.0995370373129844,0.023858348872940454,0.030909945072388707,-0.09135883946247657,0.7489359470157249,4.799059013659671,0.1784157531708589,0.02927966812917752,-0.016117534462809998,-0.17441271182100943,-0.0007127343195358904,0.004265202940700874,-0.0015175556119295663,-0.7916813243957579,-5.552957971882796,-15.793657423302193,-0.002386885444027539,-0.0006082426098768388
8758,1724815090908896499,0.0595972351729869,-0.2471458613872528,0.0994903072714805,-0.0141211953014135,0.0094848060980439,0.0870651751756668,-0.996057391166687,0.0,0.0,0.0,0.04789300867429208,0.1715136324379944,0.17592661854827718,0.028202106,0.0994903072714805,0.04676124496861215,-0.029926854375090465,-0.018316881432658666,-1.1283920378702255,1.0994462153894027,-1.1553813601438128,0.029791064483938475,-0.016436633835131383,-0.17462125397830444,-0.0011329762210885441,0.007782665391742327,-0.0015090508681900872,7.479645366524538,-16.805013206506253,-7.998410403479975,-0.00044226823805116103,0.0008236802131060103
8760,1724815090918833544,0.059574007987976,-0.2470266968011856,0.0995006933808326,-0.0141744296997785,0.0092730177566409,0.0875638201832771,-0.9960149526596068,0.0,0.0,0.0,0.1820226921913517,-0.05818193742017769,0.01924638910868237,0.038139151,0.0995006933808326,0.00612956027655956,0.041892578827432844,-0.10141235828750014,-2.909222315964966,0.6695458691923064,-4.097294633975291,0.029868108199389988,-0.015990475696490213,-0.17561627214115225,0.0001298662597530864,0.008102979428688428,0.0018310965821743963,4.253633332859032,-11.832810593277308,-22.055074183118467,-0.0043793811975368635,-0.00023448798528613945
8762,1724815090929560990,0.0596039742231369,-0.2469848096370697,0.0995294377207756,-0.0141055863350629,0.0094039067625999,0.0880791544914245,-0.995969295501709,0.0,0.0,0.0,0.1205975684081741,-0.05446103800478469,-0.2901653197304341,0.048866597,0.0995294377207756,-0.011417334430118085,-0.026870057354063486,-0.0959753009133169,8.080018563465147,-3.0165098242671693,2.472138467188009,0.029762359673036493,-0.01624790343368245,-0.17665412342256992,0.002718730702631067,0.006431750649644741,-0.0016321878965355197,-5.833199418541719,4.039167722235681,2.321030872852871,0.002107011734448791,0.0033767624686011437
8764,1724815090938271266,0.0596271269023418,-0.2469109147787094,0.0994847267866134,-0.0146506847813725,0.0095755783841013,0.0883383005857467,-0.9959367513656616,0.0,0.0,0.0,0.06903048019185917,0.00683476056399962,-0.04954367348812424,0.057576873,0.0994847267866134,0.12767542044221822,-0.029144725904612288,-0.06054286662511344,7.54188210314179,0.756463590201711,2.6307221329601784,0.030883196381659806,-0.016485654390864454,-0.1771889636599872,0.0029152928942839385,0.00667402002939621,-0.003928495535852949,-1.225317378202341,1.388547821154733,20.855619058456973,0.0010363447451917096,0.004217697803162466
8766,1724815090952329410,0.0596739463508129,-0.246858149766922,0.0994568318128585,-0.0149548137560486,0.0095641277730464,0.088728167116642,-0.9958977103233336,0.0,0.0,0.0,0.1583304529517514,-0.10180926636232712,0.0900533523626802,0.071635017,0.0994568318128585,0.04249785405421707,0.004578793465905495,-0.056168324311862416,-6.045861777383371,-3.575176935869528,-5.984621465199501,0.03149358323617404,-0.016396694175522846,-0.17797631071583775,0.004939971144790611,0.006294091982113059,0.0002325601627806151,-2.602610219708298,-17.53938805957404,-21.819014560461287,0.0025804374058891136,0.003982680419807279
8768,1724815090958518861,0.0597089082002639,-0.2468122690916061,0.0994643121957779,-0.0149645479395985,0.0096646854653954,0.0890697240829467,-0.995866060256958,0.0,0.0,0.0,0.11781935092102902,-0.2371045614367554,-0.13151231223389023,0.077824468,0.0994643121957779,0.005112950153840879,-0.0338292056591186,-0.11036627658281394,-3.6716492529369678,-3.599848163774984,-4.631631932649807,0.03153659592256037,-0.016584448395598302,-0.17866575425487216,0.005958941865803702,0.005460158108917312,0.00022875377341780023,5.965262909683034,-15.428925524103652,-38.188761077522,0.0042607970653842165,0.006844346875358352
8770,1724815090968133700,0.0597708374261856,-0.2467889338731765,0.0994518771767616,-0.0149810658767819,0.0098015461117029,0.0895182341337204,-0.9958243370056152,0.0,0.0,0.0,0.36202941067773403,-0.28941192821200634,-0.5344096936127483,0.087439307,0.0994518771767616,0.005185620696705749,-0.029524907654125545,-0.0932899237728891,0.7691228474053133,0.17698410521420238,3.4471717822288572,0.03160159376175482,-0.01683987509242669,-0.17957138974291248,0.006392592581756951,0.0016514482476335246,-0.0029907876777519604,22.437408750196273,5.447882247928279,-2.691275080777798,0.005881339062842095,0.006797247631820169
