seq,stamp,px,py,pz,ox,oy,oz,ow,lx,ly,lz,ax,ay,az
3224,1724820312185838587,-2.1229360103607178,0.18699771165847778,0.17319081723690033,-0.03295097127556801,-0.04006730392575264,0.23108753561973572,-0.9715490341186523,0.0,0.0,0.0,0.0,0.0,0.0
3226,1724820312194957579,-2.1229748725891113,0.18713349103927612,0.17283207178115845,-0.03231538087129593,-0.041351206600666046,0.2299472540616989,-0.97178715467453,0.0,0.0,0.0,0.0,0.0,0.0
3228,1724820312206314912,-2.1228933334350586,0.18724596500396729,0.17251135408878326,-0.03173590824007988,-0.04239332303404808,0.2290804535150528,-0.9719659686088562,0.0,0.0,0.0,0.0,0.0,0.0
3230,1724820312216123122,-2.122936248779297,0.1875862181186676,0.1724379062652588,-0.031857144087553024,-0.04444361478090286,0.22894372045993805,-0.97190260887146,0.0,0.0,0.0,0.0,0.0,0.0
3232,1724820312225464008,-2.122760772705078,0.18771564960479736,0.17220592498779297,-0.03128610923886299,-0.0449468195438385,0.22853399813175201,-0.9719945192337036,0.0,0.0,0.0,0.0,0.0,0.0
3234,1724820312236286751,-2.122589349746704,0.18781040608882904,0.17191854119300842,-0.030188681557774544,-0.04505794122815132,0.2280847579240799,-0.9721295833587646,0.0,0.0,0.0,0.0,0.0,0.0
3236,1724820312245354235,-2.1219797134399414,0.1881299912929535,0.1721159815788269,-0.032167498022317886,-0.04614173248410225,0.22982211410999298,-0.9716059565544128,0.0,0.0,0.0,0.0,0.0,0.0
3238,1724820312255769752,-2.121450185775757,0.18812212347984314,0.1717168241739273,-0.031262002885341644,-0.04471615329384804,0.23009078204631805,-0.971638560295105,0.0,0.0,0.0,0.0,0.0,0.0
3240,1724820312266858671,-2.1212332248687744,0.18847227096557617,0.17183129489421844,-0.03142136335372925,-0.04631849378347397,0.2308696210384369,-0.9713734984397888,0.0,0.0,0.0,0.0,0.0,0.0
3242,1724820312276711227,-2.121047258377075,0.1886395663022995,0.1717844307422638,-0.030052294954657555,-0.04652174934744835,0.23078633844852448,-0.9714269638061523,0.0,0.0,0.0,0.0,0.0,0.0
3244,1724820312285730258,-2.120927095413208,0.18874971568584442,0.17177017033100128,-0.029190318658947945,-0.04702968895435333,0.2307858020067215,-0.9714288711547852,0.0,0.0,0.0,0.0,0.0,0.0
3246,1724820312303155622,-2.1208689212799072,0.1887982040643692,0.17170050740242004,-0.028726376593112946,-0.047024454921483994,0.230641171336174,-0.9714772701263428,0.0,0.0,0.0,0.0,0.0,0.0
3248,1724820312307573633,-2.120798110961914,0.18854239583015442,0.1714203953742981,-0.028661519289016724,-0.046068478375673294,0.23013029992580414,-0.9716461300849915,0.0,0.0,0.0,0.0,0.0,0.0
3250,1724820312318717575,-2.120990514755249,0.18858802318572998,0.17154626548290253,-0.029897620901465416,-0.047332704067230225,0.2309681624174118,-0.97134929895401,0.0,0.0,0.0,0.0,0.0,0.0
3252,1724820312326161339,-2.1210901737213135,0.1885487139225006,0.1716030091047287,-0.02988140471279621,-0.04749700054526329,0.23102782666683197,-0.971327543258667,0.0,0.0,0.0,0.0,0.0,0.0
3254,1724820312335525029,-2.1210134029388428,0.1882820427417755,0.17133185267448425,-0.02950812317430973,-0.04575463756918907,0.23065514862537384,-0.97151118516922,0.0,0.0,0.0,0.0,0.0,0.0
3256,1724820312345425240,-2.1211397647857666,0.18853554129600525,0.17158807814121246,-0.029801156371831894,-0.04759766533970833,0.2311277538537979,-0.9713013768196106,0.0,0.0,0.0,0.0,0.0,0.0
3258,1724820312357873136,-2.1210217475891113,0.18829551339149475,0.1713201105594635,-0.029424529522657394,-0.04616435989737511,0.23054952919483185,-0.9715194702148438,0.0,0.0,0.0,0.0,0.0,0.0
3260,1724820312365653466,-2.121107578277588,0.18853555619716644,0.17153026163578033,-0.029689490795135498,-0.047399722039699554,0.2310597151517868,-0.9713307023048401,0.0,0.0,0.0,0.0,0.0,0.0
3262,1724820312375528746,-2.1212539672851562,0.188595250248909,0.171279639005661,-0.02716030739247799,-0.046689122915267944,0.22908392548561096,-0.9719069600105286,0.0,0.0,0.0,0.0,0.0,0.0
3264,1724820312386525954,-2.121157169342041,0.18869158625602722,0.17150115966796875,-0.029438946396112442,-0.047606661915779114,0.23017650842666626,-0.9715378284454346,0.0,0.0,0.0,0.0,0.0,0.0
3266,1724820312394931907,-2.1211557388305664,0.18866510689258575,0.17148680984973907,-0.029763473197817802,-0.0476391464471817,0.2302916944026947,-0.9714990854263306,0.0,0.0,0.0,0.0,0.0,0.0
3268,1724820312406599913,-2.121054172515869,0.18848326802253723,0.1711639165878296,-0.029179390519857407,-0.046000756323337555,0.23014701902866364,-0.9716299772262573,0.0,0.0,0.0,0.0,0.0,0.0
3270,1724820312418796161,-2.1210291385650635,0.18832500278949738,0.1711646467447281,-0.02943260408937931,-0.04600551724433899,0.23035846650600433,-0.9715721011161804,0.0,0.0,0.0,0.0,0.0,0.0
3272,1724820312425277051,-2.121131658554077,0.1885228157043457,0.17142225801944733,-0.029702652245759964,-0.04774995148181915,0.23105894029140472,-0.9713132977485657,0.0,0.0,0.0,0.0,0.0,0.0
3274,1724820312435739109,-2.1211392879486084,0.1885070651769638,0.17150463163852692,-0.029953261837363243,-0.04776402935385704,0.23110640048980713,-0.971293568611145,0.0,0.0,0.0,0.0,0.0,0.0
3276,1724820312445165268,-2.1211233139038086,0.18851658701896667,0.17149095237255096,-0.029856620356440544,-0.04804208502173424,0.2311970591545105,-0.9712613224983215,0.0,0.0,0.0,0.0,0.0,0.0
3278,1724820312456454423,-2.1210904121398926,0.1885192096233368,0.17154285311698914,-0.02970958687365055,-0.04809822142124176,0.23108641803264618,-0.9712893962860107,0.0,0.0,0.0,0.0,0.0,0.0
3280,1724820312465449695,-2.1209652423858643,0.18828774988651276,0.17125125229358673,-0.029419394209980965,-0.04635816439986229,0.23066750168800354,-0.9714823961257935,0.0,0.0,0.0,0.0,0.0,0.0
